technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
heat_pump,power,AT,2.6022,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.7674,1.8804,2.1252,2.2383,3.2333,3.9976,4.3701,4.5247,5.5336,5.5336,5.6726,6.2062,18.6896,18.6896,18.6896,18.6896,20.1184,21.4027,21.5493,21.4363,21.4363
heat_pump,power,BE,2.4029,2.5452,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,3.365,4.1689,7.0376,8.2947,9.2272,11.611,11.611,12.9923,13.1674,14.6787,15.076,15.3387,16.7693,32.5217,32.5217,32.5217,32.5217,37.9171,37.9171,37.9171,37.9171,37.9171
heat_pump,power,BG,3.1524,3.1524,3.1524,3.1524,3.1361,3.2071,3.319,3.4676,3.5827,3.6921,3.6921,3.7077,3.7123,3.7123,3.7123,3.7759,3.7759,3.7759,4.5483,4.8069,4.8069,9.1748,9.1748,9.2768,9.2774,9.2774,9.2774,9.2774,9.2774,9.2774
heat_pump,power,CH,3.5258,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,2.135,2.4667,2.6199,3.815,4.8506,5.3553,5.5648,6.9317,6.9317,7.1201,7.9813,26.7102,26.7102,26.7102,26.7102,30.5779,30.5779,30.5779,30.5779,30.3112
heat_pump,power,CZ,1.9764,2.0217,2.0217,2.0217,1.8812,1.7884,2.7832,2.8527,2.9222,3.1262,3.1958,3.2653,3.3348,3.7098,4.0907,4.2482,7.2166,8.6321,11.0623,12.0053,13.3526,27.1362,27.3385,27.5225,27.5225,27.5225,27.5225,27.5225,27.5225,27.5225
heat_pump,power,DE,7.4363,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,13.6156,16.729,22.1356,33.6866,40.7429,46.1809,55.3481,75.0653,85.8205,96.7994,99.445,201.3615,201.3615,201.3615,201.3615,201.3615,233.1316,238.8554,238.8554,238.939
heat_pump,power,DK,1.9506,1.9847,1.9847,1.9847,2.4041,2.9066,3.3646,4.1087,4.2431,4.3775,4.5196,4.7512,4.9634,5.4948,6.075,6.7102,6.8347,7.3703,7.8696,7.9294,20.0889,21.2449,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525
heat_pump,power,EE,0.0534,0.0555,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0416,0.0416,0.0527,0.0656,0.0866,0.117,0.3362,0.3495,0.3589,0.3589,0.3774,0.4509,2.5639,2.5639,2.5639,2.5639,2.6328,2.6328,2.6328,2.6717,2.7302
heat_pump,power,EL,20.7638,20.7638,20.7638,20.7638,20.7638,20.7638,20.8236,21.1987,21.5207,21.8437,22.4507,22.6022,22.8291,23.6389,23.9713,23.9713,24.5741,24.5741,24.9712,25.0825,25.3578,25.3578,25.3578,25.3578,25.3578,25.3578,25.4269,25.4269,25.4269,25.4269
heat_pump,power,ES,21.1269,21.1423,21.1423,21.1423,21.2142,21.5404,22.4038,27.2535,27.6827,28.8113,29.2258,31.4582,31.7919,32.9035,33.6444,34.1013,34.1013,34.3587,38.423,38.7668,38.7668,38.7668,38.7668,38.7996,38.7996,38.7996,38.7996,38.7996,38.7996,38.7996
heat_pump,power,FI,4.4772,4.5776,4.5776,4.5776,4.202,3.8952,3.6902,3.3393,3.6814,3.6814,4.0167,4.0167,4.1829,4.3707,4.381,4.4124,4.5254,4.6343,4.6349,4.7503,4.7624,16.3675,16.3675,16.3675,17.2571,17.5047,17.97,17.8044,17.8767,18.0898
heat_pump,power,FR,90.9852,91.6289,91.6289,91.6289,94.1269,100.0766,102.1415,104.8053,108.1172,110.8387,119.8316,123.9945,129.313,136.146,137.7869,140.3172,145.3072,147.357,151.6944,153.1115,153.1115,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997
heat_pump,power,HR,1.8762,1.9145,1.9145,1.9145,1.9969,2.0808,2.2714,2.3497,2.4182,2.6023,2.6765,3.7481,4.0191,4.4683,4.5393,5.0556,5.1258,5.5697,5.7784,5.9683,6.2128,9.532,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053
heat_pump,power,HU,9.5162,9.5374,9.5374,9.5374,10.1807,11.0974,11.2741,11.4508,11.6275,12.3391,12.8205,13.7819,14.9954,17.0405,17.4908,20.6161,21.5515,23.618,25.638,26.5166,26.946,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085
heat_pump,power,IE,7.9043,7.9241,7.9241,7.9241,7.9011,7.9218,7.9359,8.1128,8.127,8.1901,8.2042,8.4496,8.4895,9.0623,9.3394,9.5518,9.664,9.7094,10.0371,10.0697,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727
heat_pump,power,IT,48.9439,49.3422,49.3422,49.3422,57.1022,65.6899,70.3679,75.0459,82.2091,87.1746,95.364,106.1233,119.4981,128.002,128.8348,133.94,137.9105,141.9264,145.0845,146.1225,150.8408,150.8408,150.8408,152.0048,152.698,152.698,152.698,155.2186,155.2186,155.2186
heat_pump,power,LT,2.7319,2.7319,2.7319,2.7319,2.7628,2.8748,2.8901,2.9322,3.0854,3.1186,3.1313,3.255,3.2756,3.8276,3.8409,3.9834,4.247,4.4528,5.4824,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7126,5.7126
heat_pump,power,LU,0.2372,0.2372,0.2372,0.2372,0.2245,0.2226,0.1954,0.1954,0.1936,0.1953,0.2064,0.3116,0.3227,0.3535,0.3778,0.5052,0.5229,0.6724,0.7204,0.7204,0.8838,2.2834,2.2834,2.2834,2.5983,2.5983,2.5983,2.5983,2.5983,2.6034
heat_pump,power,LV,0.066,0.0713,0.0713,0.0713,0.0674,0.1478,0.1616,0.1933,0.2469,0.2889,0.2889,0.4332,0.4332,0.4332,0.5923,0.6265,0.6462,0.7248,0.7248,0.8879,1.0033,3.6482,3.7351,3.7351,3.7351,3.7351,3.7351,3.7351,3.7351,3.8749
heat_pump,power,NL,1.542,1.5742,1.5742,1.5742,1.5216,1.4839,1.3969,1.3885,4.5427,8.9007,12.0548,16.6526,19.8385,22.2834,22.7003,22.7003,23.1053,23.5106,24.2504,24.4288,24.4288,31.242,31.242,31.242,31.242,37.0426,45.2608,45.2608,44.7082,44.4773
heat_pump,power,NO,10.4566,10.4566,10.4566,10.4566,8.956,7.9306,6.0923,6.0923,6.1047,6.1164,6.1164,6.1278,6.1324,6.296,6.4695,6.5124,6.5255,6.7707,6.835,6.9066,6.9597,15.1699,19.4942,19.4942,19.4942,19.4942,19.4942,19.4942,19.4942,19.6688
heat_pump,power,PL,15.4933,15.4933,15.4933,15.4933,15.4933,15.7482,16.4048,16.7741,18.2288,18.5981,19.465,19.8343,20.3813,20.7482,20.9715,20.9715,22.1336,24.5334,25.3742,31.8954,57.0551,71.7759,73.2716,73.2716,73.2716,73.2716,73.2716,73.2716,73.2716,73.2716
heat_pump,power,PT,1.8261,1.8275,1.8275,1.8275,1.8456,1.9064,2.0627,2.1699,2.3362,2.4207,2.495,2.7095,2.836,2.8886,2.8886,2.8887,2.9926,3.0252,3.0323,3.0323,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423
heat_pump,power,RO,0.0665,0.0665,0.0665,0.0665,0.063,0.0726,0.0726,1.6243,2.6661,2.6836,3.0952,3.1727,3.3237,4.3058,4.6519,4.652,5.9578,6.9209,7.165,7.5912,8.4481,11.3187,11.3187,11.3187,12.5699,12.6617,12.6617,13.1871,13.1871,13.1871
heat_pump,power,SE,7.6737,7.6737,7.6737,7.6737,7.1767,6.2998,6.3141,6.3727,6.5779,6.5935,6.5935,7.6346,7.6346,7.6346,7.6442,7.6442,7.6442,7.7702,7.7702,8.408,10.9546,20.8665,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446
heat_pump,power,SI,2.9368,2.9759,2.9759,2.9759,2.9709,3.0154,3.0154,3.0154,3.0154,3.0457,3.0981,3.1263,3.2377,3.3111,3.3856,3.4127,3.4761,3.5744,3.5744,3.5744,3.5814,4.0368,4.0368,4.0368,4.0368,4.0368,4.0368,4.0368,4.0368,4.0368
heat_pump,power,SK,0.4978,0.5248,0.5248,0.5248,0.5248,0.5132,0.4607,0.4607,0.4607,0.4607,0.4607,1.0128,1.0128,1.713,1.8182,1.8248,1.8267,1.8696,2.0573,2.4139,2.6167,5.3232,5.3232,5.3232,5.3232,5.9921,7.0002,7.0002,7.0002,7.0002
heat_pump,power,UK,43.0751,43.568,43.568,43.568,51.1225,59.9415,67.6573,75.3921,84.3425,92.5353,100.6232,110.849,118.8907,129.7922,130.8265,131.5216,133.7119,138.6943,145.9252,148.1591,150.6743,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493
photovoltaics,power,AT,36.7719,37.5119,37.5119,37.5119,37.5119,37.5119,37.5119,37.5119,38.7588,39.2745,43.3867,43.3863,43.3856,43.3847,43.3835,44.2884,46.3754,48.1437,48.1393,48.1191,52.1186,57.3749,57.3749,57.3749,57.3749,61.1337,61.1792,62.4183,64.1664,67.0376
photovoltaics,power,BE,6.2849,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,10.0496,10.5784,10.6866,19.1631,19.8041,19.8022,19.902,19.8988,19.8949,19.8904,21.5079,21.8599,21.3008,20.8638,19.7959,19.1019,18.8332,18.7269,21.8537,22.4072,22.4666,25.5948,25.5244
photovoltaics,power,BG,5.4638,5.6238,5.6238,5.6238,5.6238,6.8048,7.149,7.5095,7.8987,8.7446,8.7446,8.7446,8.7446,8.7446,8.7971,9.2737,9.2737,9.2737,9.2725,9.2675,9.2371,9.5093,8.8149,9.1823,9.2411,9.2222,9.2172,9.3713,9.4178,13.1834
