technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.3885,0.3303,0.2668,1.273,0.7644,0.6101,0.1956,1.3149,0.1137,0.139,0.5336,12.4833,0.0,0.0,0.0,1.4288,1.2843,0.1466,0.0,0.3885
heat_pump,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5074,0.8039,3.309,1.3638,0.9835,2.8481,0.0,1.5458,0.2734,1.6882,0.6107,0.2627,1.4306,15.7524,0.0,0.0,0.0,5.3954,0.0,1.5074,0.8039,3.309
heat_pump,power,BG,2.3859,0.0,0.0,0.0,0.0,0.0944,0.1876,0.2287,0.1492,0.1924,0.0,0.0399,0.0698,0.1372,0.0253,0.1117,0.0037,0.0466,0.8673,2.6445,0.0,4.3679,0.0,0.102,0.095,0.1876,0.2287,0.1492,0.1924,0.0
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2667,0.4475,0.3615,1.5718,1.0357,0.8266,0.265,1.7815,0.1541,0.1884,0.8613,18.7289,0.0,0.0,0.0,3.8677,0.0,0.0,0.0,0.0
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,1.1119,0.0937,0.1002,0.2749,0.4686,0.1593,0.1824,0.6067,0.5881,0.2092,3.0275,1.5925,2.602,0.943,1.3473,13.7836,0.2023,0.184,0.0,1.1119,0.0937,0.1002,0.2749,0.4686
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9838,3.1134,5.6449,12.0939,7.0583,5.7146,9.568,20.3776,11.3451,10.9789,2.6456,101.9165,0.0,0.0,0.0,0.0,31.7701,5.7237,0.0,10.0674
heat_pump,power,DK,0.3432,0.0,0.0,0.0,0.4835,0.6031,0.5415,0.8158,0.1833,0.1344,0.4053,0.2556,0.3127,0.7131,0.5802,0.7458,0.1721,0.661,0.7376,0.403,12.1595,1.156,0.0076,0.4835,0.6031,0.5415,0.8158,0.1833,0.1344,0.4053
heat_pump,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0079,0.0213,0.0133,0.0225,0.0318,0.2193,0.0219,0.011,0.0065,0.0185,0.0735,2.113,0.0,0.0,0.0,0.0689,0.0,0.0,0.04,0.0665
heat_pump,power,EL,14.889,0.0,0.0,0.0,0.0,0.0845,0.2517,0.5163,0.5996,0.4274,0.607,0.6441,1.01,3.441,0.3324,0.7293,1.0419,0.0,0.397,15.0003,0.2753,0.0,0.0,0.0,0.0845,0.2517,0.5854,0.5996,0.4274,0.607
heat_pump,power,ES,17.6861,0.0,0.0,0.0,0.3076,0.6005,1.185,5.2608,0.5528,1.1285,0.597,2.3156,0.4299,1.686,0.7906,0.886,0.2262,0.2833,4.3018,18.0298,0.0,0.0,0.0,0.3404,0.6005,1.185,5.2608,0.5528,1.1285,0.597
