technology,capacity_type,location,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.3885,0.3303,0.2668,1.273,0.7644,0.6101,0.1956,1.3149,0.1137,0.139,0.5336,12.4833,0.0,0.0,0.0,1.4288,1.2843,0.1466,0.0,0.3885
photovoltaics,power,AT,32.7674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2469,0.5157,4.1125,0.0,0.0,0.0,0.0,0.9063,2.0886,1.7704,0.0,0.0,4.0424,5.348,0.1757,0.2631,0.1593,3.9107,0.2013,1.4116,1.9164,3.1184
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,AT,5.4909,0.0,0.0068,0.0012,0.0008,0.0226,0.0076,0.0453,0.1072,0.2027,0.2078,0.1403,0.0195,0.014,0.0,0.0175,0.0,0.1436,0.2441,0.3913,0.3236,0.2468,0.1928,0.1174,0.2115,8.177,0.0,0.0068,0.0012,0.0008
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9838,3.1134,5.6449,12.0939,7.0583,5.7146,9.568,20.3776,11.3451,10.9789,2.6456,101.9165,0.0,0.0,0.0,0.0,31.7701,5.7237,0.0,10.0674
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6011,8.8232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1477,22.5654,23.8234,10.2044,1.2614,0.0523,0.3585,5.6257,5.065,4.624,5.0264
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4202,4.7358,0.7153,2.6607,0.9098,8.079,0.0,0.0,0.0
wind_onshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6087,7.2067,2.3844,13.6287,14.3443,6.6465,2.704,12.5447,11.0871,11.1263,4.0974,4.51,5.0781,2.6679,1.0257,0.0,0.0,0.0,0.0,0.0
heat_pump,power,UK,32.3553,0.0,0.0,0.0,8.1793,9.3199,8.2286,7.9071,9.466,8.1928,8.5398,10.2257,8.1685,11.6848,1.8983,1.3104,2.1991,5.1149,7.2819,39.9491,2.5152,4.375,0.0,8.1793,9.3199,8.2286,7.9071,9.466,8.1928,8.5398
photovoltaics,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,UK,49.4328,0.0,0.0,0.0,0.0,0.0,2.7182,7.7338,4.8189,3.9501,2.9739,7.1861,3.9717,5.0388,4.6958,6.5042,3.6167,3.567,5.985,3.8366,5.5618,7.1199,3.8151,7.5528,11.5091,64.9788,2.6599,0.0,1.6771,1.0788
