technology,capacity_type,location,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
heat_pump,power,AT,2.6022,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.7674,1.8804,2.1252,2.2383,3.2333,3.9976,4.3701,4.5247,5.5336,5.5336,5.6726,6.2062,18.6896,18.6896,18.6896,18.6896,20.1184,21.4027,21.5493,21.4363,21.4363
photovoltaics,power,AT,36.7719,37.5119,37.5119,37.5119,37.5119,37.5119,37.5119,37.5119,38.7588,39.2745,43.3867,43.3863,43.3856,43.3847,43.3835,44.2884,46.3754,48.1437,48.1393,48.1191,52.1186,57.3749,57.3749,57.3749,57.3749,61.1337,61.1792,62.4183,64.1664,67.0376
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,AT,10.8632,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486
heat_pump,power,DE,7.4363,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,13.6156,16.729,22.1356,33.6866,40.7429,46.1809,55.3481,75.0653,85.8205,96.7994,99.445,201.3615,201.3615,201.3615,201.3615,201.3615,233.1316,238.8554,238.8554,238.939
photovoltaics,power,DE,55.1182,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,66.6523,75.3551,75.1142,74.753,74.2713,73.6692,72.9467,72.1037,70.8329,68.883,65.5843,80.7099,96.6231,98.6673,97.2959,96.1582,95.1927,99.3633,102.7683,103.802,104.9964
wind_offshore,power,DE,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776,7.6751,7.6751,7.6701,7.6701,7.6096,7.5613,7.5613,7.1613,6.6479,4.3871,14.8073,17.4784,17.729,18.8512,19.761,27.84,27.84,27.84,27.84
wind_onshore,power,DE,53.9805,55.7988,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,44.1553,48.7203,49.3659,61.7597,73.8585,79.0726,80.1972,90.966,100.1042,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725,106.9725
heat_pump,power,UK,43.0751,43.568,43.568,43.568,51.1225,59.9415,67.6573,75.3921,84.3425,92.5353,100.6232,110.849,118.8907,129.7922,130.8265,131.5216,133.7119,138.6943,145.9252,148.1591,150.6743,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493
photovoltaics,power,UK,13.6931,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2431,14.2426,14.2416,14.2402,14.2383,14.2358,14.2329,14.2296,14.2257,14.2213,14.2173,14.1356,13.226,12.4517,11.35,8.7789,4.4967,2.3435,1.3985,1.1027,0.8293
