technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
heat_pump,power,AT,2.6022,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.492,1.7949,1.9715,1.9602,3.2333,3.76,4.3291,4.2187,5.4199,5.5336,5.6726,6.2062,18.6896,18.6896,18.6896,18.6896,20.1184,21.4027,21.4363,21.0478
heat_pump,power,BE,2.4029,2.5452,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,1.8575,3.365,3.7285,6.9309,8.2437,8.7629,11.611,11.4465,12.894,12.9905,14.4653,15.076,15.3387,16.7693,32.5217,32.5217,32.5217,32.5217,37.9171,36.4097,37.1132,34.6081
heat_pump,power,BG,0.7664,3.1524,3.1524,3.1524,3.1361,3.1128,3.1315,3.2388,3.4336,3.4997,3.6921,3.6678,3.6425,3.575,3.687,3.6642,3.7722,3.7293,3.6811,2.1624,4.8069,4.8069,9.1748,9.1748,9.1824,9.0898,9.0486,9.1282,9.085,9.2774
heat_pump,power,CH,3.5258,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,2.0192,2.2584,2.2432,3.815,4.5287,5.2998,5.1502,6.7776,6.9317,7.1201,7.9813,26.7102,26.7102,26.7102,26.7102,30.5779,30.5779,30.5779,30.3112
heat_pump,power,CZ,1.9764,2.0217,2.0217,2.0217,1.8812,1.7884,1.6713,2.7589,2.822,2.8513,2.7272,3.1059,3.1524,3.1031,3.5026,4.039,4.1891,7.0396,8.4603,11.0623,12.0053,13.3526,27.1362,27.3385,27.5225,26.4106,27.4287,27.4223,27.2476,27.0539
heat_pump,power,DE,7.4363,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,13.6156,16.4907,21.5927,33.6845,40.4663,45.7801,54.6877,74.4754,85.8205,96.7994,99.445,201.3615,201.3615,201.3615,201.3615,201.3615,233.1316,238.8554,228.8716
heat_pump,power,DK,1.6075,1.9847,1.9847,1.9847,1.9206,2.3035,2.823,3.2929,4.0598,4.2431,4.1143,4.4955,4.6507,4.7817,5.4948,5.9644,6.6626,6.7092,7.132,7.5264,7.9294,20.0889,21.2449,20.769,20.6494,20.711,20.4367,21.0692,21.1181,20.8472
heat_pump,power,EE,0.0534,0.0555,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0405,0.0337,0.0313,0.0522,0.0641,0.0853,0.1169,0.3276,0.3479,0.3523,0.3589,0.3774,0.4509,2.5639,2.5639,2.5639,2.5639,2.6328,2.6328,2.6317,2.6637
heat_pump,power,EL,5.8748,20.7638,20.7638,20.7638,20.7638,20.6792,20.5719,20.6825,20.9211,21.4163,21.8437,21.9581,21.8191,20.1979,23.6389,23.242,23.5322,24.5741,24.5741,10.0822,25.0825,25.3578,25.3578,25.3578,25.2733,25.1061,24.8415,24.8273,24.9995,24.8198
heat_pump,power,ES,3.4408,21.1423,21.1423,21.1423,20.9067,20.94,21.2188,21.9927,27.13,27.6827,28.6288,29.1426,31.362,31.2175,32.8538,33.2154,33.8752,34.0754,34.1213,20.7369,38.7668,38.7668,38.7668,38.4592,38.1992,37.6146,33.5388,38.2469,37.6711,38.2027
