technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
heat_pump,power,AT,2.6022,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.7674,2.0122,2.1252,3.1202,3.8846,4.2571,4.4117,5.4205,5.4205,5.5596,6.0932,18.5765,18.5765,18.5765,18.5765,19.0837,21.2137,21.4455,21.4455,21.199,21.199
heat_pump,power,BE,2.4029,2.5452,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,3.0327,3.8366,6.7053,7.9624,8.895,11.2788,11.2788,12.6601,12.8351,14.3464,14.7437,15.0064,16.437,32.1895,32.1895,32.1895,32.1895,33.2963,37.9171,37.9171,37.9171,37.9171,37.9171
heat_pump,power,BG,4.1937,4.1937,4.1937,4.1937,4.2392,4.3102,4.4221,4.5706,4.6858,4.7951,4.7951,4.8108,4.8153,4.8153,4.8153,4.879,4.879,4.9907,5.7699,6.0284,6.0284,9.2365,9.2365,9.2365,9.2774,9.2774,9.2774,9.2774,9.2774,9.2774,9.2774
heat_pump,power,CH,3.5258,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,2.2,2.3531,3.6142,4.6499,5.1545,5.364,6.7309,6.7309,6.9193,7.7805,26.5094,26.5094,26.5094,26.5094,27.2316,30.6439,30.6439,30.6439,30.6439,30.5433
heat_pump,power,CZ,1.9764,2.0217,2.0217,2.0217,1.8812,1.7884,2.7832,2.8527,2.9222,3.1262,3.1958,3.2653,3.3348,3.7098,4.0907,4.2482,7.354,8.993,11.4231,12.3661,13.7135,27.4971,27.4971,27.8834,27.8834,27.8834,27.8834,27.8834,27.8834,27.8834,27.8834
heat_pump,power,DE,7.4363,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,13.4641,16.5775,21.984,33.535,40.5913,46.0294,55.1965,74.9137,85.6689,96.6479,99.2934,201.21,201.21,201.21,201.21,201.21,202.0496,239.3509,239.3509,239.3297,239.4211
heat_pump,power,DK,4.0174,4.0515,4.0515,4.0515,4.4709,4.9734,5.4313,6.1755,6.3099,6.4443,6.5864,6.8179,7.0302,7.5616,8.1418,8.777,8.9015,9.437,9.9363,9.9962,15.8001,21.2449,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525,21.2525
heat_pump,power,EE,0.0534,0.0555,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0416,0.0416,0.0527,0.0656,0.0866,0.117,0.3362,0.3495,0.3589,0.3589,0.3774,0.4509,2.5639,2.5639,2.5639,2.5639,2.6679,2.6702,2.9179,2.9567,3.0153,3.0153
heat_pump,power,EL,20.7227,20.7227,20.7227,20.7227,20.7227,20.7227,20.7825,21.1576,21.4796,21.8025,22.4096,22.5611,22.788,23.6389,23.9713,23.9713,24.5741,24.5741,24.9712,25.0825,25.3578,25.3578,25.3578,25.3578,25.3578,25.3578,25.3578,25.4269,25.4269,25.4269,25.4269
heat_pump,power,ES,21.1269,21.1423,21.1423,21.1423,21.2142,21.5404,22.4038,27.2535,27.6827,28.8113,29.2258,31.4582,31.7919,32.9035,33.6444,34.1013,34.1013,34.3587,34.8995,38.7668,38.7668,38.7668,38.7668,38.7996,38.7996,38.7996,38.7996,38.7996,38.7996,38.7996,38.7996
heat_pump,power,FI,4.4772,4.5776,4.5776,4.5776,4.202,3.8952,3.6902,3.3393,3.6814,3.6814,4.0167,4.0167,4.1829,4.3707,4.381,4.4124,4.5254,4.6343,4.6349,4.7503,4.7624,16.3675,16.3675,16.3675,17.2571,17.5047,17.97,18.5011,18.6711,18.8842,18.8842
heat_pump,power,FR,90.9852,91.6289,91.6289,91.6289,94.1269,100.0766,102.1415,104.8053,108.1172,110.8387,119.8316,123.9945,129.313,136.146,137.7869,140.3172,145.3072,147.357,151.6944,153.1115,153.1115,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997,156.3997
heat_pump,power,HR,1.9191,1.9575,1.9575,1.9575,2.0399,2.1238,2.3143,2.3926,2.4612,2.6453,2.7194,3.791,4.0621,4.5113,4.5822,5.0986,5.1687,5.6127,5.8214,6.0113,6.2557,9.532,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053,9.6053
heat_pump,power,HU,9.5162,9.5374,9.5374,9.5374,10.1807,11.0974,11.2741,11.4508,11.6275,12.3391,12.8205,13.7819,14.9954,17.0405,17.4908,20.6161,21.5515,23.618,25.638,26.5166,26.946,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085,28.3085
heat_pump,power,IE,7.9043,7.9241,7.9241,7.9241,7.9011,7.9218,7.9359,8.1128,8.127,8.1901,8.2042,8.4496,8.4895,9.0623,9.3394,9.5518,9.664,9.7094,10.0371,10.0697,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727,10.727
heat_pump,power,IT,48.9439,49.3422,49.3422,49.3422,57.1022,65.6899,70.3679,75.0459,82.2091,87.1746,95.364,106.1233,119.4981,128.002,128.8348,133.94,137.9105,141.9264,145.0845,146.1225,150.8408,150.8408,150.8408,150.8408,152.698,152.698,152.698,155.2186,155.2186,155.2186,155.2186
heat_pump,power,LT,2.0801,2.0801,2.0801,2.0801,2.111,2.223,2.2382,2.2803,2.4336,2.4667,2.4795,2.6032,2.6238,3.1758,3.1891,3.3315,3.5952,3.8009,5.3313,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7085,5.7126,5.7126,5.9781
heat_pump,power,LU,0.2372,0.2372,0.2372,0.2372,0.2245,0.2226,0.1954,0.1954,0.1936,0.1953,0.2064,0.3116,0.3227,0.3535,0.3778,0.5052,0.5229,0.6724,0.7204,0.7204,0.7588,2.1583,2.1583,2.1583,2.4732,2.4732,2.4732,2.4732,2.4732,2.4783,2.4783
heat_pump,power,LV,0.066,0.0713,0.0713,0.0713,0.0674,0.1478,0.1616,0.1933,0.2469,0.2889,0.2889,0.4332,0.4332,0.4332,0.5923,0.6265,0.6462,0.7248,0.7248,0.8879,1.1326,3.6482,3.6482,3.7351,3.7351,3.7351,3.7351,3.7351,3.7351,3.8749,3.8749
heat_pump,power,NL,1.542,1.5742,1.5742,1.5742,1.5216,1.4839,1.3969,1.3885,4.5427,8.9007,12.0548,16.6526,19.8385,22.2834,22.7003,22.7003,23.1053,23.5106,24.2504,24.4288,24.4288,31.242,31.242,31.242,31.242,36.4078,45.2608,45.2608,45.2608,45.0521,45.0521
heat_pump,power,NO,10.4566,10.4566,10.4566,10.4566,8.956,7.9306,6.0923,6.0923,6.1047,6.1164,6.1164,6.1278,6.1324,6.296,6.4695,6.5124,6.5255,6.7707,6.835,6.9066,6.9579,15.1299,19.4942,19.4942,19.4942,19.4942,19.4942,19.4942,19.4942,19.6688,19.6688
heat_pump,power,PL,13.3848,13.3848,13.3848,13.3848,13.3848,13.6397,14.2963,14.6656,16.1203,16.4896,17.3565,17.7258,18.2728,18.6397,18.863,18.863,20.0251,22.4249,27.0025,29.3069,42.1663,75.5127,75.5127,77.0084,77.0084,77.0084,77.0084,77.0084,77.0084,77.0084,77.0084
heat_pump,power,PT,1.8261,1.8275,1.8275,1.8275,1.8456,1.9064,2.0627,2.1699,2.3362,2.4207,2.495,2.7095,2.836,2.8886,2.8886,2.8886,2.9926,3.0252,3.0323,3.0323,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423,3.0423
heat_pump,power,RO,0.0665,0.0665,0.0665,0.0665,0.063,0.0726,0.0726,1.6243,2.6661,2.6836,3.0952,3.1727,3.3237,4.3058,4.6519,4.652,5.9578,6.9209,7.165,7.5912,8.6671,11.3187,11.3187,11.3187,12.5699,12.6617,12.6617,13.1871,13.1871,13.1871,13.1871
heat_pump,power,SE,7.6737,7.6737,7.6737,7.6737,7.1767,6.2998,6.3141,6.3727,6.5779,6.5935,6.5935,7.6346,7.6346,7.6346,7.6442,7.6442,7.6442,7.7702,7.7702,7.85,10.415,20.8665,20.8665,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446,22.4446
heat_pump,power,SI,3.11,3.149,3.149,3.149,3.144,3.1885,3.1885,3.1885,3.1885,3.2189,3.2713,3.2995,3.454,3.5275,3.6019,3.629,3.6924,3.7907,3.7907,3.7907,3.7977,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
heat_pump,power,SK,0.4978,0.5248,0.5248,0.5248,0.5248,0.5132,0.4607,0.4607,0.4607,0.4607,0.4607,1.0128,1.0128,1.713,1.8182,1.8248,1.8267,1.8696,2.0573,2.4139,2.6167,5.3232,5.3232,5.3232,5.3232,6.4936,7.0002,7.0002,7.0002,7.0002,7.0002
heat_pump,power,UK,43.0751,43.568,43.568,43.568,51.1225,59.9415,67.6573,75.3921,84.3425,92.5353,100.6232,110.849,118.8907,129.7922,130.8265,131.5216,133.7119,138.6943,145.9252,148.1591,150.6743,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493,155.0493
photovoltaics,power,AT,31.2672,32.0072,32.0072,32.0072,32.0072,32.0072,32.0072,32.1794,35.8748,37.9425,40.8591,40.8586,40.8579,40.857,40.8559,41.8033,44.008,46.2977,46.2933,46.2731,50.9654,55.7711,55.9509,56.46,56.46,58.455,62.2809,64.5414,67.4251,75.8962,76.5271
photovoltaics,power,BE,6.2849,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,10.1029,10.1582,10.204,17.7718,18.9581,19.7543,20.1446,20.1414,20.1547,20.1502,20.1317,20.0437,20.9326,21.1265,20.0586,20.4823,20.2136,20.1073,20.4399,21.6526,21.5906,21.3239,21.3239,22.5212
photovoltaics,power,BG,5.7547,5.9147,5.9147,5.9147,5.9147,6.274,6.8946,6.8946,6.953,8.3217,8.3217,8.3217,8.3217,8.3217,8.3217,8.3217,8.3217,8.3217,8.3205,8.3155,8.2851,8.8214,8.9029,9.2935,9.7734,10.1941,10.4905,10.4875,10.4815,10.4745,10.045
photovoltaics,power,CH,26.0438,26.7268,26.7268,26.7268,26.7268,35.8264,40.3157,41.6163,41.6163,41.6163,43.3614,43.3609,43.3601,43.3591,43.3578,44.3795,44.3777,44.3707,44.3588,44.3286,45.5542,53.8617,55.8389,57.3589,57.8435,58.6602,58.837,59.7179,59.7179,59.7179,59.7179
photovoltaics,power,CZ,7.3778,7.3778,7.3778,7.3778,7.3778,7.3778,7.3778,7.3778,7.3778,7.3778,7.3777,7.3777,7.3775,7.3774,7.3772,7.377,7.3767,7.372,7.3096,6.882,5.4218,5.3773,5.3053,5.2504,5.2477,5.2465,5.2457,5.2407,5.2357,5.2307,3.2304
photovoltaics,power,DE,55.1182,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,72.4338,72.6967,72.3354,71.8537,71.2516,70.5291,72.2616,70.9908,69.0409,64.5945,70.8768,84.9423,91.2671,90.0425,88.8525,89.2316,88.679,102.0768,101.9073,105.3531,111.5574
photovoltaics,power,DK,1.3595,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0375,2.0374,2.0374,2.0374,2.0372,2.037,2.0348,2.0189,1.6456,1.4828,1.4329,1.2395,1.1865,1.1276,1.0316,0.929,0.929
photovoltaics,power,EE,0.164,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.369,0.337,0.296,0.296
photovoltaics,power,EL,3.2604,4.1574,4.1574,4.1574,4.1574,4.1574,4.1574,4.1574,4.1574,4.1574,4.1572,4.1569,4.1563,4.1556,4.1548,4.1537,4.1525,4.1499,4.1349,4.0985,3.9485,3.5244,2.6124,2.1605,2.1534,2.2204,2.229,2.2283,2.3557,2.2077,2.3216
photovoltaics,power,ES,33.4258,37.9784,37.9784,37.9784,37.9784,37.9784,37.9784,40.5323,41.0685,41.0685,41.0543,41.026,40.9836,40.927,40.8563,40.7714,42.553,49.1314,50.3489,50.28,51.4161,51.0561,50.8431,53.7975,55.3646,55.3156,55.2608,55.4175,55.8324,58.3898,62.1637
photovoltaics,power,FI,0.3064,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3864,0.3862,0.3859,0.3855,0.3849,0.3842,0.3834,0.3824,0.3814,0.3804,0.3794,0.3784,0.3774,0.3764,0.3754,0.3694,0.3644,0.3483,0.3056,0.2466,0.1662,0.1662
photovoltaics,power,FR,10.9384,13.7314,13.7314,13.7314,13.7314,13.7314,13.7314,13.7314,13.7314,13.7314,13.7298,13.7267,13.7221,13.7158,13.708,16.0706,16.0597,16.0284,15.9239,15.7219,15.3823,28.2751,28.3087,29.0673,28.4708,34.0543,36.1711,35.7635,34.9015,34.5851,38.1711
photovoltaics,power,HR,2.7173,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7173,2.7023,2.6883,2.6783,2.6703,2.6653,2.6621,3.0944,3.0259
photovoltaics,power,HU,2.1289,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9574,2.9564,2.9541,2.9399,2.9185,2.8774,2.7955,2.7346,2.6239,2.2966,1.557,1.557
photovoltaics,power,IE,0.084,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.742,0.742,0.742,0.742,0.742,0.742
photovoltaics,power,IT,58.9202,59.8562,59.8562,59.8562,59.8562,59.8562,59.8562,59.8562,59.8562,59.8562,59.854,59.8496,59.8429,59.8341,59.823,59.8097,59.7942,59.7241,59.3857,58.6673,54.8184,50.0095,47.6138,47.9693,47.5603,47.3609,47.4409,47.0724,46.9938,46.8598,46.8598
photovoltaics,power,LT,0.103,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.101,0.1,0.089,0.087,0.087,0.087
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,10.4248,14.2058,14.2058,14.2058,14.2058,14.2058,14.2058,14.2058,14.2058,14.2058,14.2056,14.2052,14.2045,14.2037,14.2026,14.2013,14.1998,14.1984,14.194,14.1833,14.1626,14.1026,13.8856,13.511,13.236,12.769,15.4931,15.2363,14.8183,14.7528,14.7528
photovoltaics,power,NO,0.1575,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2225,0.2115,0.1935,0.17,0.119,0.119
photovoltaics,power,PL,3.9301,7.7801,7.7801,7.7801,7.7801,7.7801,7.7801,7.7801,7.7801,7.7801,10.4941,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.1115,11.0995,11.0115,10.9124,10.899,10.9005,10.9197,10.9197
photovoltaics,power,PT,9.8262,10.5272,10.5272,10.5272,10.5272,10.5272,10.5272,10.5272,10.5272,10.5272,10.8806,10.8805,10.8803,10.8801,10.8798,12.5722,12.5718,12.6629,12.6159,13.0213,12.9973,12.9563,12.8873,12.8323,12.7128,12.6778,12.6118,12.5468,12.4588,12.2068,7.017
photovoltaics,power,RO,1.3962,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4262,1.4242,1.8138,1.7849,0.9709,0.6077,0.5295,0.7602,0.7572,0.7557,0.8327,0.8327
photovoltaics,power,SE,1.1782,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6812,1.6811,1.681,1.6807,1.6804,1.6799,1.6794,1.6788,1.6774,1.6757,1.6749,1.6722,1.6679,1.6594,1.6403,1.6041,1.5583,1.4791,1.366,1.186,0.899,0.899
