technology,capacity_type,location,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
heat_pump,power,DK,2.4099,0.0,0.0,0.0,0.4835,0.6031,0.5415,0.8158,0.1833,0.1344,0.4053,0.2556,0.3127,0.7131,0.5802,0.7458,0.1721,0.661,0.7376,2.4698,5.804,5.4448,0.0076,0.4835,0.6031,0.5415,0.8158,0.1833,0.1344,0.4053,0.2556
photovoltaics,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,DK,10.8445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3869,0.0,0.559,0.0,0.0,0.0,0.1209,0.9139,5.8744,1.18,0.323,1.0002,3.3531,13.4186,2.4968,0.4777,0.0,0.0,0.0
heat_pump,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1864,4.358,3.356,4.5978,3.2229,2.6711,0.4306,0.1057,0.5454,0.5773,0.9524,0.1784,0.0,6.8132,0.0,0.0,0.0,5.1658,8.853,3.1864,4.358,3.1474,4.5978
photovoltaics,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2581,0.5181,1.1921,2.5034,0.0
wind_onshore,power,NL,19.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7601,3.6728,2.3139,1.1372,4.6592,3.5417,0.2305,0.0,1.671,0.0,0.3344,6.3323,0.2254,0.1177,0.3234,0.0481,0.3595,19.761,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8322,3.1134,5.6449,12.0939,7.0583,5.7146,9.568,20.3776,11.3451,10.9789,2.6456,101.9165,0.0,0.0,0.0,0.0,0.8397,37.3013,0.0,9.811,3.2048
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.503,0.5036,0.0,0.0,0.0,0.0,2.5754,0.0,0.0,0.0,13.7221,21.9758,14.4849,1.4082,0.0,1.7031,0.9024,15.0579,3.4208,7.2778,6.2043
wind_onshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9046,8.6919,3.0882,5.2591,19.5716,10.4931,7.5136,6.5135,10.5595,12.6864,4.0974,4.51,5.0781,2.6679,1.0257,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4475,0.3615,1.6378,1.0357,0.8266,0.265,1.7815,0.1541,0.1884,0.8613,18.7289,0.0,0.0,0.0,0.7221,3.4123,0.0,0.0,0.0,0.347
photovoltaics,power,CH,23.0808,0.0,0.0,0.0,0.0,9.0996,4.4893,1.3006,0.0,0.0,1.7453,0.0,0.0,0.0,0.0,1.0233,0.0,0.0,0.0,0.0,1.2714,8.4045,2.1908,1.85,0.7876,1.1538,0.4401,1.1214,0.27,0.33,23.0808
wind_onshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6151,0.0119,0.0,0.0,0.0,0.0,1.0372,2.6718,1.3399,1.2422,1.4544,2.8389,1.1597,7.1908,0.0,3.054,0.7395,0.2319,2.1265,1.6437,0.828,0.7056,0.942
heat_pump,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.5908,0.5479,0.7134,0.2271,1.4285,1.1921,0.4177,0.3357,0.3652,0.4606,0.0054,0.3537,0.7399,0.0799,2.565,10.4514,0.0,1.5781,0.0,0.5908,0.5479,0.7134,0.2271,1.4285,1.1921
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,UK,37.7152,0.0,0.0,0.0,8.1793,9.3199,8.2286,7.9071,9.466,8.1928,8.5398,10.2257,8.1685,11.6848,1.8983,1.3104,2.1991,5.1149,7.2819,39.9491,2.5152,4.375,0.0,8.1793,9.3199,8.2286,7.9071,9.466,8.1928,8.5398,10.2257
photovoltaics,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,UK,62.4899,0.0,0.0,0.0,0.0,0.0,1.7755,8.0459,4.9015,2.9901,2.306,6.6921,4.0959,3.9515,1.6191,9.1812,5.5095,2.6509,9.6163,4.5919,3.1173,3.7709,6.5414,7.1774,13.832,64.328,0.5038,1.0814,0.6887,0.4629,3.3553
heat_pump,power,ROE,184.6502,0.0,0.0,0.0,12.605,20.0221,14.4214,18.1902,18.7258,14.3761,28.4031,25.8708,27.4638,34.0317,8.8441,18.7373,23.5306,20.0178,24.8853,197.621,24.2113,117.9463,4.4376,14.6068,24.3758,17.6493,25.9151,22.8514,14.5891,28.7477,26.1364
photovoltaics,power,ROE,108.6345,0.0,0.0,0.0,0.0,0.3593,0.6205,11.9749,4.3452,3.4821,13.5528,1.8049,0.7981,0.3929,0.0,5.0306,4.087,9.5193,3.9755,1.9013,7.341,24.5514,5.7628,8.7736,3.3763,10.8915,9.4631,3.5869,4.6372,21.0309,110.0825
wind_onshore,power,ROE,284.7092,0.0,0.0648,0.0012,0.2026,4.1442,2.1757,17.8571,20.5863,30.8316,34.8331,25.7039,31.6482,35.1294,33.7014,64.1598,32.1122,18.0657,36.9845,42.5025,50.7471,63.3259,26.7413,29.0024,14.3771,299.1457,17.028,8.7934,5.7041,7.0249,6.2321
