technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
heat_pump,power,AT,2.6022,2.7354,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789,1.6819,1.8584,1.8472,3.1202,3.647,4.2161,4.1057,5.3068,5.4205,5.5596,6.0932,18.5765,18.5765,18.5765,18.5765,19.0837,21.2137,21.4455,21.057,20.8687
heat_pump,power,BE,2.4029,2.5452,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,1.8575,3.0327,3.3963,6.5986,7.9115,8.4306,11.2788,11.1143,12.5618,12.6583,14.1331,14.7437,15.0064,16.437,32.1895,32.1895,32.1895,32.1895,33.2963,36.7419,37.1132,34.6081,36.5533
heat_pump,power,BG,0.7664,4.1937,4.1937,4.1937,4.1775,4.2158,4.2345,4.3419,4.5366,4.6027,4.7951,4.7709,4.7455,4.6781,4.7901,4.7673,4.8753,4.8324,4.8958,2.3426,6.0284,6.0284,9.2365,9.1748,9.1421,9.0898,9.0486,9.1282,9.085,9.2774,9.2375
heat_pump,power,CH,3.5258,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,1.7524,1.9916,1.9764,3.6142,4.3279,5.099,4.9494,6.5768,6.7309,6.9193,7.7805,26.5094,26.5094,26.5094,26.5094,27.2316,30.6439,30.6439,30.6439,30.1963
heat_pump,power,CZ,1.9764,2.0217,2.0217,2.0217,1.8812,1.7884,1.6713,2.7589,2.822,2.8513,2.7272,3.1059,3.1524,3.1031,3.5026,4.039,4.1891,7.1771,8.8212,11.4231,12.3661,13.7135,27.4971,27.4971,27.8834,26.7715,27.7896,27.7832,27.6084,27.4148,27.724
heat_pump,power,DE,7.4363,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,13.4641,16.3391,21.4411,33.5329,40.3147,45.6285,54.5361,74.3239,85.6689,96.6479,99.2934,201.21,201.21,201.21,201.21,201.21,202.0496,239.3509,229.5187,236.2163
heat_pump,power,DK,1.6075,4.0515,4.0515,4.0515,3.9874,4.3702,4.8898,5.3597,6.1266,6.3099,6.1811,6.5623,6.7175,6.8485,7.5616,8.0312,8.7294,8.776,9.1987,7.5264,9.9962,15.8001,21.2449,20.769,20.6494,20.711,20.4367,21.0692,21.1181,20.8472,20.9969
heat_pump,power,EE,0.0534,0.0555,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0405,0.0337,0.0313,0.0522,0.0641,0.0853,0.1169,0.3276,0.3479,0.3523,0.3589,0.3774,0.4509,2.5639,2.5639,2.5639,2.5639,2.6679,2.6702,2.9167,2.9488,2.994
heat_pump,power,EL,5.8748,20.7227,20.7227,20.7227,20.7227,20.6381,20.5308,20.6413,20.88,21.3752,21.8025,21.917,21.7779,20.1568,23.6389,23.242,23.5322,24.5741,24.5741,10.1233,25.0825,25.3578,25.3578,25.3578,25.2733,25.1061,24.8415,24.7582,24.9995,24.8199,24.7828
heat_pump,power,ES,3.4408,21.1423,21.1423,21.1423,20.9067,20.94,21.2188,21.9927,27.13,27.6827,28.6288,29.1426,31.362,31.2175,32.8538,33.2154,33.8752,34.0754,34.1213,17.2134,38.7668,38.7668,38.7668,38.4592,38.1992,37.6146,33.5388,38.2469,37.6711,38.2027,36.4841
