technology,capacity_type,location,0,1,2,3,4,5
heat_pump,power,AT,1.6543,3.7565,5.2497,6.0415,21.5441,21.5441
heat_pump,power,BE,1.8575,9.2997,13.0274,15.8995,37.9171,37.9171
heat_pump,power,BG,1.049,1.0692,1.9194,3.0075,10.3245,10.3245
heat_pump,power,CH,2.2415,5.0898,7.1129,8.1858,30.6304,30.6304
heat_pump,power,CZ,1.5455,2.1291,9.0415,10.3888,26.6183,28.2442
heat_pump,power,DE,4.6909,2.8486,58.9052,73.6676,209.2309,234.2535
heat_pump,power,DK,1.2726,2.9701,4.8245,21.5098,21.7044,21.7044
heat_pump,power,EE,0.0405,0.019,0.1656,0.2569,2.7043,2.8012
heat_pump,power,EL,5.0752,7.0016,8.1129,8.4572,25.4269,25.4269
heat_pump,power,ES,28.8113,33.6444,36.0252,38.7996,38.7996,38.7996
heat_pump,power,FI,3.0188,1.981,2.3503,2.5835,16.7663,16.5109
heat_pump,power,FR,110.9029,131.422,146.7466,150.0348,150.0348,156.3997
heat_pump,power,HR,5.3392,5.9813,7.1506,8.2882,8.2882,9.4453
heat_pump,power,HU,8.7918,11.7888,20.6824,22.4517,26.152,28.1301
heat_pump,power,IE,6.5975,7.7469,8.4771,10.727,10.727,10.727
heat_pump,power,IT,33.8042,69.4221,86.7098,93.2957,149.1867,155.2291
heat_pump,power,LT,0.1993,0.4707,0.7168,4.6057,4.6057,4.8574
heat_pump,power,LU,0.1936,0.3761,0.7187,1.072,2.5621,2.5873
heat_pump,power,LV,0.0713,0.3032,0.4679,0.5802,3.7438,4.2418
heat_pump,power,NL,1.3563,15.1559,16.8844,17.1722,45.4322,45.4322
heat_pump,power,NO,2.9081,3.174,3.6111,3.8372,19.6688,19.6688
heat_pump,power,PL,1.5038,3.8772,9.0782,35.4485,73.2376,73.2376
heat_pump,power,PT,2.4207,2.8886,3.0323,3.0423,3.0423,3.0423
heat_pump,power,RO,0.0407,1.5384,2.7637,3.8228,11.0024,11.4731
heat_pump,power,SE,4.5143,5.565,5.7709,7.6165,22.9334,22.9334
heat_pump,power,SI,3.3849,3.6338,3.7977,4.2788,4.4548,4.5292
heat_pump,power,SK,0.4522,1.7889,2.3779,3.1361,7.1226,7.1434
heat_pump,power,UK,92.5353,130.8265,148.1591,155.0493,155.0493,155.0493
photovoltaics,power,AT,23.7564,38.5796,46.0444,62.5924,89.7371,115.4169
photovoltaics,power,BE,14.5081,29.261,35.4166,37.508,52.549,59.6717
photovoltaics,power,BG,8.9668,10.105,11.0256,12.9761,17.3827,19.8169
photovoltaics,power,CH,27.1538,32.7949,48.3525,59.7179,59.7179,59.7179
photovoltaics,power,CZ,12.7883,12.7877,16.8465,18.9016,18.938,18.933
photovoltaics,power,DE,77.7439,94.7427,104.4859,121.8814,198.857,231.346
photovoltaics,power,DK,2.0375,2.0375,2.037,1.4329,0.929,0.0
photovoltaics,power,EE,0.37,0.37,1.1143,1.1143,1.0403,2.0666
photovoltaics,power,EL,9.6528,10.3254,13.0094,16.0267,21.4738,26.3235
photovoltaics,power,ES,44.51,59.7162,72.8269,83.8451,84.507,95.4827
photovoltaics,power,FI,0.3864,0.3842,0.3794,0.3694,0.1662,0.0
photovoltaics,power,FR,14.4622,21.1131,55.6819,84.2908,103.8473,115.4449
photovoltaics,power,HR,4.1569,5.2363,7.2152,9.0814,9.0296,10.2313
photovoltaics,power,HU,2.9574,3.342,8.4732,9.3118,9.4624,12.3035
photovoltaics,power,IE,0.144,4.7367,6.1217,8.4904,9.971,9.855
photovoltaics,power,IT,65.9133,70.6453,89.2531,94.5058,115.7116,121.8627
photovoltaics,power,LT,0.169,3.5907,4.255,4.5067,5.5171,5.4301
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,16.0137,16.0104,15.9912,19.4632,26.0534,28.5545
photovoltaics,power,NO,0.2225,0.2225,0.2225,0.2225,0.119,0.0
photovoltaics,power,PL,14.5073,22.0666,22.8827,26.2465,38.8602,40.6767
photovoltaics,power,PT,9.3206,9.3198,11.1779,11.6491,13.204,13.294
photovoltaics,power,RO,2.6103,2.65,4.5978,6.2535,12.6374,18.1452
photovoltaics,power,SE,1.6812,1.6799,1.6749,1.6041,0.899,0.0
photovoltaics,power,SI,0.3967,0.3963,0.3859,0.151,0.092,0.0
photovoltaics,power,SK,4.0071,5.6831,7.8347,8.8076,11.2574,12.0857
photovoltaics,power,UK,14.2431,14.2358,14.2173,15.0667,19.3528,25.7334
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,2.2557,2.2252,1.549,0.7057,0.0,1.85
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,7.6776,7.6701,6.6479,0.3192,0.0,27.84
wind_offshore,power,DK,1.8872,1.6497,1.0395,0.6048,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.005,0.005,0.005,0.0,0.0,0.0
wind_offshore,power,FI,0.0443,0.0443,0.042,0.0,0.0,0.0
wind_offshore,power,FR,0.002,0.002,0.002,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NL,2.9862,2.7582,2.7582,1.8852,0.0,0.0
