technology,capacity_type,location,0,1,2,3,4,5
heat_pump,power,AT,0.0,2.8949,2.2217,0.9249,18.3975,2.2217
heat_pump,power,BE,0.0,8.5044,4.3807,3.0144,30.522,4.3807
heat_pump,power,BG,0.1412,0.2722,1.0521,1.6831,7.5893,1.0521
heat_pump,power,CH,0.0,3.9224,3.0101,1.2532,26.3671,3.0101
heat_pump,power,CZ,0.0,1.6242,7.372,1.3926,17.8537,8.9979
heat_pump,power,DE,0.0,0.0,58.1229,15.5447,135.5633,83.1456
heat_pump,power,DK,0.0,2.267,2.5235,16.7194,2.4615,2.5235
heat_pump,power,EE,0.0,0.0,0.1635,0.0933,2.4474,0.2604
heat_pump,power,EL,0.0,5.8333,2.2796,0.3443,22.8029,2.2796
heat_pump,power,ES,24.6313,5.819,3.4695,29.5111,5.819,3.4695
heat_pump,power,FI,0.0,0.0,2.2499,0.3336,14.1828,1.9945
heat_pump,power,FR,93.5175,25.1848,18.708,106.1421,25.1848,25.0729
heat_pump,power,HR,4.5012,0.8178,1.3743,6.0962,0.8178,2.5313
heat_pump,power,HU,7.9585,3.2088,9.0774,10.1656,6.909,11.0554
heat_pump,power,IE,5.9061,1.3487,0.8569,8.5214,1.3487,0.8569
heat_pump,power,IT,16.133,38.8182,22.5247,31.9529,94.7092,28.567
heat_pump,power,LT,0.0,0.3202,0.3185,3.9671,0.3202,0.5702
heat_pump,power,LU,0.0,0.2314,0.4873,0.3533,1.7216,0.5125
heat_pump,power,LV,0.0,0.2512,0.1848,0.1442,3.4148,0.6828
heat_pump,power,NL,0.0,14.2785,2.5737,0.32,42.5385,2.5737
heat_pump,power,NO,0.0,1.874,1.7371,0.226,17.7057,1.7371
heat_pump,power,PL,0.0,3.7023,5.3759,26.3703,41.4914,5.3759
heat_pump,power,PT,2.0625,0.6153,0.1741,2.2529,0.6153,0.1741
heat_pump,power,RO,0.0,1.5193,1.2444,1.0591,8.6989,1.7151
heat_pump,power,SE,0.0,3.7392,2.0316,1.8456,19.0561,2.0316
heat_pump,power,SI,2.589,0.4598,0.3119,3.5072,0.6357,0.3863
heat_pump,power,SK,0.0,1.5718,0.7792,0.7851,5.5583,0.8
heat_pump,power,UK,85.4825,40.5171,18.1403,96.3919,40.5171,18.1403
photovoltaics,power,AT,18.272,14.8266,7.4945,17.2807,28.0403,26.7607
photovoltaics,power,BE,0.7674,14.7626,6.8295,4.6653,16.923,8.8535
photovoltaics,power,BG,6.381,1.1381,0.9268,2.9603,4.4466,2.6711
photovoltaics,power,CH,19.8619,5.6449,15.6101,12.3549,1.4408,1.1593
photovoltaics,power,CZ,8.4842,0.0,4.554,3.6893,0.0534,0.0
photovoltaics,power,DE,0.0,18.8051,18.9758,44.7285,88.837,43.3069
photovoltaics,power,DK,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EE,0.0,0.0,0.7443,0.0,0.0,1.3223
photovoltaics,power,EL,1.338,0.6752,2.7402,5.5619,5.6609,6.1899
photovoltaics,power,ES,8.4564,15.4184,16.6677,12.1479,6.2103,18.5553
photovoltaics,power,FI,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FR,0.0,6.6742,34.9269,34.0009,23.7486,15.3635
photovoltaics,power,HR,3.9189,1.0794,1.9789,1.8991,0.0,1.2359
photovoltaics,power,HU,0.0,0.3847,5.1312,0.9185,1.471,4.3982
photovoltaics,power,IE,0.0,4.5927,1.385,2.3687,1.5086,0.0
photovoltaics,power,IT,20.8126,4.7652,19.7635,22.6857,23.4697,7.8156
photovoltaics,power,LT,0.0,3.4217,0.6642,0.2517,1.0924,0.0
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,0.0,0.0,0.0,4.4194,12.5452,9.7821
photovoltaics,power,NO,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,PL,0.0,7.5594,0.816,3.3758,13.9019,8.2964
photovoltaics,power,PT,5.7704,0.0,1.9659,0.7798,2.0609,0.9419
photovoltaics,power,RO,0.0,0.0397,1.9478,2.8807,6.545,5.5478
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SI,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SK,2.8581,1.676,2.1519,1.515,2.4718,0.8383
photovoltaics,power,UK,0.0,0.0,0.0,6.2877,12.2358,7.2099
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,0.0,0.0,0.0,0.0,0.0,1.85
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,27.84
wind_offshore,power,DK,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FI,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FR,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NO,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,RO,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SE,0.0,0.0,0.0,0.0,10.9574,1.537
wind_offshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SK,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,UK,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,AT,6.0937,0.3815,0.7965,1.092,0.2073,8.5711
wind_onshore,power,BE,3.4874,0.4354,0.5522,0.9625,0.3711,5.8085
wind_onshore,power,BG,5.1879,3.5577,1.65,0.5167,2.3757,6.2732
wind_onshore,power,CH,0.0,7.629,2.0601,0.5098,9.5389,0.329
wind_onshore,power,CZ,13.3196,3.1822,7.1569,4.4359,11.6945,19.0095
wind_onshore,power,DE,0.0,13.8701,32.2681,33.926,26.9084,0.0
wind_onshore,power,DK,3.3365,3.2698,1.4333,9.8552,2.5901,7.26
wind_onshore,power,EE,1.3171,0.3771,0.3252,0.2823,3.9115,5.0554
wind_onshore,power,EL,0.8539,2.6137,1.4737,2.5656,4.3142,5.1339
wind_onshore,power,ES,0.0,21.6621,16.0391,15.5229,7.9717,14.3383
wind_onshore,power,FI,9.8132,10.5064,4.3094,2.0981,0.9089,12.9429
wind_onshore,power,FR,0.0,10.6243,67.9258,69.4921,26.7204,34.0311
wind_onshore,power,HR,0.0,0.0,0.8707,1.9419,0.6995,1.5352
wind_onshore,power,HU,14.5113,2.5738,7.0298,1.9298,3.7133,17.2899
wind_onshore,power,IE,0.0,1.7529,1.1768,3.7435,2.2104,5.4263
wind_onshore,power,IT,16.7754,36.2967,19.0787,11.1719,29.9483,36.4058
wind_onshore,power,LT,5.0117,0.1372,0.3587,4.0137,2.4693,7.8867
wind_onshore,power,LU,0.0,0.0,0.0,0.0,0.3848,0.2354
wind_onshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.8244
wind_onshore,power,NL,7.0318,13.5068,4.9336,4.4391,14.8049,11.1807
wind_onshore,power,NO,0.0,8.5793,4.7618,10.4449,17.2377,4.3159
wind_onshore,power,PL,39.8515,7.6691,10.7928,13.2328,15.8552,53.9984
wind_onshore,power,PT,0.0,4.2633,0.0,0.0,0.0,4.5824
wind_onshore,power,RO,0.6164,2.7214,4.7889,1.0166,2.1555,12.9053
wind_onshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,SK,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,UK,38.0232,23.5931,18.9017,33.748,7.229,68.3246
