technology,capacity_type,location,0,1,2,3,4,5
heat_pump,power,AT,1.6543,0.8616,3.0281,5.1166,3.1466,19.3225
heat_pump,power,BE,1.8575,0.7952,8.6467,12.8851,7.3951,33.5364
heat_pump,power,BG,0.4539,0.7969,0.8673,1.3244,2.7353,9.2724
heat_pump,power,CH,2.2415,1.1674,4.1028,6.9325,4.2634,27.6203
heat_pump,power,CZ,1.5455,0.5049,1.6695,8.9962,8.7646,19.2463
heat_pump,power,DE,4.6909,2.8486,0.7823,58.1229,73.6676,151.108
heat_pump,power,DK,1.2726,0.7031,2.301,4.7905,19.2429,19.1809
heat_pump,power,EE,0.0405,0.019,0.0021,0.1635,0.2569,2.5408
heat_pump,power,EL,5.0752,1.1684,5.8333,8.1129,2.6239,23.1473
heat_pump,power,ES,2.09,27.8253,32.5557,9.2886,32.9806,35.3301
heat_pump,power,FI,3.0188,1.981,0.1004,2.2499,2.5835,14.5164
heat_pump,power,FR,8.6927,106.2372,128.0386,43.8927,124.85,131.3268
heat_pump,power,HR,0.419,5.1635,5.7763,2.192,7.4704,6.9139
heat_pump,power,HU,0.4167,8.58,11.6051,12.2861,19.2429,17.0746
heat_pump,power,IE,0.3457,6.3982,7.6202,2.2055,9.3783,9.8701
heat_pump,power,IT,8.8356,30.6039,64.1851,61.3428,54.4775,126.662
heat_pump,power,LT,0.1212,0.1505,0.3983,0.6387,4.2855,4.2873
heat_pump,power,LU,0.1936,0.1446,0.2314,0.7187,0.8405,2.0748
heat_pump,power,LV,0.0447,0.0519,0.2831,0.436,0.329,3.559
heat_pump,power,NL,1.3563,0.8775,14.3107,16.8522,2.8938,42.8585
heat_pump,power,NO,2.9081,1.3,1.874,3.6111,1.9632,17.9317
heat_pump,power,PL,1.5038,0.1749,3.7023,9.0782,31.7462,67.8617
heat_pump,power,PT,0.1791,2.2734,2.8582,0.7894,2.427,2.8681
heat_pump,power,RO,0.0407,0.0191,1.5193,2.7637,2.3035,9.758
heat_pump,power,SE,4.5143,1.8258,3.7392,5.7709,3.8772,20.9018
heat_pump,power,SI,0.398,3.1741,3.4857,0.7717,3.8191,4.1429
heat_pump,power,SK,0.4522,0.2171,1.5987,2.351,1.5643,6.3434
heat_pump,power,UK,3.5264,90.3094,130.0188,58.6574,114.5322,136.909
photovoltaics,power,AT,2.7422,23.753,38.5499,45.3117,61.6968,88.6562
photovoltaics,power,BE,6.8703,14.4984,28.5871,32.8427,35.6259,50.8182
photovoltaics,power,BG,1.2929,8.9668,10.0988,10.0158,12.9361,17.1457
photovoltaics,power,CH,3.6459,27.1499,32.7424,47.363,58.2771,58.5586
photovoltaics,power,CZ,2.152,12.7877,12.2925,15.2123,18.8846,18.933
photovoltaics,power,DE,61.0512,75.9376,85.5101,77.1529,110.02,188.039
photovoltaics,power,DK,2.0375,2.0375,2.037,1.4329,0.929,0.0
photovoltaics,power,EE,0.37,0.37,0.37,1.1143,1.0403,0.7443
photovoltaics,power,EL,4.1574,9.6502,10.2691,10.4648,15.8129,20.1337
photovoltaics,power,ES,18.0268,44.2978,56.1592,71.6972,78.2968,76.9274
photovoltaics,power,FI,0.3864,0.3842,0.3794,0.3694,0.1662,0.0
photovoltaics,power,FR,13.7314,14.4389,20.755,50.2899,80.0988,100.0813
photovoltaics,power,HR,0.119,4.1569,5.2363,7.1822,9.0296,8.9954
photovoltaics,power,HU,2.9574,2.9574,3.342,8.3933,7.9914,7.9054
photovoltaics,power,IE,0.144,0.144,4.7367,6.1217,8.4624,9.855
photovoltaics,power,IT,22.5504,65.8801,69.4896,71.8201,92.2419,114.0471
photovoltaics,power,LT,0.169,0.169,3.5907,4.255,4.4247,5.4301
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,14.2058,16.0104,15.9912,15.0439,13.5082,18.7724
photovoltaics,power,NO,0.2225,0.2225,0.2225,0.2225,0.119,0.0
photovoltaics,power,PL,7.7801,14.5073,22.0666,22.8707,24.9584,32.3802
photovoltaics,power,PT,1.7751,9.3198,9.212,10.8694,11.1432,12.352
photovoltaics,power,RO,1.4262,2.6103,2.65,3.3727,6.0924,12.5974
photovoltaics,power,SE,1.6812,1.6799,1.6749,1.6041,0.899,0.0
photovoltaics,power,SI,0.3967,0.3963,0.3859,0.151,0.092,0.0
photovoltaics,power,SK,0.5745,4.0071,5.6828,7.2926,8.7856,11.2474
photovoltaics,power,UK,14.2431,14.2358,14.2173,8.7789,7.117,18.5235
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,2.2557,2.2252,1.549,0.7057,0.0,0.0
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,7.6776,7.6701,6.6479,0.3192,0.0,0.0
wind_offshore,power,DK,1.8872,1.6497,1.0395,0.6048,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.005,0.005,0.005,0.0,0.0,0.0
wind_offshore,power,FI,0.0443,0.0443,0.042,0.0,0.0,0.0
wind_offshore,power,FR,0.002,0.002,0.002,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IE,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LT,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NL,2.9862,2.7582,2.7582,1.8852,0.0,0.0
wind_offshore,power,NO,0.0059,0.0036,0.0036,0.0036,0.0,0.0
wind_offshore,power,PL,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PT,0.0252,0.0252,0.0252,0.0252,0.0,0.0
wind_offshore,power,RO,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SE,0.1914,0.081,0.003,0.0,0.0,10.9574
wind_offshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SK,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,UK,10.3604,9.796,6.4329,0.5865,0.0,0.0
wind_onshore,power,AT,2.4774,10.667,10.252,9.9565,10.8413,2.4774
wind_onshore,power,BE,2.3211,7.6943,7.5775,7.1671,7.7586,2.3211
wind_onshore,power,BG,0.8695,6.6025,9.6151,11.2652,11.7818,8.1001
wind_onshore,power,CH,0.0872,0.0774,7.6539,9.7008,10.1989,19.7378
wind_onshore,power,CZ,0.2871,13.7264,16.8149,23.9458,28.3817,26.4695
wind_onshore,power,DE,41.5299,31.6858,34.5613,49.4502,80.0642,106.9725
wind_onshore,power,DK,2.557,8.3015,10.5522,10.9188,20.4519,17.1485
wind_onshore,power,EE,0.3462,1.8674,2.0655,2.3656,2.6479,4.896
wind_onshore,power,EL,4.1989,8.3744,10.3133,10.3307,11.7058,10.9672
wind_onshore,power,ES,20.5136,24.9436,42.5237,55.9536,69.2521,61.1958
wind_onshore,power,FI,3.1297,16.0226,25.9815,28.6675,29.8568,17.8227
wind_onshore,power,FR,20.2806,33.1987,38.5828,98.7884,165.7226,174.7626
wind_onshore,power,HR,0.9861,0.9593,0.6396,1.2759,2.8126,3.512
wind_onshore,power,HU,0.2816,14.9182,17.3667,24.3965,26.3263,15.2467
wind_onshore,power,IE,4.3176,7.4621,8.1622,7.4718,10.8359,8.8837
wind_onshore,power,IT,10.3494,33.6466,65.9395,83.1658,93.6721,96.4955
wind_onshore,power,LT,0.6004,6.0954,6.0285,6.1768,10.1216,6.9789
wind_onshore,power,LU,0.1342,0.1202,0.0933,0.0359,0.0,0.3848
wind_onshore,power,LV,0.0227,0.0207,0.0,0.0,0.0,0.0
wind_onshore,power,NL,4.1489,14.2144,27.1385,30.9981,34.0601,37.6843
wind_onshore,power,NO,4.1208,3.9,12.0926,15.4127,23.7861,41.0238
wind_onshore,power,PL,6.3964,51.9675,57.0208,66.0235,77.9427,47.55
wind_onshore,power,PT,5.2478,3.1307,5.9173,5.3935,5.2236,4.2633
wind_onshore,power,RO,3.1146,6.8417,6.5645,11.2414,12.258,10.6824
wind_onshore,power,SE,10.4032,9.566,6.1605,3.334,0.0,0.0
wind_onshore,power,SI,0.0032,0.0032,0.0032,0.0,0.0,0.0
wind_onshore,power,SK,0.002,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,UK,13.492,62.3694,81.0357,94.6604,127.758,83.4718
