technology,capacity_type,location,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.791
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,CH,13.1806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9035,0.3893
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,ROE,38.4027,0.0,0.0,0.0538,0.0698,1.3454,5.3733,0.7206,1.2258,0.9257
photovoltaics,power,ROE,70.7078,3.8967,0.0,0.0,8.613,18.9415,39.8028,19.8232,13.5798,20.7228
wind_offshore,power,ROE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,ROE,81.6482,0.0068,0.0012,0.0008,0.0226,0.0196,6.0019,8.7353,28.5223,37.5906
