technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1802,0.0,0.0399,0.0698,0.1372
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274,0.607,0.6441,1.01,3.4175
heat_pump,power,ES,13.7737,0.0,0.7638,0.6005,1.185,5.2608,0.5528,1.1285,0.597,2.3156,0.4299,1.686
heat_pump,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,FR,6.4166,0.0,0.0,1.1902,5.2135,3.4426,4.0993,3.9657,9.5545,5.6722,6.9002,4.0478
heat_pump,power,HR,0.0,0.0,0.0,0.0,0.2389,0.111,0.0768,0.1841,0.1421,0.562,0.042,0.2339
heat_pump,power,HU,0.0,0.0,0.0,0.5917,0.2928,0.2042,0.1857,0.7221,0.5953,0.9614,1.2312,2.1253
heat_pump,power,IE,0.7901,0.0,0.0,0.2332,0.0479,0.1901,0.041,0.0795,0.1086,0.2626,0.0489,0.6305
heat_pump,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0777,10.8193,13.7192,9.514
heat_pump,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432
heat_pump,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.2199,0.0095,0.0219,0.0163,0.0302,0.0
heat_pump,power,PT,1.3668,0.0,0.0538,0.0698,0.1604,0.1125,0.1678,0.0972,0.0781,0.2156,0.128,0.1926
heat_pump,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0304,0.1176,0.0678,0.2027,0.1295
heat_pump,power,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,UK,0.0,0.0,0.0,0.0,8.2286,7.9071,9.466,8.1928,8.5398,10.2257,8.1685,11.6848
photovoltaics,power,AT,21.098,0.0,0.0,3.9867,11.0703,0.5288,1.4593,1.2777,0.1379,0.0,0.0,2.2003
photovoltaics,power,BE,0.0,0.0,0.0,0.0,2.2783,2.2042,4.004,0.1489,6.5077,0.0,0.0,0.0
photovoltaics,power,BG,1.3177,0.0,0.0,2.2571,0.4894,0.6623,0.0,2.3867,0.0,0.0,0.0,0.0
photovoltaics,power,CH,13.4706,0.0,0.0,0.0,0.0,0.4761,2.1992,0.0263,3.9202,0.0,9.4451,1.3584
photovoltaics,power,CZ,8.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2316,0.0,0.0,0.0
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,3.1618,4.8214,2.7318,3.5359,0.0,2.4714
photovoltaics,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EL,0.0,0.0,0.0,0.1947,0.4136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,ES,6.928,0.0,0.0,0.0,6.0306,3.4737,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FR,0.0,0.0,0.0,0.0,0.0,0.0812,5.7143,0.5797,3.1832,0.0,0.0,0.0
photovoltaics,power,HR,3.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.2379,0.0,0.0,0.0,0.0
photovoltaics,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,IT,31.4119,0.0,0.0,6.2446,2.9513,1.8532,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1466,0.0,0.2122,0.0
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,PL,0.0,0.0,0.0,0.0,1.5875,4.0357,0.8376,0.935,4.1344,0.857,1.7369,0.0
photovoltaics,power,PT,6.2337,0.0,0.0,0.0,0.2556,3.3038,0.6024,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,RO,0.0,0.0,0.0,0.0067,1.0937,0.4031,0.1679,0.1068,0.0,0.0,0.0,0.0
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SK,0.2646,0.0,0.0,0.0,0.0,6.678,0.4424,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
