technology,capacity_type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,location
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
photovoltaics,power,0.0,0.0,0.0,0.0,0.0,0.0,3.1618,4.8214,2.7318,3.5359,0.0,2.4714,DE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
photovoltaics,power,13.4706,0.0,0.0,0.0,0.0,0.4761,2.1992,0.0263,3.9202,0.0,9.4451,1.3584,CH
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
heat_pump,power,22.3472,0.0,0.8176,2.6854,15.3671,17.2284,14.8181,15.0174,22.4394,31.8025,31.9807,34.0424,ROE
photovoltaics,power,78.5294,0.0,0.0,12.6897,26.1703,23.224,13.2279,5.6728,16.3413,0.857,1.9491,2.2003,ROE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROE
wind_onshore,power,107.0126,0.0012,0.0008,0.0286,0.4281,19.027,24.1448,31.8646,36.3277,45.2813,50.4051,41.9529,ROE
