technology,capacity_type,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,location
heat_pump,power,8.2186,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,DE
photovoltaics,power,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,73.2137,76.8024,83.878,88.0355,DE
wind_offshore,power,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776,DE
wind_onshore,power,55.7988,55.5324,55.091,53.8138,52.3308,49.5669,46.6289,43.5796,41.5299,39.5467,DE
heat_pump,power,3.7062,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,CH
photovoltaics,power,21.5948,21.5948,21.5948,21.5948,24.2909,24.722,24.8701,24.934,26.015,29.1518,CH
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
wind_onshore,power,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0872,0.0834,CH
heat_pump,power,138.4342,138.4342,138.4342,133.2987,126.5998,119.5238,121.001,117.6925,120.3659,128.3978,ROE
photovoltaics,power,243.6134,246.854,246.854,246.854,263.0582,276.8782,307.3466,323.8201,339.1795,348.3998,ROE
wind_offshore,power,18.3219,18.3219,18.3219,18.3219,18.3219,18.2819,18.1219,17.8485,17.7633,17.6733,ROE
wind_onshore,power,261.1382,260.771,260.4058,259.8595,258.3706,256.8474,262.786,265.9353,280.8127,324.5804,ROE
