technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
DAC,power,AT,5.038510377385616e-10,6.521375918778024e-10,7.592582887165753e-10,8.765370573280337e-10,1.0136984878807974e-09,1.2205226593552726e-09,1.3836190091105593e-09,1.6363700627086261e-09,2.035087601265758e-09,6.1930704007404116e-09
DAC,power,BE,5.058580243884016e-10,6.583383311569331e-10,7.61008859906844e-10,8.590385849184991e-10,1.012039095547909e-09,1.2319732991602912e-09,1.4027139713990808e-09,1.6899451692478357e-09,2.164934209935726e-09,6.4676759249106646e-09
DAC,power,BG,5.07763220839612e-10,6.543393842717596e-10,8.053392288299176e-10,9.603687379557396e-10,1.1396810867262193e-09,1.279009060965049e-09,1.4861640338150986e-09,1.8382551772631022e-09,2.2715612816622557e-09,6.559773900734885e-09
DAC,power,CH,5.013967559485898e-10,6.490718737670113e-10,7.541494675090292e-10,8.681252417038594e-10,9.98743612410457e-10,1.211977847401056e-09,1.3730847232647842e-09,1.6484774900682344e-09,2.0903578619617777e-09,6.441149660320504e-09
DAC,power,CZ,5.050834874133682e-10,6.572598528994007e-10,7.858151750040557e-10,8.847253439121666e-10,1.0214131409872976e-09,1.2376012218173022e-09,1.4193860011157156e-09,1.7444987498723215e-09,2.153170636991822e-09,6.324021029985184e-09
DAC,power,DE,5.081135285904738e-10,6.568952905507149e-10,7.569601354867346e-10,8.60737094236801e-10,9.926547417243642e-10,1.1977517265726354e-09,1.3733678970648513e-09,1.6490931700118808e-09,2.0253345008797854e-09,6.183298983455718e-09
DAC,power,DK,4.930456386809795e-10,6.241108494062035e-10,7.522412184769718e-10,8.971174979757567e-10,1.0732446564458373e-09,1.3263981881261541e-09,1.5374976792716426e-09,1.8989830632997347e-09,2.361384139578721e-09,7.033543747422119e-09
DAC,power,EE,4.852726071162984e-10,6.211136370015557e-10,7.209471178217756e-10,8.318148818211171e-10,9.920063028582064e-10,1.2182844843408108e-09,1.3948394561344586e-09,1.6897916926823491e-09,2.204644966804587e-09,6.56065852590575e-09
DAC,power,EL,5.045154766742919e-10,6.566976700070951e-10,8.016188050149548e-10,9.293832951158787e-10,1.0163363838333277e-09,1.2008391914087511e-09,1.4016924194866432e-09,1.6588480632701853e-09,2.166801013508048e-09,6.354284903002391e-09
DAC,power,ES,4.924252138197245e-10,6.128682244267687e-10,7.322863631302349e-10,8.706041032892316e-10,1.0570576599994784e-09,1.318494378146673e-09,1.586118410885568e-09,1.907254603317079e-09,2.4103882485192415e-09,7.284695516424987e-09
DAC,power,FI,5.000980855313286e-10,6.570434396471331e-10,7.59662771292797e-10,8.870685012068503e-10,1.0717395709845799e-09,1.319868541461838e-09,1.5789517672828648e-09,1.8399524129676168e-09,2.251307283679801e-09,6.544084117960735e-09
DAC,power,FR,5.140021150340886e-10,6.729098509451344e-10,8.006816341296113e-10,9.015676462720221e-10,1.0787732879586617e-09,1.3396107723883997e-09,1.5754861498151875e-09,1.9161240347784666e-09,2.457505293195531e-09,7.474034554055602e-09
DAC,power,HR,4.981866137232817e-10,6.536575008247461e-10,7.784643419234811e-10,8.782922955663468e-10,1.0313466870718146e-09,1.2406170360237908e-09,1.4499365688812625e-09,1.7672576844484443e-09,2.2282264973561657e-09,6.516081920955555e-09
DAC,power,HU,5.136305124472128e-10,6.616062110318512e-10,7.879199544139599e-10,8.86247561810921e-10,1.0487905788145316e-09,1.2755480906657652e-09,1.5002103859741525e-09,1.8411996390217111e-09,2.2965986167370783e-09,6.838151200026428e-09
DAC,power,IE,4.962847985583631e-10,6.221948476982589e-10,7.540181024829684e-10,9.029343543259223e-10,1.0952853455182836e-09,1.3598173063502229e-09,1.7227249513483066e-09,2.1367028128109047e-09,2.699009377106766e-09,8.225948494132353e-09
DAC,power,IT,5.073481954196633e-10,6.44552099322757e-10,7.277024681310031e-10,8.480489300423775e-10,1.0149764728286487e-09,1.2386022991179727e-09,1.4471049545542455e-09,1.7628607774077169e-09,2.2565886083324595e-09,6.672731954036768e-09
DAC,power,LT,5.085063267834063e-10,6.552707076677045e-10,7.643959507377528e-10,8.778215839686042e-10,1.0566258856757382e-09,1.3247390095159058e-09,1.5661892973762583e-09,1.9250172677751555e-09,2.399596236329844e-09,7.33970276911939e-09
DAC,power,LU,4.647883622656541e-10,6.616942506621318e-10,7.982786574702919e-10,8.904741953616049e-10,1.0246325358374075e-09,1.2377799923302195e-09,1.4325607722645552e-09,1.7506684744676986e-09,2.2347359884210774e-09,6.5879230751081744e-09
DAC,power,LV,5.101092218897874e-10,6.661082530983141e-10,7.91768225531596e-10,8.894126414998386e-10,1.035623203804472e-09,1.274293929480906e-09,1.5017866391704458e-09,1.8103997243587816e-09,2.274187457350099e-09,6.781009481993503e-09
DAC,power,NL,4.74196752411988e-10,6.247990407444243e-10,7.323692454047489e-10,8.474541900575743e-10,1.0028297031668852e-09,1.2126631620145387e-09,1.3994445928037618e-09,1.6926007309523482e-09,2.104483043305641e-09,6.3422384121401275e-09
DAC,power,NO,5.232126123136576e-10,6.872053108674891e-10,8.263417703464884e-10,9.821289792890302e-10,1.1139932350780222e-09,1.3648737013211663e-09,1.6812298724664212e-09,2.049727629016839e-09,2.54104597090092e-09,7.421240780346985e-09
DAC,power,PL,5.104211609378096e-10,6.651435567125541e-10,8.020407949322897e-10,9.411493209049092e-10,1.1089509232586573e-09,1.2972105555682022e-09,1.5022785095963655e-09,1.8041273072139675e-09,2.2074303216470108e-09,6.544939515989475e-09
DAC,power,PT,4.788230653421545e-10,6.07896986992295e-10,7.274977664754121e-10,8.650315235743883e-10,1.0458427457077418e-09,1.3118965110467772e-09,1.5407104746445629e-09,1.8531153993427437e-09,2.3380335695021353e-09,6.9189046465014925e-09
DAC,power,RO,4.783263565050627e-10,5.941239444445799e-10,7.105878598284091e-10,8.435579407767189e-10,1.0136520466881938e-09,1.2301853044156882e-09,1.4481468766554182e-09,1.786295694185457e-09,2.2476905340483458e-09,6.656843204216493e-09
DAC,power,SE,5.073037860823312e-10,6.617224335832157e-10,7.648334643499849e-10,9.096477030493083e-10,1.11119308476308e-09,1.3891578378504087e-09,1.6738378290939735e-09,1.983469782474087e-09,2.41214299565246e-09,7.230246504712e-09
DAC,power,SI,5.014066517614354e-10,6.58336155953654e-10,7.999115146497415e-10,9.332628113258481e-10,1.0381893257469942e-09,1.2401046900150248e-09,1.4333833956687952e-09,1.7238866582004284e-09,2.0817068206335245e-09,6.225259802096606e-09
DAC,power,SK,4.872848357614703e-10,6.224120874451248e-10,7.361534570580345e-10,8.544043705349328e-10,1.002443054993207e-09,1.2018718035129714e-09,1.3662241948397437e-09,1.6378345762124873e-09,2.0457005820285986e-09,6.035140782869595e-09
DAC,power,UK,5.110802834502126e-10,6.322281787943524e-10,7.709433877860362e-10,9.337966960340548e-10,1.1498469570462801e-09,1.4486208373895027e-09,1.732029591285303e-09,2.1165302091358517e-09,2.679806575353868e-09,8.328796880547527e-09
battery,energy,AT,2.0908590835068237e-07,2.102540391421239e-07,3.0998878956697467e-07,5.282737281509096e-07,8.322419962768731e-07,1.252295642473861e-06,1.7613702077888585e-06,3.204127578977649e-06,5.170729599618072e-06,2.045771806239139e-05
battery,energy,BE,2.0477160027567575e-07,2.0677495632452577e-07,3.059574961740002e-07,5.116747411282283e-07,7.928515099101806e-07,1.167474866588928e-06,1.6737567677684062e-06,2.99815139178665e-06,4.166514497903945e-06,1.720853743009451e-05
battery,energy,BG,2.0399640216437699e-07,2.0565324933750014e-07,2.9635644028264864e-07,5.0486030661513e-07,7.975289212828711e-07,1.1951667006096303e-06,1.8051268363512252e-06,2.978968260799032e-06,4.1885338263915735e-06,2.257224474207042e-05
battery,energy,CH,2.071886858276703e-07,2.0862886340277453e-07,3.061170432413137e-07,5.387079333842064e-07,8.400723020280813e-07,1.2917892584035397e-06,1.813621971247895e-06,3.3646115633838047e-06,5.601442252776385e-06,2.217788871255605e-05
battery,energy,CZ,2.1238075587541113e-07,2.1351780121913974e-07,3.134664310114617e-07,5.332077908346344e-07,8.332038232610188e-07,1.2893527468220419e-06,1.7999622251873713e-06,3.783671568592484e-06,6.515112723232117e-06,2.590308614820018e-05
battery,energy,DE,2.0248641991217215e-07,2.0391146371624872e-07,2.964613093803902e-07,5.009752200054569e-07,7.970420593083142e-07,1.1853590723130385e-06,1.7005810184238382e-06,3.0354926994243693e-06,4.933068576323592e-06,1.8783197466076517e-05
battery,energy,DK,2.1207293816845554e-07,2.1343471779912552e-07,3.08613544757889e-07,5.16063561582938e-07,8.088358620668082e-07,1.1792267012936782e-06,1.7801915283432227e-06,2.8905693666127944e-06,4.10124169011328e-06,1.6725232042802097e-05
battery,energy,EE,2.1434722519494516e-07,2.153751346888316e-07,3.1022459122077454e-07,5.124853614303888e-07,7.829999057718144e-07,1.1339078727280587e-06,1.6655425843847769e-06,2.795268720591446e-06,3.831452656282523e-06,1.487682066923421e-05
battery,energy,EL,2.084913610020667e-07,2.1004972546990096e-07,3.0264456523911693e-07,5.054932340562535e-07,7.825095005782419e-07,1.2075247329690152e-06,2.024978117015873e-06,3.6659885121423417e-06,5.8590116019998625e-06,2.911064364719637e-05
