technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
DAC,power,AT,5.038510377385616e-10,1.483100889663891e-10,1.0715095496042492e-10,1.1731210347351325e-10,1.3719261857877395e-10,2.0685106874572742e-10,6.669473867123089e-10,4.010611432005375e-10,5.058684935005134e-10,4.275294903884839e-09
DAC,power,BE,5.058580243884016e-10,1.5250695794040897e-10,1.0269816328497526e-10,9.806256772095417e-11,1.5303209766126168e-10,2.1996070124538245e-10,6.765986963902132e-10,4.397381554694853e-10,5.776872031160989e-10,4.400804286243818e-09
DAC,power,BG,5.07763220839612e-10,1.466027973534259e-10,1.5103099274617233e-10,1.5505896164660754e-10,1.793418676435113e-10,1.3935643395505276e-10,7.149181927359715e-10,4.986939418373737e-10,5.84337097373588e-10,4.443271580781257e-09
DAC,power,CH,5.013967559485898e-10,1.477013049055858e-10,1.0510668261422273e-10,1.1400635654363434e-10,1.3065022016134321e-10,2.1326173982329715e-10,6.625036321812546e-10,4.2309407172262365e-10,5.469870542184072e-10,4.464798156115654e-09
DAC,power,CZ,5.050834874133682e-10,1.5220290725898798e-10,1.2858686539810245e-10,9.893806034518755e-11,1.367201179392417e-10,2.1621499628728085e-10,6.868682660801202e-10,4.773156567254702e-10,5.372587525970129e-10,4.269788454354517e-09
DAC,power,DE,5.081135285904738e-10,1.4880946089182886e-10,1.0009110635320738e-10,1.0380631673551336e-10,1.3195098272396993e-10,2.051255429661162e-10,6.837297011584147e-10,4.245347334266153e-10,4.763324358264959e-10,4.261770800068443e-09
DAC,power,DK,4.930456386809795e-10,1.3109451763324008e-10,1.2815577804781086e-10,1.4490869177898568e-10,1.761562008380905e-10,2.531825738165968e-10,7.041451302686512e-10,4.925799009625875e-10,5.905568540991503e-10,4.81706830233566e-09
DAC,power,EE,4.852726071162984e-10,1.3586397679985047e-10,9.986629350216057e-11,1.1089949259940186e-10,1.6022010310347978e-10,2.263072241303128e-10,6.618275783520332e-10,4.308162141218646e-10,6.147195680730524e-10,4.466913051335565e-09
DAC,power,EL,5.045154766742919e-10,1.5221179970809684e-10,1.4494822391015387e-10,1.2778783851555178e-10,8.699666415052606e-11,1.8452440115096636e-10,7.053687045044332e-10,4.0936744394866574e-10,6.529011742094367e-10,4.315271730161473e-09
DAC,power,ES,4.924252138197245e-10,1.2047051953742792e-10,1.194436168018353e-10,1.383490634254673e-10,1.8648541682688682e-10,2.6146576106294307e-10,7.600492459379278e-10,4.416067118494628e-10,6.225772619346805e-10,5.012656333748506e-09
DAC,power,FI,5.000980855313286e-10,1.569669637193006e-10,1.0265383263172563e-10,1.274268487324071e-10,1.8471001084187002e-10,2.481580128810639e-10,7.591813111987089e-10,4.1796760935868357e-10,5.14008702885305e-10,4.4202036860410315e-09
DAC,power,FR,5.140021150340886e-10,1.589367709542789e-10,1.2779564082664111e-10,1.0092024769991363e-10,1.7723468501405587e-10,2.608665244748195e-10,7.498774950938038e-10,4.995746546925647e-10,6.691768985649748e-10,5.11744950921456e-09
DAC,power,HR,4.981866137232817e-10,1.5549900867103417e-10,1.2483323476589122e-10,9.98600168608552e-11,1.5308592369902303e-10,2.0929745106372977e-10,7.075061460800287e-10,4.72820124812042e-10,5.858020477235188e-10,4.387715442766862e-09
DAC,power,HU,5.136305124472128e-10,1.4800149952856838e-10,1.2633962017303808e-10,9.836190958779125e-11,1.6257320757853145e-10,2.2678655448034392e-10,7.38292806874468e-10,4.88990753466315e-10,5.817385979848035e-10,4.639914493029699e-09
DAC,power,IE,4.962847985583631e-10,1.259437478735192e-10,1.3184436561066856e-10,1.4894857045076505e-10,1.9238003320780532e-10,2.645610031792863e-10,8.591924437633642e-10,5.399216092104176e-10,6.941509296031232e-10,5.675887690898543e-09
DAC,power,IT,5.073481954196633e-10,1.3723256227819704e-10,8.317619351799356e-11,1.203791068585945e-10,1.6695889866254513e-10,2.2365255430274403e-10,7.158508525284567e-10,4.5298838423441244e-10,5.769040248304249e-10,4.536522452774555e-09
DAC,power,LT,5.085063267834063e-10,1.4678920090938962e-10,1.091571633939687e-10,1.1345673931459979e-10,1.7883262551708477e-10,2.6814216689030787e-10,7.499566134654224e-10,5.056171723792548e-10,5.837361323767157e-10,5.053563271777254e-09
DAC,power,LU,4.647883622656541e-10,1.9692971373693303e-10,1.366143043049933e-10,9.22289428529836e-11,1.3419004105437844e-10,2.131738413659148e-10,6.59569141630389e-10,5.150374159805506e-10,6.206818181065416e-10,4.44541603136544e-09
DAC,power,LV,5.101092218897874e-10,1.5602720141792665e-10,1.256886098926528e-10,9.76742478916617e-11,1.462401972296288e-10,2.386996640662312e-10,7.376019311788961e-10,4.6464028714083177e-10,5.894763435042403e-10,4.604496272228089e-09
DAC,power,NL,4.74196752411988e-10,1.506311212496266e-10,1.0759452225590978e-10,1.1511892252057994e-10,1.554096381066348e-10,2.0985741836132256e-10,6.609781833181336e-10,4.437872588235686e-10,5.194768338564979e-10,4.352874294687791e-09
DAC,power,NO,5.232126123136576e-10,1.6402285732820733e-10,1.3915946554504896e-10,1.558186668592294e-10,1.3189580366751205e-10,2.5090950908754493e-10,8.395687824449429e-10,5.325206138323039e-10,6.304778068179717e-10,5.036013479685871e-09
DAC,power,PL,5.104211609378096e-10,1.5474742891332847e-10,1.369269711602465e-10,1.391404435006104e-10,1.6783108951480033e-10,1.8828867380254715e-10,7.154891153681807e-10,4.5659622673516017e-10,5.402299861350053e-10,4.47664963747821e-09
DAC,power,PT,4.788230653421545e-10,1.291050422216719e-10,1.1962414489140202e-10,1.3756598153464038e-10,1.8084068202202788e-10,2.66082808049429e-10,7.076370286057358e-10,4.4150996715924204e-10,6.045423152009365e-10,4.718437059543866e-09
DAC,power,RO,4.783263565050627e-10,1.158246972214172e-10,1.164919778234968e-10,1.3300068661712063e-10,1.7012498321774782e-10,2.16561816252102e-10,6.962879276989329e-10,4.539735158678535e-10,5.778868179783228e-10,4.5421533562617675e-09
DAC,power,SE,5.073037860823312e-10,1.5444105288292297e-10,1.0314117457400342e-10,1.448486367035311e-10,2.0157460511357732e-10,2.779937952251487e-10,7.919837773400548e-10,4.6407300612557607e-10,5.31814387528064e-10,4.962952148116306e-09
DAC,power,SI,5.014066517614354e-10,1.5695737544877933e-10,1.416039423572797e-10,1.3338183761320491e-10,1.0496064341270288e-10,2.0193945253072009e-10,6.946853568674014e-10,4.4746063833925246e-10,4.994241046382161e-10,4.276934820481481e-09
DAC,power,SK,4.872848357614703e-10,1.351542058952198e-10,1.1377234058622694e-10,1.1827688485918944e-10,1.4807430741404228e-10,1.9945444216014867e-10,6.516372259913273e-10,4.067645884104754e-10,5.216383463503492e-10,4.10771708614631e-09
DAC,power,UK,5.110802834502126e-10,1.2117295020756388e-10,1.3874343889950356e-10,1.6288715229529885e-10,2.1607930371536907e-10,2.9880292045490107e-10,7.944890393971464e-10,5.056735661800166e-10,7.020198047282223e-10,5.811877460609657e-09
battery,energy,AT,2.0908590835068237e-07,1.1681598341027806e-09,9.973480850993901e-08,2.1828499666911414e-07,5.130542055283309e-07,4.212218060259661e-07,6.088093738246788e-07,1.6610423678569736e-06,2.4796562261664678e-06,1.5708210268799045e-05
battery,energy,BE,2.0477160027567575e-07,2.003385090611362e-09,9.918259793698995e-08,2.0571730303604102e-07,4.859483981036454e-07,3.766267417637796e-07,6.054644991183563e-07,1.5301119270536982e-06,1.6543115042162882e-06,1.3418649673955403e-05
