technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
DAC,power,AT,2.3588887667901023e-07,3.0532348664521705e-07,3.554885483550094e-07,4.104107738473336e-07,4.746404970418128e-07,5.714823463020312e-07,6.478394670942042e-07,7.661703978596285e-07,9.528387288420957e-07,2.8994892635753434e-06
DAC,power,BE,2.368284913485868e-07,3.0822795726169004e-07,3.5630834721785886e-07,4.022184817841747e-07,4.7386380333629274e-07,5.76843213606404e-07,6.567791913165957e-07,7.912527548452221e-07,1.0136292563276763e-06,3.028051842768631e-06
DAC,power,BG,2.377204507117072e-07,3.0635575479069594e-07,3.7706421533592607e-07,4.496584575667239e-07,5.336212730246822e-07,5.988640336850403e-07,6.958481618480541e-07,8.606873272762314e-07,1.063549051522108e-06,3.0711695225020603e-06
DAC,power,CH,2.347398510124389e-07,3.038894454135543e-07,3.530974363400136e-07,4.0647200414888015e-07,4.67638760518083e-07,5.674819055700771e-07,6.429076112118838e-07,7.71838754633887e-07,9.787147093844258e-07,3.0156329915649256e-06
DAC,power,CZ,2.364658749336102e-07,3.0772299287415437e-07,3.6792374460937705e-07,4.1424376018456823e-07,4.782522718765573e-07,5.794780484955336e-07,6.645845661470716e-07,8.167932062441197e-07,1.0081218831370368e-06,2.960796663077794e-06
DAC,power,DE,2.3788445494242915e-07,3.0755285679098627e-07,3.544126960585366e-07,4.030118922750014e-07,4.647876290704455e-07,5.608216357197603e-07,6.430401855904741e-07,7.721269988322738e-07,9.482726012468562e-07,2.8949145604394715e-06
DAC,power,DK,2.308300929218077e-07,2.92204856864097e-07,3.522037856334145e-07,4.2004595715734495e-07,5.025173330668662e-07,6.210502891571276e-07,7.198811304343946e-07,8.891184141207812e-07,1.1056015852073774e-06,3.292975232676412e-06
DAC,power,EE,2.2719097828901319e-07,2.907986687927476e-07,3.375532570100382e-07,3.8947327855243503e-07,4.6448382197039994e-07,5.704344956537279e-07,6.530925646413766e-07,7.911809017184004e-07,1.0322207160614141e-06,3.0715836789337444e-06
DAC,power,EL,2.3619994829032351e-07,3.074612294252924e-07,3.7532190878053714e-07,4.3514857861526965e-07,4.7587796854249044e-07,5.622671003436914e-07,6.563009292762607e-07,7.766939651303425e-07,1.014503241835771e-06,2.974965357276221e-06
DAC,power,ES,2.3053962746153586e-07,2.8694053447200427e-07,3.428606745203865e-07,4.076318126478429e-07,4.949390368023296e-07,6.173499480589281e-07,7.426439885198053e-07,8.929909164639471e-07,1.1285439301135591e-06,3.4105574231202764e-06
DAC,power,FI,2.3413185006978144e-07,3.076193651767231e-07,3.556790007685774e-07,4.1533666534568297e-07,5.018126943808056e-07,6.179932924403923e-07,7.392887676732212e-07,8.614819249776157e-07,1.0540666990332086e-06,3.06382400851767e-06
DAC,power,FR,2.4064132540090043e-07,3.1505104882166976e-07,3.748813714788845e-07,4.2212939139157253e-07,5.051056832419766e-07,6.272360487915108e-07,7.376662638174677e-07,8.971433348779682e-07,1.1506028043992541e-06,3.499200631323029e-06
DAC,power,HR,2.332369527611889e-07,3.060372126251821e-07,3.6448062013169315e-07,4.112322698021595e-07,4.829027911904049e-07,5.808899678067225e-07,6.788874822630271e-07,8.274482989063613e-07,1.0432609247187017e-06,3.0507141678810037e-06
DAC,power,HU,2.404673515272282e-07,3.0975748860285763e-07,3.68906143364852e-07,4.149564213692525e-07,4.910686220822378e-07,5.972437047463123e-07,7.02424268633674e-07,8.620658413334314e-07,1.0752708270747268e-06,3.201497939943443e-06
DAC,power,IE,2.3234657642115538e-07,2.9130989491300736e-07,3.530357165763833e-07,4.227692456056644e-07,5.128361632655756e-07,6.366961797758833e-07,8.065993264476814e-07,1.0004121111132358e-06,1.2636682201504457e-06,3.851225579260599e-06
DAC,power,IT,2.3752614748957963e-07,3.0177457120004784e-07,3.4071532429139323e-07,3.9707343445813377e-07,4.7523889231615236e-07,5.799467242929524e-07,6.775618007463673e-07,8.253897907023135e-07,1.0565392670161533e-06,3.1240533040957582e-06
DAC,power,LT,2.3806835200237814e-07,3.0679092498056894e-07,3.578952370209682e-07,4.110124895103263e-07,4.947368921355959e-07,6.202735087156148e-07,7.333137381351655e-07,9.013068963728474e-07,1.1234914142241545e-06,3.436310270066058e-06
DAC,power,LU,2.1760083131000957e-07,3.09797781358226e-07,3.737567540844282e-07,4.1693574965528095e-07,4.797597505502681e-07,5.795617440181217e-07,6.707526234677939e-07,8.196816975885538e-07,1.0463084851008929e-06,3.084348174155967e-06
DAC,power,LV,2.388187823831025e-07,3.1186632722698515e-07,3.707101972961945e-07,4.164385314463891e-07,4.849040763515751e-07,5.966565416694232e-07,7.031622261426129e-07,8.476461880023736e-07,1.0647785531358721e-06,3.174745795605995e-06
DAC,power,NL,2.2200557480907555e-07,2.9252682677265923e-07,3.4289955420749025e-07,3.967949940973411e-07,4.6955341317811595e-07,5.678027507247732e-07,6.552485603408497e-07,7.924960140610032e-07,9.853277213122055e-07,2.969325529211249e-06
DAC,power,NO,2.449534210287752e-07,3.2174430695904985e-07,3.868948525528566e-07,4.598447673848599e-07,5.21594670898899e-07,6.390634420507682e-07,7.871724981275052e-07,9.596927775946881e-07,1.1897141984790105e-06,3.4744840732008634e-06
DAC,power,PL,2.389648234669128e-07,3.114132148390287e-07,3.7551856938790505e-07,4.4066020939581706e-07,5.192340024659881e-07,6.073854607898858e-07,7.033925061074002e-07,8.447096187299751e-07,1.0335247407363673e-06,3.0642244807717505e-06
DAC,power,PT,2.241714843309863e-07,2.8461483187266306e-07,3.4061949009222547e-07,4.0502401131559865e-07,4.896885294864966e-07,6.142610122109333e-07,7.213852706127289e-07,8.676444648842542e-07,1.0946695058347706e-06,3.239304431373324e-06
DAC,power,RO,2.2393893923165691e-07,2.781648029747883e-07,3.3270306871744857e-07,3.949702473352858e-07,4.746179768832658e-07,5.760061248496917e-07,6.78049598688466e-07,8.363613595193149e-07,1.0523734392762833e-06,3.1166146384546935e-06
DAC,power,SE,2.3750535628759196e-07,3.098103110241933e-07,3.580981063988247e-07,4.259121618264751e-07,5.202837193024154e-07,6.504325910279135e-07,7.837117515753989e-07,9.286727185353114e-07,1.1293654532768528e-06,3.385065928027251e-06
DAC,power,SI,2.3474448395352892e-07,3.082275101020421e-07,3.745224909477699e-07,4.3696811373576295e-07,4.861077332178521e-07,5.806501019870971e-07,6.711377525396338e-07,8.071432049892088e-07,9.74664535326029e-07,2.9145594355642276e-06
DAC,power,SK,2.2813304711328582e-07,2.914084428535833e-07,3.446734509767825e-07,4.000473599633582e-07,4.693715836420338e-07,5.627505404880232e-07,6.396957044492568e-07,7.668560419836304e-07,9.57807427867598e-07,2.8255510607545925e-06
DAC,power,UK,2.3927340607843707e-07,2.960031713611181e-07,3.609589449871491e-07,4.372181257816084e-07,5.38380374957026e-07,6.782714935123621e-07,8.109554974619713e-07,9.90967865385666e-07,1.254678008350809e-06,3.899376298900556e-06
battery,energy,AT,6.451851547329698e-06,6.4853223377813265e-06,8.764052850888956e-06,1.283788381241179e-05,1.4553996229910785e-05,2.0375018228237856e-05,2.5771094312599395e-05,4.088481582241425e-05,5.992474514697505e-05,0.00021768360965524885
battery,energy,BE,6.318723133994913e-06,6.376125281033527e-06,8.642238944507218e-06,1.248152030244481e-05,1.389922922905333e-05,1.9076500387558972e-05,2.444302697595021e-05,3.8278853403036e-05,4.869426448873509e-05,0.00018322537518912995
battery,energy,BG,6.294802520820536e-06,6.342276295392125e-06,8.414654678569099e-06,1.2305942471370367e-05,1.3918183989078194e-05,1.9420441135432847e-05,2.618080449251955e-05,3.825769693891311e-05,4.907217563162111e-05,0.00023916221200750607
battery,energy,CH,6.393308156398761e-06,6.434573788442471e-06,8.66197489087529e-06,1.3002796389013599e-05,1.4705793097916573e-05,2.09628845427522e-05,2.654280166382881e-05,4.280503392717691e-05,6.483230342818331e-05,0.0002359106541035431
battery,energy,CZ,6.553522038987045e-06,6.586101319095531e-06,8.869718525704119e-06,1.2970730530484327e-05,1.4574388250294649e-05,2.0897552046835904e-05,2.631078716198145e-05,4.7662965225568965e-05,7.509840201605608e-05,0.00027544663507997943
battery,energy,DE,6.248208365302468e-06,6.289041207856293e-06,8.403611765594128e-06,1.2220435415929452e-05,1.3909331964572007e-05,1.928546084736692e-05,2.483261759475486e-05,3.879848931763937e-05,5.715278123324022e-05,0.00020005526858422114
battery,energy,DK,6.544023578930205e-06,6.583042907801861e-06,8.757680156256889e-06,1.2629300061590684e-05,1.4122551901049497e-05,1.9250461646561033e-05,2.5851589989228205e-05,3.7202876327360965e-05,4.798902452101841e-05,0.00017818297402606543
battery,energy,EE,6.614202207354645e-06,6.6436544640206325e-06,8.810765627721424e-06,1.258553860281654e-05,1.3690469030618944e-05,1.8552515792561576e-05,2.4283024568428476e-05,3.5894715966439387e-05,4.4865174734883584e-05,0.0001586855548114824
battery,energy,EL,6.433505350489436e-06,6.47815734162279e-06,8.59375591998074e-06,1.2379501329767011e-05,1.3675411313508816e-05,1.955963617767393e-05,2.8916338878214768e-05,4.642995604845016e-05,6.809057387770077e-05,0.00030878882120301536
battery,energy,ES,6.193528648424633e-06,6.240577508370931e-06,8.189124976089858e-06,1.1483131048905805e-05,1.2140330552076276e-05,1.6748828312674692e-05,2.2260035104125346e-05,3.200271035266008e-05,4.686060173564891e-05,0.00015554054581319934
battery,energy,FI,6.535936976295141e-06,6.5748141163811e-06,8.72152140523701e-06,1.2291303443398604e-05,1.3299993539028077e-05,1.8212056108997265e-05,2.2963806761316115e-05,3.659376299846757e-05,4.793370870082082e-05,0.00017244364921227884
battery,energy,FR,6.206264114639935e-06,6.278650798281051e-06,8.4705463146391e-06,1.1931211504314684e-05,1.260121814453582e-05,1.6866026373541982e-05,2.2016024123917047e-05,3.2876915575517015e-05,4.423882312377311e-05,0.00015736133547061132
battery,energy,HR,6.38170289780528e-06,6.416245325915907e-06,8.437017720748447e-06,1.2160394018015139e-05,1.5266022186604427e-05,2.1201745743039192e-05,2.7452442812036937e-05,4.49841551171165e-05,5.9206632747847325e-05,0.00020438003568120527
battery,energy,HU,6.342492978427574e-06,6.386191744982211e-06,8.503196894065776e-06,1.2481894359795181e-05,1.4416256632692625e-05,2.0982026387299867e-05,2.8193258838182847e-05,4.453592307060317e-05,6.21516493224995e-05,0.0002197507168747057
battery,energy,IE,6.3919650713079e-06,6.44482861290249e-06,8.795517653871884e-06,1.2419029605313947e-05,1.3255910321261156e-05,1.7159451244906204e-05,2.1912431623894984e-05,3.03121094499047e-05,3.7453636568630357e-05,0.00013168710841850195
battery,energy,IT,6.327564868072646e-06,6.3699983799807635e-06,8.36797032907309e-06,1.2251694905098282e-05,1.4307631572670983e-05,2.135223126838036e-05,2.660542395400305e-05,4.085102308834912e-05,5.720104598413655e-05,0.00020027963980625353
battery,energy,LT,6.607772890193468e-06,6.645315212833822e-06,8.863937147516872e-06,1.2638499439423712e-05,1.369083821438732e-05,1.8634466530338285e-05,2.4756018268689243e-05,3.5526108059433375e-05,4.541290603519009e-05,0.00016077511786588322
battery,energy,LU,6.252882244904571e-06,6.328060912001175e-06,8.55186708780452e-06,1.2051986710985813e-05,1.2637822897350353e-05,1.6690329643054767e-05,2.1869317489710903e-05,3.38295891618375e-05,4.667314239424516e-05,0.00016629142263753011
battery,energy,LV,6.608237857055838e-06,6.649667875497055e-06,8.86038641302705e-06,1.2653809100854568e-05,1.3740781749775376e-05,1.863732004574147e-05,2.4805202037013212e-05,3.6165375136998766e-05,4.653381822504498e-05,0.00016756642416425785
battery,energy,NL,6.440135836775307e-06,6.488856155999912e-06,8.793206408552077e-06,1.275347181282726e-05,1.4278662444290274e-05,1.9644486908660052e-05,2.5257190348747437e-05,3.8428295977396636e-05,5.397397273326607e-05,0.00020280851768435652
battery,energy,NO,6.500447921183375e-06,6.53519912530393e-06,8.650706943147902e-06,1.2281798511099141e-05,1.3394068375277558e-05,1.7862981918461016e-05,2.2997193821938466e-05,3.329328340823024e-05,4.2523270603640853e-05,0.00015247570207460858
battery,energy,PL,6.626881190602658e-06,6.6608216295354555e-06,8.998093282836477e-06,1.2995321011101063e-05,1.4891459868956383e-05,2.0657975761352555e-05,2.7760785415344936e-05,4.105297934175152e-05,6.186362171795151e-05,0.00023485266797395736
battery,energy,PT,6.22469706143511e-06,6.2721593750686e-06,8.248127076201229e-06,1.1537480266395034e-05,1.2180626836378815e-05,1.6473987440697337e-05,2.1646476912834286e-05,2.9260066046763376e-05,3.890838135972123e-05,0.00014013746731581715
battery,energy,RO,6.352044805194793e-06,6.394314704867888e-06,8.551719540978554e-06,1.2554578777111384e-05,1.457324298943801e-05,2.0468956611396272e-05,2.704273411902153e-05,4.8135872007347514e-05,7.613663966708835e-05,0.000258970501485891
battery,energy,SE,6.563906827422976e-06,6.5988163962527385e-06,8.741563731039015e-06,1.241886506370939e-05,1.3596059664913967e-05,1.822763770292341e-05,2.4217516117833095e-05,3.6874029003211074e-05,4.881175147064484e-05,0.00017922486976257822
battery,energy,SI,6.345173908553573e-06,6.38667018593858e-06,8.41405860428648e-06,1.2642787032400125e-05,1.5141482731573462e-05,2.125363088144996e-05,2.701422350585516e-05,4.728860712837234e-05,6.498493632143526e-05,0.00023995081184391282
battery,energy,SK,6.541231306565372e-06,6.579252279139989e-06,8.83965109986429e-06,1.2974227537469967e-05,1.4792717189743286e-05,2.1133401242772205e-05,2.8616333771139035e-05,4.877622782594517e-05,7.740533706509131e-05,0.00028794514861940965
battery,energy,UK,6.29145855621714e-06,6.359911488698707e-06,8.580170667331568e-06,1.2091942667922372e-05,1.3175879386354207e-05,1.7201369059342677e-05,2.2375385191848502e-05,3.256605194023254e-05,4.053307678437199e-05,0.00014738920387408192
battery,power,AT,3.1200441192497424e-06,3.1362760977844126e-06,4.2489929835770005e-06,6.235997884580208e-06,7.086849664324804e-06,9.902102548546418e-06,1.2449861138881275e-05,1.942119797475151e-05,2.7735500647001416e-05,9.583580437191934e-05
battery,power,BE,3.055664689549108e-06,3.083502407332359e-06,4.190058414709339e-06,6.062662100675873e-06,6.768101950101405e-06,9.271977697664304e-06,1.1805786057158525e-05,1.8185389421092652e-05,2.2620398969840133e-05,8.068176425234027e-05
battery,power,BG,3.0440969453262183e-06,3.0671198043447243e-06,4.079073788130101e-06,5.977043534184508e-06,6.776994980961893e-06,9.438061019463615e-06,1.2638856127995979e-05,1.8196158007250848e-05,2.280545151350716e-05,0.00010493765660624042
battery,power,CH,3.0917331822644346e-06,3.1117453434508016e-06,4.199397790220385e-06,6.3166269223679586e-06,7.1609522150271285e-06,1.0187096803337421e-05,1.2823120846461816e-05,2.0325106916163463e-05,2.999076647319273e-05,0.00010384326483665584
battery,power,CZ,3.169210845618086e-06,3.1850104777229864e-06,4.300113563350496e-06,6.30037597716582e-06,7.096818235680575e-06,1.0154929694147872e-05,1.271081672525454e-05,2.259421562085554e-05,3.4699720887100354e-05,0.0001212388033690213
battery,power,DE,3.021564526554785e-06,3.0413668023570586e-06,4.073923461540919e-06,5.935573434530043e-06,6.772671542676675e-06,9.372745263109896e-06,1.1994425951670688e-05,1.843521384270766e-05,2.644792350908454e-05,8.812942228521339e-05
battery,power,DK,3.16461749528681e-06,3.1835402903608398e-06,4.245427851400028e-06,6.133804615035832e-06,6.876548138406299e-06,9.356574780778466e-06,1.2480261712409732e-05,1.7699200827704802e-05,2.229119308146061e-05,7.847565055562696e-05
battery,power,EE,3.1985551045616713e-06,3.212838256872962e-06,4.271050788529881e-06,6.112190608156739e-06,6.666329841709884e-06,9.01778628923621e-06,1.1726319374087156e-05,1.70688579408732e-05,2.085202616607311e-05,6.995180289042432e-05
