technology,location,0,1,2,3,4,5,6,7,8,9
DAC,AT,1.7173486452519593e-07,2.222775237212745e-07,2.5878902609312584e-07,2.987628515506837e-07,3.4551357335089035e-07,4.160084585616557e-07,4.7159895541860896e-07,5.577477666686259e-07,6.936484542513283e-07,2.1108741008845934e-06
DAC,BE,1.7241893492417963e-07,2.2439101171732412e-07,2.5938569868816875e-07,2.927985931418152e-07,3.449479785696197e-07,4.199113463764111e-07,4.781073686521141e-07,5.760085480788018e-07,7.379059591064908e-07,2.204471888641297e-06
DAC,BG,1.7306831069188868e-07,2.2302799259037916e-07,2.7449546195376765e-07,3.2733642039780945e-07,3.8845405163661127e-07,4.3594322797704163e-07,5.065508650234964e-07,6.265592013999693e-07,7.742492120644722e-07,2.235862978897271e-06
DAC,CH,1.7089833602939445e-07,2.212325905069019e-07,2.570477123867986e-07,2.9589573030168843e-07,3.404162860168853e-07,4.130960062425397e-07,4.680084018281793e-07,5.618745169214058e-07,7.124870196644422e-07,2.195430556750433e-06
DAC,CZ,1.721549382416003e-07,2.2402341831455574e-07,2.6784079522167924e-07,3.0155378415157905e-07,3.4814307057699536e-07,4.218295929665105e-07,4.83789938598972e-07,5.946028370177712e-07,7.338964097465829e-07,2.155507905101365e-06
DAC,DE,1.7318771116867723e-07,2.2389915923623064e-07,2.580057131612795e-07,2.9337752073315763e-07,3.38340927817603e-07,4.0824711093381244e-07,4.6810492006581136e-07,5.620843680555576e-07,6.903241634430702e-07,2.107543566861804e-06
DAC,DK,1.6805190348253674e-07,2.1272476216888085e-07,2.563972961636395e-07,3.0577758194077857e-07,3.65809558524226e-07,4.5209555222253127e-07,5.240476567094517e-07,6.472579684963151e-07,8.048648408518722e-07,2.3973448343324334e-06
DAC,EE,1.6540250827894238e-07,2.1170317874895644e-07,2.457308734832786e-07,2.835195431585363e-07,3.3811991098427013e-07,4.1524558887577103e-07,4.754233832856432e-07,5.759562364326852e-07,7.514411529242428e-07,2.2361644985379888e-06
DAC,EL,1.719613348945437e-07,2.2383180135712757e-07,2.732273758886746e-07,3.167752020420028e-07,3.4641268572758133e-07,4.092994564003147e-07,4.777591782820489e-07,5.65409269954523e-07,7.385422488718683e-07,2.1658231803381596e-06
DAC,ES,1.6784043506922572e-07,2.0889277506726325e-07,2.495957930944528e-07,2.967406366860264e-07,3.6029230950899683e-07,4.494015819130697e-07,5.406197665820644e-07,6.500772775735951e-07,8.215676227849025e-07,2.4829485381941112e-06
