technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,3.880144871746903e-10,5.354873741137709e-10,6.916928289719656e-10,9.224190134613134e-10,1.2006240907575715e-09,6.920645733992187e-09
DAC,power,BE,3.909143112316982e-10,5.437588809763198e-10,6.850492907934831e-10,9.170141407144125e-10,1.205802212064574e-09,7.0300401437085e-09
DAC,power,BG,3.900513421951265e-10,5.627951237996462e-10,7.697402683627201e-10,9.589653548843148e-10,1.3160091879046223e-09,7.436945495076426e-09
DAC,power,CH,3.8437714042718207e-10,5.313617978268851e-10,6.882838908678636e-10,9.082444266442675e-10,1.2030501028941366e-09,6.94350840167303e-09
DAC,power,CZ,3.883953101419798e-10,5.585926649941957e-10,6.90131784894465e-10,9.291981449576599e-10,1.277232616969053e-09,7.02943169239871e-09
DAC,power,DE,3.907837636469876e-10,5.358049453599697e-10,6.840946487472185e-10,8.872075891989468e-10,1.1613433131038427e-09,6.69226547731227e-09
DAC,power,DK,3.7804788165686967e-10,5.306853892454466e-10,7.146801676988394e-10,9.855715015853301e-10,1.3778819664666981e-09,7.798331779801372e-09
DAC,power,EE,3.7198245638881274e-10,5.191346945612175e-10,6.631981476472016e-10,9.065471749919667e-10,1.224709007151386e-09,7.171571365961801e-09
DAC,power,EL,3.8766653004841386e-10,5.57134750773492e-10,6.721024626436068e-10,9.115678943849753e-10,1.233810791033644e-09,7.017487445018295e-09
DAC,power,ES,3.819416220199918e-10,5.221182499756959e-10,7.094457399412684e-10,9.983127211873733e-10,1.4021845808724203e-09,7.804185577018092e-09
DAC,power,FI,3.828583717178515e-10,5.462410088532135e-10,7.090958100978055e-10,9.77079230163361e-10,1.330946566578927e-09,7.36541956238346e-09
DAC,power,FR,3.92684368424327e-10,5.279832494756141e-10,7.05181532050698e-10,9.685547151386185e-10,1.3648875745776642e-09,7.804090404844814e-09
DAC,power,HR,3.865851791055709e-10,5.540586316786724e-10,6.998501351588328e-10,9.478970219732703e-10,1.3169861992031356e-09,7.297339920358394e-09
DAC,power,HU,3.917986513098639e-10,5.161553525094494e-10,6.975143611532953e-10,9.554374911915503e-10,1.3447660311006275e-09,7.64539260078556e-09
DAC,power,IE,3.8119381831166115e-10,5.34193716068486e-10,7.26537652004776e-10,1.0192440741126242e-09,1.5630421287674928e-09,9.074578660092827e-09
DAC,power,IT,3.873731490963993e-10,5.122775051469467e-10,6.718944885875244e-10,9.152327145184541e-10,1.2635365978191996e-09,7.246734623351107e-09
DAC,power,LT,3.917698207473575e-10,5.307166185200286e-10,7.068255164435448e-10,9.855553657758127e-10,1.415563808457638e-09,7.937587008052741e-09
DAC,power,LU,3.691978082571589e-10,5.642875139999359e-10,6.900158946167301e-10,9.230196410702526e-10,1.2680361924219719e-09,7.342991961103558e-09
DAC,power,LV,3.890568460297958e-10,5.298539607681357e-10,6.8330847286391e-10,9.346175815334611e-10,1.3108784419676604e-09,7.535930725372036e-09
DAC,power,NL,3.6248381355477145e-10,5.252725940309644e-10,6.764323861597276e-10,8.95954778312321e-10,1.2249597650955058e-09,6.948347700135456e-09
DAC,power,NO,3.974244003969191e-10,5.773887623082918e-10,7.357686630745779e-10,1.0039812805611374e-09,1.4973934052901209e-09,8.131125942123684e-09
DAC,power,PL,3.930864501165287e-10,5.644866679634518e-10,7.463851265935019e-10,9.573903177987664e-10,1.3162027122960697e-09,7.243366560835442e-09
DAC,power,PT,3.7738588346068083e-10,5.201803092073204e-10,7.001263828040651e-10,9.958563810809897e-10,1.3863294700864665e-09,7.608943501231102e-09
DAC,power,RO,3.6917789901897446e-10,5.037828244564461e-10,6.830042191632022e-10,9.25636852017125e-10,1.2993360172871303e-09,7.37755809121895e-09
DAC,power,SE,3.7762551130299157e-10,5.392852850206746e-10,7.040736578583469e-10,9.699582304022273e-10,1.3851924040270269e-09,7.269550063320895e-09
DAC,power,SI,3.8450758820964135e-10,5.553352295877236e-10,6.83235226914074e-10,9.173885870950864e-10,1.2607557360748242e-09,6.775703222678571e-09
DAC,power,SK,3.7741517634717927e-10,5.213927543202895e-10,6.69705827782737e-10,8.856127921358527e-10,1.1951874588910065e-09,6.724481066948219e-09
DAC,power,UK,3.8379475343631986e-10,5.397619258941119e-10,7.317886290549796e-10,1.0141281620632616e-09,1.4435895993209156e-09,8.347048890843163e-09
battery,energy,AT,1.3897175659522095e-07,2.0439477392490587e-07,5.475195100434385e-07,8.415767745982131e-07,2.1366920447172554e-06,1.823202374517653e-05
battery,energy,BE,1.380389423435032e-07,2.0641101188888852e-07,5.306002966014e-07,8.011023229776975e-07,2.019601102467286e-06,1.5300274632053284e-05
battery,energy,BG,1.317012380260668e-07,1.9836443286369516e-07,4.723197718593229e-07,7.839116858039022e-07,1.7468309034427042e-06,1.7515534979671007e-05
battery,energy,CH,1.3648774757407108e-07,2.0188998547221845e-07,5.398249573588964e-07,8.448789305228944e-07,2.2440791009704374e-06,2.0415744491182055e-05
battery,energy,CZ,1.3753453796484208e-07,2.040331896399015e-07,5.080703252813243e-07,8.247368432975286e-07,2.317969559891779e-06,2.361262919279059e-05
battery,energy,DE,1.4489207578176528e-07,2.131368055096012e-07,5.230641345383079e-07,8.327375015988456e-07,2.0211791349577386e-06,1.641531803836421e-05
battery,energy,DK,1.381460363613283e-07,1.986290327135979e-07,4.927030030811825e-07,8.103809045873717e-07,1.8292824210453706e-06,1.4829859242579028e-05
battery,energy,EE,1.3857624144999698e-07,2.0207168857364644e-07,5.0739224563719e-07,8.069638513931693e-07,1.8107840450302053e-06,1.4637422623075413e-05
battery,energy,EL,1.354338617015073e-07,1.9555081871892258e-07,4.5059872728949523e-07,8.430674215236433e-07,2.0460273492211717e-06,2.2996895566623527e-05
battery,energy,ES,1.2809283372023406e-07,1.9072904441221985e-07,3.989747558900295e-07,7.270703010029137e-07,1.769173982938353e-06,1.2766003756122711e-05
battery,energy,FI,1.3777899350225232e-07,2.038736706271691e-07,5.015286917313115e-07,7.668908510012165e-07,1.8416954879793394e-06,1.4902042254859158e-05
battery,energy,FR,1.3270046316348467e-07,2.0096340420278888e-07,4.1114714011080004e-07,7.001275143449685e-07,1.5796125553706438e-06,1.3037930798850557e-05
battery,energy,HR,1.362223342914403e-07,1.9232250945017436e-07,5.622345771934012e-07,8.931856241072951e-07,2.168983027493584e-06,1.9061617862700414e-05
battery,energy,HU,1.3410444037812708e-07,1.956392490149576e-07,4.947641116253118e-07,8.695523705709365e-07,2.0743729946188754e-06,1.9019417071900184e-05
battery,energy,IE,1.3162148510313245e-07,2.009524742595934e-07,4.2777711535649293e-07,6.921913431340899e-07,1.4419212001723707e-06,1.1237751188695341e-05
battery,energy,IT,1.3639954343212848e-07,1.9804107941898706e-07,4.921758843266069e-07,8.99641813859579e-07,1.9609879753852607e-06,1.7324718661185695e-05
battery,energy,LT,1.3736610332281984e-07,2.003984884395517e-07,4.5496774134991234e-07,7.757988019236238e-07,1.6855599108065855e-06,1.4412938321246301e-05
battery,energy,LU,1.3014399835469523e-07,1.9732176321585582e-07,4.6428419299727477e-07,7.072449702301584e-07,1.6707498246429508e-06,1.4730043413937392e-05
battery,energy,LV,1.375802063754399e-07,2.0048682340014406e-07,4.7617993106256517e-07,7.863267109862141e-07,1.7569370290223892e-06,1.5054212570378314e-05
battery,energy,NL,1.35569982727049e-07,2.075133914358373e-07,5.214321142732783e-07,8.036280076115263e-07,1.8409658283624598e-06,1.6570316396355823e-05
battery,energy,NO,1.345336534232769e-07,1.9931826420777879e-07,4.289436516600969e-07,7.264269288762156e-07,1.5642684932470773e-06,1.2778922314834605e-05
battery,energy,PL,1.3872629682288926e-07,2.1366527221327695e-07,5.056913063312505e-07,8.671003293127292e-07,1.9861275375322736e-06,1.921213185035055e-05
battery,energy,PT,1.3031322286787308e-07,1.9076685589626576e-07,4.2563884005529735e-07,7.114967975404189e-07,1.5243628932392565e-06,1.1524859335612048e-05
battery,energy,RO,1.3284772846701833e-07,1.9532344609303385e-07,4.761446696739491e-07,7.932800371109605e-07,2.088855946672438e-06,2.3269293688872697e-05
