technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,3.880144871746903e-10,1.475001554650295e-10,1.5623272264016996e-10,2.3075345257019132e-10,6.662195641031098e-10,5.8675217987054026e-09
DAC,power,BE,3.909143112316982e-10,1.5287183778706132e-10,1.4131767798847365e-10,2.3199211965710352e-10,6.797023807242983e-10,5.9771097696172655e-09
DAC,power,BG,3.900513421951265e-10,1.727710495781401e-10,2.069724120743642e-10,1.8925235235142185e-10,7.470951780269617e-10,6.293707356720163e-09
DAC,power,CH,3.8437714042718207e-10,1.4701192521432817e-10,1.5694936164111662e-10,2.199878032388719e-10,6.791828169014888e-10,5.887470224165525e-09
DAC,power,CZ,3.883953101419798e-10,1.7022462296053107e-10,1.3156638844100302e-10,2.3909362674084354e-10,7.364297827938662e-10,5.922423698538189e-09
DAC,power,DE,3.907837636469876e-10,1.4504844928277356e-10,1.483169710286691e-10,2.0314021049078848e-10,6.649194863973983e-10,5.6759706136757154e-09
DAC,power,DK,3.7804788165686967e-10,1.5266477565165438e-10,1.8402204646439078e-10,2.709186005738765e-10,7.70358347955502e-10,6.573114588822099e-09
DAC,power,EE,3.7198245638881274e-10,1.4716587295894295e-10,1.4410435436532563e-10,2.4337629386828683e-10,6.901579240272201e-10,6.094014597733687e-09
DAC,power,EL,3.8766653004841386e-10,1.6949548803353428e-10,1.1499498095844124e-10,2.394926993875418e-10,7.099094267340443e-10,5.953172142079357e-09
DAC,power,ES,3.819416220199918e-10,1.402038955437278e-10,1.8735475882663012e-10,2.888942491497542e-10,7.858134814058629e-10,6.542204892033001e-09
DAC,power,FI,3.828583717178515e-10,1.6340990537812416e-10,1.6288206862985108e-10,2.6801068596712576e-10,7.36725710768897e-10,6.1978829011732906e-09
DAC,power,FR,3.92684368424327e-10,1.35326149507562e-10,1.7722555071836133e-10,2.634004520699412e-10,7.890172263228518e-10,6.5745289797667285e-09
DAC,power,HR,3.865851791055709e-10,1.6750072084711442e-10,1.4581877054034262e-10,2.480741534197876e-10,7.556743583271841e-10,6.147854441841022e-09
DAC,power,HU,3.917986513098639e-10,1.2438396916268233e-10,1.813862762357007e-10,2.579503993321824e-10,7.811271904756262e-10,6.425010539071014e-09
DAC,power,IE,3.8119381831166115e-10,1.5302716565738724e-10,1.9237120391565133e-10,2.927336898239836e-10,9.249918735304478e-10,7.664563697121058e-09
DAC,power,IT,3.873731490963993e-10,1.2493162346041091e-10,1.596442516237938e-10,2.4336549364251974e-10,7.356770333761384e-10,6.1081296487031495e-09
DAC,power,LT,3.917698207473575e-10,1.3897406637765732e-10,1.7613616504757628e-10,2.787707464823215e-10,8.217646346070283e-10,6.660997266139213e-09
DAC,power,LU,3.691978082571589e-10,1.9511697411404811e-10,1.2575564829046505e-10,2.3303101372663614e-10,7.142143604340003e-10,6.270072742735702e-09
DAC,power,LV,3.890568460297958e-10,1.408107492262752e-10,1.5349541297740762e-10,2.5133637621643626e-10,7.653177076837536e-10,6.365863032562413e-09
DAC,power,NL,3.6248381355477145e-10,1.6281604882669646e-10,1.511870596567975e-10,2.195496595246932e-10,6.914888011424015e-10,5.886203984251933e-09
DAC,power,NO,3.974244003969191e-10,1.7999163010551944e-10,1.5840716864397023e-10,2.682398850576207e-10,8.908365255416221e-10,6.813724166814393e-09
DAC,power,PL,3.930864501165287e-10,1.7142748607572043e-10,1.8192572612205075e-10,2.1103245815847266e-10,7.518988460044785e-10,6.098591334847707e-09
DAC,power,PT,3.7738588346068083e-10,1.428216940256612e-10,1.7997334232190336e-10,2.9575726482951346e-10,7.678589730555184e-10,6.365435725134822e-09
DAC,power,RO,3.6917789901897446e-10,1.3463219403175132e-10,1.792486615886378e-10,2.426599005941866e-10,7.428770651733736e-10,6.212854268032913e-09
DAC,power,SE,3.7762551130299157e-10,1.6168704193360492e-10,1.648156404599007e-10,2.6591183969797764e-10,7.928596860441809e-10,6.046044701201754e-09
DAC,power,SI,3.8450758820964135e-10,1.708549090127544e-10,1.279272650663648e-10,2.34180626125643e-10,7.27874739863975e-10,5.6858023957360216e-09
DAC,power,SK,3.7741517634717927e-10,1.4400484668141385e-10,1.4834034049233107e-10,2.159342305177482e-10,6.869898452007476e-10,5.6732984547372375e-09
DAC,power,UK,3.8379475343631986e-10,1.5599444124249882e-10,1.920539708809797e-10,2.8236680069904366e-10,8.132561905720966e-10,7.0594537330246545e-09
battery,energy,AT,1.3897175659522095e-07,6.542304459787629e-08,4.82096519986794e-07,3.594803091564573e-07,1.7772117900963859e-06,1.645481200961767e-05
battery,energy,BE,1.380389423435032e-07,6.837209681200184e-08,4.62228254329654e-07,3.388741231860996e-07,1.680727033827834e-06,1.3619547652770565e-05
battery,energy,BG,1.317012380260668e-07,6.666322210573854e-08,4.0565657702169433e-07,3.782551087821765e-07,1.368575821937332e-06,1.6146959212274935e-05
battery,energy,CH,1.3648774757407108e-07,6.540223789831995e-08,4.744227194605242e-07,3.7045621106215926e-07,1.87362291717734e-06,1.8542121628550086e-05
battery,energy,CZ,1.3753453796484208e-07,6.649865167537261e-08,4.4157167360726014e-07,3.8316516969111425e-07,1.934804417478062e-06,2.1677824829856844e-05
battery,energy,DE,1.4489207578176528e-07,6.824478426210415e-08,4.5481940481214615e-07,3.779181513218214e-07,1.6432610381756004e-06,1.4772057054733117e-05
battery,energy,DK,1.381460363613283e-07,6.048299635231958e-08,4.322200067293862e-07,3.7816089785815657e-07,1.45112155045558e-06,1.3378737746659383e-05
battery,energy,EE,1.3857624144999698e-07,6.349547439186772e-08,4.4389679851093e-07,3.6306708014950045e-07,1.4477169921484683e-06,1.3189705658195436e-05
battery,energy,EL,1.354338617015073e-07,6.0116984285395e-08,3.9048179754360864e-07,4.5258567851006847e-07,1.5934417252523806e-06,2.14034538959154e-05
battery,energy,ES,1.2809283372023406e-07,6.263623796486888e-08,3.363385724675476e-07,3.907317830636216e-07,1.3784422544204947e-06,1.138756155625239e-05
battery,energy,FI,1.3777899350225232e-07,6.609470439292137e-08,4.3543404187425216e-07,3.314568636591234e-07,1.5102386788575729e-06,1.3391803630538764e-05
battery,energy,FR,1.3270046316348467e-07,6.82629955737822e-08,3.4288419907234773e-07,3.572433698172494e-07,1.2223692400892279e-06,1.181556161329353e-05
battery,energy,HR,1.362223342914403e-07,5.610017515872199e-08,5.061344020341864e-07,3.8705122207207695e-07,1.7819318054239568e-06,1.727968608454704e-05
battery,energy,HU,1.3410444037812708e-07,6.15348359048004e-08,4.3322930298842533e-07,4.363230675820123e-07,1.6380499543046938e-06,1.738136717213554e-05
battery,energy,IE,1.3162148510313245e-07,6.933098915611367e-08,3.5844612619920104e-07,3.3374521693490625e-07,1.1081760105051127e-06,1.0129575232723919e-05
battery,energy,IT,1.3639954343212848e-07,6.164156324851075e-08,4.3053437560672315e-07,4.691074927771908e-07,1.4918805371622679e-06,1.5832838178554795e-05
battery,energy,LT,1.3736610332281984e-07,6.303238511692583e-08,3.919353562344303e-07,3.838634729583084e-07,1.3016964378483326e-06,1.3111241910668177e-05
battery,energy,LU,1.3014399835469523e-07,6.717776486113868e-08,3.971064281384022e-07,3.101385420922538e-07,1.360611282550381e-06,1.336943215865523e-05
battery,energy,LV,1.375802063754399e-07,6.290661702466839e-08,4.132733413047829e-07,3.730533969494149e-07,1.3838836593405129e-06,1.3670328938305355e-05
battery,energy,NL,1.35569982727049e-07,7.194343597993042e-08,4.494887328378815e-07,3.541393293193636e-07,1.48682655357646e-06,1.508348989731433e-05
battery,energy,NO,1.345336534232769e-07,6.478463805340158e-08,3.6415906815462375e-07,3.6226791526888477e-07,1.2020006325141654e-06,1.1576921736854362e-05
battery,energy,PL,1.3872629682288926e-07,7.49390026593e-08,4.307523582122829e-07,4.3634802564201794e-07,1.5497795664412785e-06,1.7662352338462464e-05
battery,energy,PT,1.3031322286787308e-07,6.045366029723946e-08,3.651852070269608e-07,3.463115905135949e-07,1.1780513299943774e-06,1.0346808060153335e-05
battery,energy,RO,1.3284772846701833e-07,6.247571762622389e-08,4.136689520482923e-07,3.796110850644681e-07,1.7092448888745004e-06,2.1560048854525518e-05
battery,energy,SE,1.3729823602329055e-07,6.647411399410627e-08,3.978497468036213e-07,3.7361359182367006e-07,1.3999700708243022e-06,1.3594283332137529e-05
battery,energy,SI,1.3583056534328282e-07,5.876843079553124e-08,4.963425335120279e-07,3.83393284355746e-07,1.9245354255420994e-06,1.980389873155211e-05
battery,energy,SK,1.3657501477654635e-07,6.607502146161222e-08,4.6315782752258596e-07,3.815831982708008e-07,2.0008432442639466e-06,2.2852153202768875e-05
battery,energy,UK,1.3256039637444735e-07,7.357748777355431e-08,3.5635788266928307e-07,3.6739270083422397e-07,1.192062266758054e-06,1.093159958655984e-05
