technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,1.8165746353451427e-07,2.507128854282346e-07,3.238566495246691e-07,4.318889222394263e-07,5.621367101125839e-07,3.240089872737045e-06
DAC,power,BE,1.8301507955222561e-07,2.5458537194121734e-07,3.207463318654165e-07,4.293585136521534e-07,5.645609608211845e-07,3.2913052569470258e-06
DAC,power,BG,1.8261106173465929e-07,2.634976050879507e-07,3.6039626387983755e-07,4.489988893808319e-07,6.161567655212757e-07,3.4818068913917955e-06
DAC,power,CH,1.7995456014820235e-07,2.4878140637814007e-07,3.2226068068742717e-07,4.2525277934819586e-07,5.632725007607844e-07,3.2507935304682215e-06
DAC,power,CZ,1.818357541308196e-07,2.615301322023458e-07,3.231258127776153e-07,4.350627203329646e-07,5.980026661707341e-07,3.2910203970900723e-06
DAC,power,DE,1.8295396084688612e-07,2.508615629010859e-07,3.2029939485517976e-07,4.1540392471004085e-07,5.437465554753201e-07,3.133168663671246e-06
DAC,power,DK,1.769913793076094e-07,2.4846473103186993e-07,3.346186745058967e-07,4.6145513920318907e-07,6.45123859267672e-07,3.6509977798620127e-06
DAC,power,EE,1.7415171788806734e-07,2.4305063811969304e-07,3.1051624150191485e-07,4.244581732850933e-07,5.73418973256665e-07,3.357566192171399e-06
DAC,power,EL,1.814945598000728e-07,2.608475774178254e-07,3.1468499135620066e-07,4.268087334941787e-07,5.776737892815712e-07,3.285428436609293e-06
DAC,power,ES,1.7881431896941716e-07,2.4445383729664136e-07,3.3216806291070574e-07,4.674202204071476e-07,6.56501659358613e-07,3.653738363162628e-06
DAC,power,FI,1.7924351537912298e-07,2.557474344558365e-07,3.320042352211958e-07,4.5747929613306843e-07,6.23150025872548e-07,3.4483204625891067e-06
DAC,power,FR,1.8384377051751733e-07,2.471996654183397e-07,3.301716808485536e-07,4.5348835998926746e-07,6.390402506041584e-07,3.653693806058944e-06
DAC,power,HR,1.8098830171961337e-07,2.594074254766871e-07,3.2767567026558384e-07,4.438170076853431e-07,6.166141746252671e-07,3.4164474898845597e-06
DAC,power,HU,1.8342910269005026e-07,2.4166217668420596e-07,3.2658212671203425e-07,4.473472445343047e-07,6.296199102314722e-07,3.5793959603520364e-06
DAC,power,IE,1.7846421831759304e-07,2.501072308442917e-07,3.401700148780872e-07,4.772196904500791e-07,7.318106365390892e-07,4.2485006536780674e-06
DAC,power,IT,1.8135720709455822e-07,2.39846677419025e-07,3.14587623379601e-07,4.285244988010113e-07,5.915905755812587e-07,3.392755514046492e-06
DAC,power,LT,1.8341560503202383e-07,2.484793519530929e-07,3.309413476693352e-07,4.6145396610876563e-07,6.627654372023082e-07,3.716193158957801e-06
DAC,power,LU,1.728480239973683e-07,2.641963003676003e-07,3.2307155592809545e-07,4.3217011868201355e-07,5.936971590825726e-07,3.437820490785222e-06
DAC,power,LV,1.8214546661679596e-07,2.480690967603362e-07,3.199313295050249e-07,4.375999478339036e-07,6.137546946658078e-07,3.5281489905969873e-06
DAC,power,NL,1.6970472062047462e-07,2.459306127719019e-07,3.167121394527092e-07,4.1949911155657833e-07,5.735299880080174e-07,3.253059153900478e-06
DAC,power,NO,1.8606292009485238e-07,2.7032993605214715e-07,3.44491714575103e-07,4.7007408005110907e-07,7.010757516217051e-07,3.8068026412529485e-06
DAC,power,PL,1.840320138505714e-07,2.6428953858209884e-07,3.494620438657164e-07,4.4826150197786244e-07,6.162473681664138e-07,3.391178682101181e-06
DAC,power,PT,1.7668145038186303e-07,2.4354654828920845e-07,3.2780500242086224e-07,4.662702307221099e-07,6.49078742720654e-07,3.5623315175755577e-06
DAC,power,RO,1.7283870305232878e-07,2.358697075284158e-07,3.197888865344527e-07,4.333954231471729e-07,6.083508562364744e-07,3.4540033801986473e-06
DAC,power,SE,1.7679363739411453e-07,2.5249096029029216e-07,3.29653004972615e-07,4.541454451262306e-07,6.485464003729653e-07,3.403437061018042e-06
DAC,power,SI,1.8001563212893636e-07,2.600050923928357e-07,3.1989703781496825e-07,4.2953381674213293e-07,5.902886542348754e-07,3.1722318678993495e-06
DAC,power,SK,1.7669516448697197e-07,2.4411418117189486e-07,3.1356295405122043e-07,4.1465728403810836e-07,5.595914320591276e-07,3.1482510960082463e-06
DAC,power,UK,1.7968190294840066e-07,2.527141104000728e-07,3.4262837485449014e-07,4.7482456467935764e-07,6.758863238008641e-07,3.907891689606499e-06
battery,energy,AT,4.288309766529879e-06,5.8743537388706285e-06,9.910838840987794e-06,1.3321152719918117e-05,2.5868884645046457e-05,0.00019824591027207318
battery,energy,BE,4.259525526019409e-06,5.917063060255378e-06,9.639249163045468e-06,1.2691667481319248e-05,2.444931401009405e-05,0.0001665502270513672
battery,energy,BG,4.063960326386782e-06,5.680069791293148e-06,8.6209469835751e-06,1.2262143230300015e-05,2.1330592908961254e-05,0.0001901281950682478
battery,energy,CH,4.211659658576135e-06,5.797199216293283e-06,9.777824000348544e-06,1.3341194554108373e-05,2.7153740800842746e-05,0.00022187820804546912
battery,energy,CZ,4.2439609086015454e-06,5.856080709915951e-06,9.237135643964136e-06,1.2950565685455141e-05,2.804892882868058e-05,0.00025639782839764356
battery,energy,DE,4.470995538161734e-06,6.125446647673667e-06,9.50822746003397e-06,1.3106398745683105e-05,2.4551959840265e-05,0.00017853359300518015
battery,energy,DK,4.262830171033819e-06,5.7291130746090215e-06,8.929815090544627e-06,1.2719528476421205e-05,2.2298744718026124e-05,0.0001612578254168
battery,energy,EE,4.276105189847333e-06,5.815419280916205e-06,9.204479959832801e-06,1.2711375661727871e-05,2.2048973265956644e-05,0.00015918018356807237
battery,energy,EL,4.179139460293784e-06,5.636549171920831e-06,8.20021064406305e-06,1.3033215040243074e-05,2.500464686835284e-05,0.00024943112174240163
battery,energy,ES,3.952614281655107e-06,5.471097994617403e-06,7.326344807422409e-06,1.1238578055375476e-05,2.161988082388046e-05,0.00013894050988984735
battery,energy,FI,4.251504175623866e-06,5.853831125559783e-06,9.121358776857864e-06,1.2125896405922208e-05,2.234391621522704e-05,0.00016209297131718363
battery,energy,FR,4.09479383544454e-06,5.749686439865384e-06,7.575782929569474e-06,1.088615732347008e-05,1.932142581846158e-05,0.00014172109862141006
battery,energy,HR,4.203469689621598e-06,5.563500321100946e-06,1.0099909262039374e-05,1.4119440077977757e-05,2.6307522628327362e-05,0.00020719301145723804
battery,energy,HU,4.13811694906879e-06,5.629899488014614e-06,8.972743153563769e-06,1.354534336069834e-05,2.5302518432155816e-05,0.00020659924944406403
battery,energy,IE,4.061499357002012e-06,5.742283217235955e-06,7.870395998797522e-06,1.0828282164384472e-05,1.765368241791886e-05,0.00012220599136992188
battery,energy,IT,4.208937906382683e-06,5.703307825069334e-06,8.928794794695271e-06,1.3954472970234821e-05,2.404149188531349e-05,0.00018819030808155725
battery,energy,LT,4.238763450225095e-06,5.766850916827134e-06,8.29598830627438e-06,1.2103156285045529e-05,2.062307534829976e-05,0.00015661944605206734
battery,energy,LU,4.01590792886963e-06,5.644491399544607e-06,8.485777866859134e-06,1.1167759120579053e-05,2.029031210689774e-05,0.0001600945154988564
battery,energy,LV,4.24537011789692e-06,5.770408601898656e-06,8.661401532498576e-06,1.2321371020603376e-05,2.143807860781631e-05,0.00016361133250046182
battery,energy,NL,4.183339803856834e-06,5.927456936998559e-06,9.505843968975262e-06,1.2683851284431839e-05,2.2384211550517804e-05,0.00018005340909232664
battery,energy,NO,4.151361355979463e-06,5.721928505772582e-06,7.85882980314715e-06,1.132336498472962e-05,1.91520413186677e-05,0.00013890947855134769
battery,energy,PL,4.280735511409495e-06,6.097473851723121e-06,9.254927318324618e-06,1.3502918612073524e-05,2.4266170624523673e-05,0.00020859141278885084
battery,energy,PT,4.021129760631537e-06,5.4867014733164634e-06,7.771553630262612e-06,1.1119309908501639e-05,1.864899354680956e-05,0.00012536828912868825
battery,energy,RO,4.099338062666577e-06,5.613930297983483e-06,8.657786650876175e-06,1.2419346619116804e-05,2.5350439319457074e-05,0.00025247917943854633
battery,energy,SE,4.236669240505582e-06,5.848194177400165e-06,8.481554886030159e-06,1.2062823977910402e-05,2.1634792093720753e-05,0.00016298053215299885
battery,energy,SI,4.191380710912778e-06,5.616097582469112e-06,9.995510488123798e-06,1.3899513987678855e-05,2.7931494817604785e-05,0.00023607738126812342
battery,energy,SK,4.214352499235567e-06,5.816202277943016e-06,9.599613185170858e-06,1.3301325687989268e-05,2.8802536606796744e-05,0.00026983200632651073
battery,energy,UK,4.090471735802778e-06,5.874203014291903e-06,7.937283834994693e-06,1.1259883441833243e-05,1.910654838411361e-05,0.00013183655645937503
battery,power,AT,2.0737792198768744e-06,2.848480127490058e-06,4.8330615105789e-06,6.474814450496849e-06,1.2261273231407143e-05,8.896163239260309e-05
battery,power,BE,2.0598594792143765e-06,2.869481314780765e-06,4.700728406923658e-06,6.1690440770952805e-06,1.1588282043085081e-05,7.479484866160497e-05
battery,power,BG,1.965286309548652e-06,2.7546726639619305e-06,4.204264085876408e-06,5.957537203159477e-06,1.0123850332118206e-05,8.521780876346541e-05
battery,power,CH,2.0367120746075567e-06,2.8111666016199935e-06,4.768215929528244e-06,6.483996093432757e-06,1.2869121054315101e-05,9.953174747257573e-05
battery,power,CZ,2.0523326022106623e-06,2.8397702111542917e-06,4.5046539945803286e-06,6.2928816584097646e-06,1.3293464996667488e-05,0.0001149475176020007
battery,power,DE,2.162124040471278e-06,2.9702383162999242e-06,4.636852043951287e-06,6.3691321862658745e-06,1.1643197028136042e-05,8.012871740442886e-05
battery,power,DK,2.061457569029026e-06,2.7776613540608812e-06,4.354696440345293e-06,6.180518834047616e-06,1.058047699697375e-05,7.236511051976497e-05
battery,power,EE,2.067877221446351e-06,2.819752985453616e-06,4.488665398806365e-06,6.177354028431327e-06,1.0460155747961999e-05,7.143736091557828e-05
battery,power,EL,2.020985666046641e-06,2.732855353174819e-06,3.999003855550772e-06,6.329449355976165e-06,1.1869144984237897e-05,0.00011173733759429942
battery,power,ES,1.9114405926225445e-06,2.653141788265684e-06,3.5730495982356654e-06,5.45787702317922e-06,1.0262374332108024e-05,6.238867897055794e-05
battery,power,FI,2.0559804427941394e-06,2.8386347475019858e-06,4.448203188530937e-06,5.893627009601857e-06,1.0594006769032912e-05,7.275541076359992e-05
battery,power,FR,1.9801970538374457e-06,2.7885269772222784e-06,3.6947803896375e-06,5.2878674382297345e-06,9.172700201215358e-06,6.358199478313823e-05
battery,power,HR,2.0327514961153228e-06,2.6970565109591487e-06,4.925020103758843e-06,6.862502699931644e-06,1.2472753399416851e-05,9.295387746199135e-05
battery,power,HU,2.0011476328920546e-06,2.7298066783138668e-06,4.375648107584478e-06,6.579985748126491e-06,1.2006932629761194e-05,9.264574312033082e-05
battery,power,IE,1.964096211946393e-06,2.7850726821656437e-06,3.838429566317856e-06,5.260913705804661e-06,8.38217335613423e-06,5.484298898348453e-05
battery,power,IT,2.0353958653205115e-06,2.765318712672481e-06,4.3542256077880574e-06,6.777678834043939e-06,1.1417610259160882e-05,8.43905185112565e-05
battery,power,LT,2.049819168768567e-06,2.796211304127723e-06,4.045762578221338e-06,5.879729763052517e-06,9.791073538193923e-06,7.02512201777324e-05
battery,power,LU,1.942048701059149e-06,2.737527965731563e-06,4.138380564157991e-06,5.427676054089298e-06,9.621846252225242e-06,7.18189887575055e-05
battery,power,LV,2.0530140802549988e-06,2.7979169444281455e-06,4.223899656461294e-06,5.986689963322519e-06,1.0173681406328408e-05,7.339465518983225e-05
battery,power,NL,2.0230169057824888e-06,2.8749284224817942e-06,4.635774890938577e-06,6.16441475104199e-06,1.0616789149182813e-05,8.075956098186657e-05
battery,power,NO,2.007552481731408e-06,2.774693757528759e-06,3.832686771649336e-06,5.500737842667218e-06,9.093644193887947e-06,6.232175275479643e-05
battery,power,PL,2.0701163937915726e-06,2.9574996351650724e-06,4.513521011982572e-06,6.559302226541352e-06,1.1518128837475455e-05,9.350778370270155e-05
battery,power,PT,1.944573921201139e-06,2.6604303260608234e-06,3.790040091198458e-06,5.402116410400666e-06,8.853718020647487e-06,5.627454438625945e-05
