technology,location,0,1,2,3,4,5
DAC,AT,1.3225261118413083e-07,1.8251793637487465e-07,2.3575970947624937e-07,3.1440146481238403e-07,4.0922614052236114e-07,2.3588641652668805e-06
DAC,BE,1.332410003195633e-07,1.8533723415152455e-07,2.3349529590240722e-07,3.125592435615734e-07,4.109910747877432e-07,2.396150650210458e-06
DAC,BG,1.329468620535189e-07,1.9182563317716875e-07,2.623617514021101e-07,3.26858084970081e-07,4.4855451844079124e-07,2.53484210891101e-06
DAC,CH,1.3101284148212098e-07,1.8111175631043207e-07,2.345977916084003e-07,3.095701345889677e-07,4.1005303346174946e-07,2.3666567802319634e-06
DAC,CZ,1.3238241260517996e-07,1.903932481276787e-07,2.3522763615876513e-07,3.167120946254115e-07,4.3533773677797956e-07,2.3959432629165344e-06
DAC,DE,1.3319650389086682e-07,1.8262617879348283e-07,2.3316991139348342e-07,3.023998438519953e-07,3.958375027633024e-07,2.2810220065661855e-06
DAC,DK,1.2885554832193798e-07,1.8088120615295218e-07,2.435948178840301e-07,3.3592664424058353e-07,4.6964351587909564e-07,2.658018643243575e-06
DAC,EE,1.267881813648852e-07,1.7694421518103467e-07,2.2604745353060191e-07,3.0899163566618825e-07,4.174353522619202e-07,2.4443907915602666e-06
DAC,EL,1.3213401190484808e-07,1.898963260566125e-07,2.290824404911543e-07,3.1070292035193054e-07,4.2053764540985697e-07,2.391872131665247e-06
DAC,ES,1.3018270838249548e-07,1.7796114369071599e-07,2.418106918735964e-07,3.4026941910528077e-07,4.779269287927759e-07,2.6600138779392966e-06
DAC,FI,1.3049517749215948e-07,1.8618325383342453e-07,2.4169142020447344e-07,3.3303210007390104e-07,4.5364584208777034e-07,2.510462886797671e-06
DAC,FR,1.3384431461170469e-07,1.7996019662326431e-07,2.4035725998689987e-07,3.301265658519456e-07,4.6521444862805535e-07,2.659981439025689e-06
DAC,HR,1.3176543936303723e-07,1.8884784772384317e-07,2.385400825785453e-07,3.2308550436465156e-07,4.4888752738673456e-07,2.4872583139688157e-06
DAC,HU,1.3354242278799686e-07,1.7592872277293904e-07,2.3774394681150815e-07,3.256556319671864e-07,4.5835613082330017e-07,2.605890162360097e-06
DAC,IE,1.299278235873425e-07,1.8207700012088565e-07,2.476363764169437e-07,3.4740375602176485e-07,5.327543423069056e-07,3.0930203970779754e-06
DAC,IT,1.3203401461542177e-07,1.7460697975453062e-07,2.2901155367407761e-07,3.119520542069624e-07,4.3066952372082006e-07,2.4700097758595958e-06
