technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,power,AT,4.098025576870391e-09,4.7092116351745575e-09,5.135321972388161e-09,5.723066419452756e-09,6.1719879752218445e-09,6.542482449716223e-09,6.828160276191392e-09,7.1424917813113785e-09,7.486150519903703e-09,7.837161093241166e-09,8.155846312640714e-09,8.503045999388543e-09,8.863565803990776e-09,9.299675870338554e-09,9.810746692952522e-09,1.0358838621646273e-08,1.0971098498584492e-08,1.1669505612157268e-08,1.2457109717296198e-08,1.3567344460696982e-08,1.2771197569339112e-08,1.3626132458057107e-08,1.4956788287664027e-08,1.6074162065108472e-08,1.7177846270991754e-08,1.8314117160376277e-08,1.9735912373784735e-08,2.0915985272886482e-08,2.2314341738653778e-08,2.3893299813059674e-08
DAC,power,BE,4.443849049805023e-09,4.878715642665642e-09,5.308107576030855e-09,5.921795347027359e-09,6.386049902598186e-09,6.744408393326086e-09,7.055916751161579e-09,7.340221726628137e-09,7.562279673960473e-09,7.842943258818953e-09,8.1504185378963e-09,8.514207151244543e-09,8.942949034477002e-09,9.445654560253665e-09,1.0045688017605842e-08,1.0715778185147708e-08,1.1418229784967055e-08,1.2209865735740836e-08,1.3036064529414636e-08,1.4167214633352736e-08,1.3462567526796606e-08,1.4697032521705353e-08,1.5740401561758785e-08,1.683892930939622e-08,1.822745190069819e-08,1.985687583957286e-08,2.166905406128199e-08,2.3392440423745285e-08,2.478440764234439e-08,2.6568680269946762e-08
DAC,power,BG,4.137429295342097e-09,4.699486843086034e-09,5.141177923996942e-09,5.720596764458368e-09,6.241962438709514e-09,6.70271386751276e-09,7.158210297182482e-09,7.636760830381173e-09,8.173881828447654e-09,8.735148521032483e-09,9.34401876137181e-09,9.887201646847307e-09,1.0527677517156938e-08,1.117599722059443e-08,1.1796364124804029e-08,1.2345541925084525e-08,1.2831225429596157e-08,1.328052805469598e-08,1.4072911736135122e-08,1.5178554832840738e-08,1.4709477709605428e-08,1.5972873809431427e-08,1.7166413970457776e-08,1.8370704053213317e-08,1.9687156391192323e-08,2.1001286131355486e-08,2.2381667044719384e-08,2.3679130004168486e-08,2.4879697105911366e-08,2.6880179724268747e-08
DAC,power,CH,4.1372790579419485e-09,4.7304175785420605e-09,5.184788999029357e-09,5.792644233087778e-09,6.2265167288973734e-09,6.604474845090879e-09,6.950068655434348e-09,7.244522247777799e-09,7.587927758967739e-09,7.942406112833604e-09,8.258406411172213e-09,8.600927017899079e-09,8.953015086640956e-09,9.322699121466298e-09,9.780203198573898e-09,1.0318294532672995e-08,1.097803390951538e-08,1.1763510880104874e-08,1.2569856346698174e-08,1.3685962710128652e-08,1.303792899980844e-08,1.4129974776116293e-08,1.514692526990945e-08,1.6157845406545783e-08,1.74416497532189e-08,1.876994624468231e-08,2.0351582933425512e-08,2.1841051335166517e-08,2.3262563937185894e-08,2.5091251446401865e-08
DAC,power,CZ,4.115545106616508e-09,4.712920467847925e-09,5.157992161679029e-09,5.7600194818092275e-09,6.212306390807316e-09,6.637118280963862e-09,7.0668756794166186e-09,7.51250768205272e-09,7.94017681194706e-09,8.299436991763118e-09,8.586718601778166e-09,8.819055524150166e-09,9.116998118416635e-09,9.49692403045142e-09,9.961213077147386e-09,1.0514228625205367e-08,1.1131198945900078e-08,1.1838811354755248e-08,1.2621631390723969e-08,1.376586831436335e-08,1.3497702935271052e-08,1.4894251892841733e-08,1.6049111190323584e-08,1.7115102751772397e-08,1.837037844274735e-08,1.9601049193033317e-08,2.0763868508577386e-08,2.194418220961807e-08,2.3227480402459676e-08,2.507269402355263e-08
DAC,power,DE,4.15564354070033e-09,4.77011863168591e-09,5.222472567815064e-09,5.807959514914809e-09,6.2169247179008654e-09,6.554584491620176e-09,6.872660436471917e-09,7.1712480422804526e-09,7.4992271150506e-09,7.772057159868955e-09,8.03234083825114e-09,8.299257969594093e-09,8.62826521536499e-09,9.023595710611183e-09,9.483844726209698e-09,1.0024151325636269e-08,1.0655224742555081e-08,1.1381426353438298e-08,1.2140895089497144e-08,1.3151612314831174e-08,1.2542906637630453e-08,1.349487404451229e-08,1.4328900675032468e-08,1.518890024433527e-08,1.6326818642399865e-08,1.7662272197488703e-08,1.9109360452143433e-08,2.0544895064775352e-08,2.169853947326927e-08,2.3293583038756965e-08
DAC,power,DK,4.047847679314438e-09,4.942569620276693e-09,5.461070959992188e-09,6.011907416815952e-09,6.298728377209948e-09,6.653452857757339e-09,7.0211515186303614e-09,7.406900504787262e-09,7.858638731315164e-09,8.340233907579156e-09,8.805735544006185e-09,9.355279588064162e-09,9.918307001807325e-09,1.0521580960337309e-08,1.1166307569442869e-08,1.183530997324718e-08,1.2716573254522174e-08,1.3748645399778338e-08,1.4683577690604486e-08,1.5721649844870926e-08,1.5563560410878042e-08,1.700810443585528e-08,1.8085851763140282e-08,1.9238625161858855e-08,2.0851179549824194e-08,2.2512554498128166e-08,2.4324882638225628e-08,2.6031863459107075e-08,2.7315211053967604e-08,2.913224770842367e-08
DAC,power,EE,3.803125698207315e-09,4.792344974577101e-09,5.2860173307947115e-09,5.815995340839662e-09,6.142321289803141e-09,6.44411657729566e-09,6.6978426561948194e-09,6.935597974108384e-09,7.194776117674081e-09,7.493993007110286e-09,7.83855370628756e-09,8.261465140060026e-09,8.732618089603945e-09,9.266131921146105e-09,9.861877786974198e-09,1.0502404175557101e-08,1.1199612281434824e-08,1.1976872237345134e-08,1.2833435270931827e-08,1.415100877975404e-08,1.4125143895122121e-08,1.4890838941879373e-08,1.5998088855216252e-08,1.826773711165907e-08,1.977754243450646e-08,2.115212826666842e-08,2.267777000792115e-08,2.4185559926460928e-08,2.5602262081942835e-08,2.743506743266798e-08
DAC,power,EL,4.176332584900323e-09,4.7721000812893285e-09,5.240627937948019e-09,5.845642750182268e-09,6.421508814780438e-09,6.893429650722218e-09,7.337934055482614e-09,7.798822164974545e-09,8.318321273972244e-09,8.853691960513318e-09,9.354115166289406e-09,9.68810583242526e-09,9.971306504311627e-09,1.0160350528920921e-08,1.0445750658240018e-08,1.0859714548662464e-08,1.1432718172249747e-08,1.2254500802011739e-08,1.3216445863160251e-08,1.448418940943856e-08,1.411138639749554e-08,1.543797441046835e-08,1.643748358851762e-08,1.753731814167806e-08,1.8822386772491228e-08,2.0408812527952298e-08,2.2062941380855664e-08,2.361130006390677e-08,2.4871396417845746e-08,2.6831861401269005e-08
DAC,power,ES,3.919506515621563e-09,4.637405746359639e-09,5.092306211522747e-09,5.589191733923033e-09,5.8954768096050374e-09,6.22564964486873e-09,6.569121484507271e-09,6.932871182860629e-09,7.356590777501142e-09,7.866703107207089e-09,8.483822415050599e-09,8.8496710998529e-09,9.307449186963999e-09,9.850721431984699e-09,1.049064921811475e-08,1.1242374449786268e-08,1.2145651539272191e-08,1.3279826845750718e-08,1.4320960481758984e-08,1.5594120452403787e-08,1.5291659900875503e-08,1.6525233226927517e-08,1.7692455342682988e-08,1.903068227987546e-08,2.0627284939779377e-08,2.227401207443052e-08,2.4322788201847072e-08,2.6320289247115876e-08,2.787610269534523e-08,3.008202294809336e-08
