technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,power,AT,1.9185802499654668e-06,2.2047486674792524e-06,2.4042648553863543e-06,2.6794579083413137e-06,2.889658794572568e-06,3.063142230270843e-06,3.196916920194145e-06,3.3441063045074e-06,3.5050252136600913e-06,3.6693857961647476e-06,3.8186095887419795e-06,3.981188400866267e-06,4.149995940661186e-06,4.3541937066959125e-06,4.5934875425558705e-06,4.850114722715196e-06,5.1367853502001345e-06,5.463788135726656e-06,5.832550523760292e-06,6.352346872948748e-06,5.979612146250228e-06,6.379862579764378e-06,7.002834512744393e-06,7.52595398110883e-06,8.042666021712001e-06,8.574635766865555e-06,9.24028095222026e-06,9.79275944862962e-06,1.0447433720842842e-05,1.1186659643958415e-05
DAC,power,BE,2.0804850679567567e-06,2.2841051367747525e-06,2.4851585934530906e-06,2.772497713531833e-06,2.989877197742648e-06,3.1576790928127987e-06,3.303546961701216e-06,3.4366787399218926e-06,3.540667177236692e-06,3.6720920918359162e-06,3.816066624183905e-06,3.9864121445915454e-06,4.187160565271868e-06,4.422537567511064e-06,4.703481471403219e-06,5.017224724392156e-06,5.34612007712606e-06,5.71676948631779e-06,6.103601054184851e-06,6.633191609226281e-06,6.303293106120128e-06,6.881229148101355e-06,7.369701948398091e-06,7.883998284118848e-06,8.534063367996453e-06,9.296913404697141e-06,1.0145324545277627e-05,1.0952166724454468e-05,1.1603849523421492e-05,1.2439198585700605e-05
DAC,power,BG,1.9370279620689987e-06,2.20019653945322e-06,2.4070070619252074e-06,2.6783019544417467e-06,2.922418978984462e-06,3.13815821573569e-06,3.3514371880394425e-06,3.575509276806654e-06,3.827001505132632e-06,4.089797517759024e-06,4.374877419925657e-06,4.629209516287488e-06,4.929084753328287e-06,5.232633015981171e-06,5.5230961894040205e-06,5.7802315876576225e-06,6.007642312213097e-06,6.218021695730787e-06,6.589021246204826e-06,7.106666950511489e-06,6.887059317493748e-06,7.478538394181046e-06,8.037316171066598e-06,8.601127574375502e-06,9.217451749795886e-06,9.832690012766646e-06,1.0478945969869603e-05,1.108638282668019e-05,1.1648457372064153e-05,1.258502952003756e-05
DAC,power,CH,1.9369576251461748e-06,2.2146777584245864e-06,2.4274251191759834e-06,2.7120331151968687e-06,2.915188295560189e-06,3.0921657825660183e-06,3.2539912775862854e-06,3.3918741098308e-06,3.552674007823434e-06,3.718657394066126e-06,3.86662343254859e-06,4.027011506105147e-06,4.191871799735832e-06,4.364970713279707e-06,4.579186036564587e-06,4.831130857461187e-06,5.14002949112027e-06,5.507795548045345e-06,5.8853315345872975e-06,6.407875685055257e-06,6.104485055093049e-06,6.615742632306935e-06,7.091846145978342e-06,7.565126842579092e-06,8.166166026416224e-06,8.788036504346117e-06,9.528514769482392e-06,1.0225843498404058e-05,1.0891358988000132e-05,1.1747501709486503e-05
DAC,power,CZ,1.9267824007644502e-06,2.206486354626493e-06,2.4148796593825023e-06,2.69675908584102e-06,2.9085351319967992e-06,3.1074481593442723e-06,3.3086765819371063e-06,3.517337057957432e-06,3.7175870725287166e-06,3.885809057920837e-06,4.020330731393463e-06,4.129133706561902e-06,4.268644231170665e-06,4.446538035394446e-06,4.663930021091469e-06,4.92286234090886e-06,5.211738925447663e-06,5.543052130063367e-06,5.909574921742317e-06,6.445289606663419e-06,6.319739658990135e-06,6.973557041834356e-06,7.514225661061098e-06,8.013290062261353e-06,8.60097339941404e-06,9.177138877134136e-06,9.721538829414837e-06,1.0274130031754006e-05,1.0874937662095603e-05,1.1738818152558919e-05
DAC,power,DE,1.945555359167144e-06,2.233263447666397e-06,2.4450678508175208e-06,2.7192040075259083e-06,2.9106983129180513e-06,3.0688093020017117e-06,3.217751750911595e-06,3.3575700597043534e-06,3.5111474844741238e-06,3.638904226936852e-06,3.760783984640331e-06,3.885777281869744e-06,4.0398332897981284e-06,4.224939577241594e-06,4.440440642515356e-06,4.693422845183839e-06,4.988901196378138e-06,5.328916801646027e-06,5.684507374234495e-06,6.157715576817184e-06,5.872731373820834e-06,6.318409105157643e-06,6.708872569243715e-06,7.111496604199219e-06,7.644236150588188e-06,8.269457586060563e-06,8.94694414952722e-06,9.619022517040684e-06,1.0159129834225679e-05,1.0905888264203158e-05
DAC,power,DK,1.8950883704176673e-06,2.3140011619713317e-06,2.5567730265004046e-06,2.814686641199558e-06,2.94899656175087e-06,3.1150968255194437e-06,3.2872710304663382e-06,3.467895504200938e-06,3.6794131445713476e-06,3.9049082176598346e-06,4.122865384239564e-06,4.380175533436657e-06,4.643791210863407e-06,4.926249893785787e-06,5.22811650165494e-06,5.541349842875509e-06,5.953960390986629e-06,6.437175265896959e-06,6.874912943539783e-06,7.360924428786562e-06,7.286910951454863e-06,7.963197436075377e-06,8.467764003358887e-06,9.00745595749795e-06,9.762406000138329e-06,1.0540214116729098e-05,1.1388695503673083e-05,1.2187857484898188e-05,1.2788688143722334e-05,1.3639376781703232e-05
DAC,power,EE,1.7805164257390999e-06,2.243670489248815e-06,2.4748166950772677e-06,2.722964828681272e-06,2.8757695626330927e-06,3.017089667346391e-06,3.135905198620021e-06,3.247243532065898e-06,3.3686104838003087e-06,3.508721583256892e-06,3.670061691443695e-06,3.8680831889615025e-06,4.088686247375468e-06,4.338485808263894e-06,4.61742206846989e-06,4.917324982984241e-06,5.2437669141846605e-06,5.60768817406403e-06,6.008734986822454e-06,6.625600082367718e-06,6.613490549194828e-06,6.971958734904943e-06,7.490337078234985e-06,8.552919397399074e-06,9.259766445766407e-06,9.903308843054778e-06,1.0617572112832437e-05,1.1323478432334645e-05,1.1986741823536144e-05,1.2844813030676606e-05
DAC,power,EL,1.955241387438125e-06,2.2341905394409474e-06,2.4535657218993865e-06,2.7368441672139775e-06,3.006477352372989e-06,3.227446031261705e-06,3.435579174961416e-06,3.6513823574199053e-06,3.894624352619297e-06,4.145295723198889e-06,4.379602547812186e-06,4.535997047721103e-06,4.668606856167054e-06,4.757135321644507e-06,4.890776383705014e-06,5.084608295537615e-06,5.352899817610728e-06,5.737663542617647e-06,6.1880476248064624e-06,6.781585946070083e-06,6.607050879993131e-06,7.22811534743989e-06,7.696053016186394e-06,8.210960558270375e-06,8.812591290460786e-06,9.555310387816905e-06,1.032972710876557e-05,1.105462617325706e-05,1.1644570788426322e-05,1.2562408310975872e-05
DAC,power,ES,1.8350026493063851e-06,2.171132074221501e-06,2.384127149455541e-06,2.6167820308254983e-06,2.760204480715637e-06,2.9148101359573773e-06,3.075642493087032e-06,3.2459676878469518e-06,3.4443676904407556e-06,3.6832125273804347e-06,3.97215451687844e-06,4.143462677488299e-06,4.357806161710757e-06,4.612175070899067e-06,4.911796508612848e-06,5.2637586494498445e-06,5.686674352335754e-06,6.217690580699811e-06,6.705147015465467e-06,7.301219438961717e-06,7.159617549661933e-06,7.737133789714037e-06,8.283590437565895e-06,8.910107188208793e-06,9.657589562569894e-06,1.0428539928496848e-05,1.1387719517122911e-05,1.2322894640657348e-05,1.3051286243920986e-05,1.4084039818027218e-05
