technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,AT,1.3967895559437133e-06,1.6051089739083087e-06,1.750346346768766e-06,1.9506758200295676e-06,2.1036882717027305e-06,2.229969282594764e-06,2.3273410039030416e-06,2.434479174522017e-06,2.5516133719227888e-06,2.6712534018998615e-06,2.7798755121676223e-06,2.898216622338696e-06,3.02109782167075e-06,3.1697435473964783e-06,3.343939236023663e-06,3.5307533657395477e-06,3.739438788899788e-06,3.977487025480158e-06,4.245937567732898e-06,4.6243549946471435e-06,4.352992690536054e-06,4.644392561320942e-06,5.097939307305379e-06,5.478790034843222e-06,5.854974746949169e-06,6.2422664515137e-06,6.726877556917376e-06,7.129098936408213e-06,7.605721073149917e-06,8.143900278289832e-06
DAC,BE,1.5146615911798062e-06,1.6628834857831134e-06,1.8092393727048941e-06,2.0184114857283857e-06,2.1766501063413512e-06,2.2987946336858454e-06,2.4049705500270224e-06,2.5018743425938303e-06,2.5775615768069895e-06,2.6732242213440777e-06,2.7780254848964887e-06,2.902020839772758e-06,3.048155160669818e-06,3.219499583721535e-06,3.424017698780831e-06,3.652414259516268e-06,3.8918410370653065e-06,4.1616658118034955e-06,4.443271142099694e-06,4.8288174550126536e-06,4.588642351026306e-06,5.009402978241196e-06,5.3650295966710946e-06,5.739456758247317e-06,6.21272707277855e-06,6.768107291211187e-06,7.385778305242542e-06,7.973185100732313e-06,8.447629497597224e-06,9.055789042832307e-06
DAC,BG,1.4102200974067213e-06,1.6017943318280737e-06,1.752342315777213e-06,1.949834051661304e-06,2.1275386840412947e-06,2.284583283096727e-06,2.439836744500987e-06,2.6029480707298737e-06,2.786022818874876e-06,2.9773274946500494e-06,3.1848575787546977e-06,3.36999848799689e-06,3.5883011778414116e-06,3.809277395214262e-06,4.020726054184042e-06,4.207910297278433e-06,4.37345285768238e-06,4.5265951947482225e-06,4.796674829385268e-06,5.173527218691015e-06,5.013644852322875e-06,5.444266488072804e-06,5.851078109974428e-06,6.26155378377541e-06,6.710259347490078e-06,7.158173266469746e-06,7.628668534701625e-06,8.070901672828193e-06,8.480108388957262e-06,9.161961924459707e-06
DAC,CH,1.4101688898123558e-06,1.6123369034719603e-06,1.7672069116627454e-06,1.974391036439958e-06,2.1222740985122286e-06,2.2510990507679977e-06,2.36889280676871e-06,2.4692556997718174e-06,2.5863035860004665e-06,2.7071255899631864e-06,2.8148325596038068e-06,2.93157883099652e-06,3.0515861193762625e-06,3.1775908963492544e-06,3.3335286533784793e-06,3.516934135241632e-06,3.7418026857014866e-06,4.009528205802215e-06,4.2843666383822815e-06,4.664785374800363e-06,4.443906636613962e-06,4.816124453791216e-06,5.1627464555325705e-06,5.507313043090372e-06,5.944890717917282e-06,6.397633296427413e-06,6.936725492582287e-06,7.444402633301561e-06,7.928917412162306e-06,8.552215526350328e-06
DAC,CZ,1.4027609916303371e-06,1.6063731091963219e-06,1.7580733565296307e-06,1.9632710687881353e-06,2.1174305826633645e-06,2.2622253869614193e-06,2.408705840655117e-06,2.560597066173467e-06,2.7063657449751614e-06,2.828817608103053e-06,2.926735970240304e-06,3.0059267367550294e-06,3.1074788369398205e-06,3.2369745016222865e-06,3.3952248783462043e-06,3.5837171967352426e-06,3.794008148831189e-06,4.0351939598528696e-06,4.30201387835119e-06,4.692020762028383e-06,4.600618062422037e-06,5.076624119902166e-06,5.470251581480637e-06,5.8335889623304995e-06,6.2614428012328075e-06,6.680910180964883e-06,7.077250771069732e-06,7.4795542265815806e-06,7.916959381649331e-06,8.545890330488363e-06
DAC,DE,1.4164283231018877e-06,1.6258687898282296e-06,1.7800511495336958e-06,1.9796111663051967e-06,2.1190047141394126e-06,2.2340941972445024e-06,2.342508639622174e-06,2.4442805884556677e-06,2.556070457703703e-06,2.649063083054998e-06,2.737779348175162e-06,2.8287565893779896e-06,2.9408969057577504e-06,3.075643138192844e-06,3.232516492461251e-06,3.41667703536905e-06,3.6317749505116592e-06,3.879296789154215e-06,4.138157545070458e-06,4.482654971423059e-06,4.275180977762208e-06,4.5996538505125145e-06,4.883927256092178e-06,5.177053395494074e-06,5.564906644361949e-06,6.020088668779798e-06,6.513320768657068e-06,7.00261487297822e-06,7.395828246304155e-06,7.939490102912157e-06
DAC,DK,1.3796866945948358e-06,1.6846477640579927e-06,1.8613761037113818e-06,2.0491256907971844e-06,2.1468870430359945e-06,2.2677929379290522e-06,2.3931210110725476e-06,2.5246014386523376e-06,2.6785739371150197e-06,2.842723013244539e-06,3.0013866945318918e-06,3.1886957698103965e-06,3.380600577741595e-06,3.586223199865642e-06,3.805974730729778e-06,4.034000533157476e-06,4.334374292235293e-06,4.686150425993627e-06,5.004816972808543e-06,5.358638176751023e-06,5.3047542596879794e-06,5.7971191728250055e-06,6.164463442024903e-06,6.557379936443055e-06,7.107010260912948e-06,7.673280805780976e-06,8.291002918673267e-06,8.87281797523626e-06,9.310239968711378e-06,9.92956695291468e-06
DAC,EE,1.2962745486947284e-06,1.6334445169765576e-06,1.801710033696316e-06,1.9823501335260377e-06,2.0935765445856053e-06,2.1964418141392693e-06,2.282922957418894e-06,2.3639605543548704e-06,2.4523000039924477e-06,2.5542864407012283e-06,2.6717280664235907e-06,2.8158751105798365e-06,2.976465010967331e-06,3.1583102761739745e-06,3.3613669891632606e-06,3.579686897884328e-06,3.817326459263792e-06,4.082251254949889e-06,4.37420606998915e-06,4.8232937786404096e-06,4.8144778744831826e-06,5.075460834273575e-06,5.452860898220869e-06,6.226458066124893e-06,6.741066934933366e-06,7.20958698150133e-06,7.729593606721325e-06,8.2435155360183e-06,8.726390700543575e-06,9.351092358439451e-06
DAC,EL,1.4234800704175006e-06,1.626544156064913e-06,1.786239307931031e-06,1.99245529049828e-06,2.188736082202712e-06,2.3495877124600094e-06,2.5010946024229695e-06,2.6581857883419713e-06,2.8352542121862673e-06,3.0177323762415713e-06,3.1882988830308527e-06,3.3021377709270853e-06,3.3986651676714495e-06,3.4630997872790424e-06,3.560376857033775e-06,3.7014741800820804e-06,3.896779324457447e-06,4.1768794294900064e-06,4.504753131007993e-06,4.936856570052144e-06,4.809788706824204e-06,5.261948959805257e-06,5.602626184673945e-06,5.977498763749874e-06,6.415507362896176e-06,6.956231886192196e-06,7.5200326391599346e-06,8.04778220947672e-06,8.477279144927492e-06,9.145492888905688e-06
DAC,ES,1.3359423124085307e-06,1.5806343302852864e-06,1.7356846604540435e-06,1.9050453672552901e-06,2.009440956504094e-06,2.1219785576736913e-06,2.2390490515904894e-06,2.3630311425040513e-06,2.5074536438625123e-06,2.6813226354356508e-06,2.891664368984643e-06,3.016361887924447e-06,3.1723930397614718e-06,3.3575644067148527e-06,3.575680285070901e-06,3.831901709960108e-06,4.139778754905422e-06,4.526356191522668e-06,4.881220884736378e-06,5.315170482337562e-06,5.212078461183726e-06,5.632535167956178e-06,6.030376428380632e-06,6.486503744887155e-06,7.030697010281281e-06,7.591974928152749e-06,8.290289041513577e-06,8.97112632417126e-06,9.501416810338291e-06,1.0253292637486346e-05
DAC,FI,1.3934667743409173e-06,1.71733997300674e-06,1.896565357232261e-06,2.106251549826642e-06,2.232292515992548e-06,2.339989066168921e-06,2.440515782001399e-06,2.534789978711749e-06,2.6571395980553407e-06,2.800448841227888e-06,2.951249044613877e-06,3.1280708355659996e-06,3.316885230020827e-06,3.5293757090074445e-06,3.7747187672840127e-06,4.040530587921345e-06,4.3026842693833806e-06,4.606575737928973e-06,4.962496979514215e-06,5.572908659618654e-06,5.625295566973946e-06,5.824067448534074e-06,6.131092215491993e-06,6.512775655001298e-06,7.039574144859706e-06,7.5412737021283795e-06,7.95940458208368e-06,8.413796167375724e-06,8.840866334740513e-06,9.458553207230762e-06
DAC,FR,1.4280526809421086e-06,1.6282194663608075e-06,1.7854457968065276e-06,2.003206702659257e-06,2.158170146171843e-06,2.3058914836664865e-06,2.4462390637374213e-06,2.5820980424224023e-06,2.7126777555839345e-06,2.8078724819373566e-06,2.9411109623970906e-06,3.055512842222124e-06,3.201523512175806e-06,3.3811123448009823e-06,3.5951864141949484e-06,3.836779917806493e-06,4.11922909710261e-06,4.480864691961956e-06,4.802231033350811e-06,5.248411650436709e-06,5.123647119763244e-06,5.594755135424314e-06,5.985842510340238e-06,6.398917946279049e-06,6.929217977181296e-06,7.481104573236827e-06,8.188939714218243e-06,8.881804368601874e-06,9.369837631853242e-06,1.0092279617025471e-05
DAC,HR,1.4187327994783626e-06,1.637077748167221e-06,1.796165281988622e-06,2.0174687868822426e-06,2.1796074967970897e-06,2.3209902877540875e-06,2.454870436195462e-06,2.59557318670688e-06,2.7393092236582258e-06,2.8720505656598396e-06,2.9794665551670683e-06,3.0706560579264912e-06,3.1893470043832256e-06,3.332458916848272e-06,3.498911913542719e-06,3.6872805242611126e-06,3.901528806948605e-06,4.149256111922681e-06,4.430211736759156e-06,4.832450117441857e-06,4.774973488679971e-06,5.271874384301001e-06,5.652883043996363e-06,6.003384467211621e-06,6.442599903239511e-06,6.909107382863468e-06,7.490974623679476e-06,7.988424937774281e-06,8.455966868567898e-06,9.106813599603203e-06
DAC,HU,1.4340278776968396e-06,1.629600033549689e-06,1.7784398812819357e-06,1.980644160187751e-06,2.1372680490395318e-06,2.276725116705953e-06,2.4077812603772226e-06,2.5327139145316993e-06,2.6428772138607836e-06,2.7314684276284463e-06,2.8550918959291324e-06,2.9841372463052924e-06,3.143120825286184e-06,3.3218503611894175e-06,3.5214147858240077e-06,3.7341400069311544e-06,3.972214992399791e-06,4.253958774807233e-06,4.581818254438386e-06,5.032615142537417e-06,4.956857758409935e-06,5.443598779255524e-06,5.835779732987651e-06,6.214264704829352e-06,6.668287638768061e-06,7.121675057941553e-06,7.655354854290882e-06,8.149705106325686e-06,8.647718144056816e-06,9.337409894711374e-06
DAC,IE,1.297286992152078e-06,1.6906865090608687e-06,1.8916655166755618e-06,2.170349732012863e-06,2.302999973295022e-06,2.3718389697213355e-06,2.4586645560110297e-06,2.5685385445568735e-06,2.7162321163924926e-06,2.8878966163119723e-06,3.070445572199859e-06,3.23851908565329e-06,3.4259105181822615e-06,3.647209950416297e-06,3.905759290997704e-06,4.1993837884245685e-06,4.52696503292406e-06,4.9326060656071535e-06,5.42029990871687e-06,6.099393218193218e-06,6.362220737511726e-06,6.8703737566977675e-06,7.312517389976039e-06,7.675411901484973e-06,8.342766602979729e-06,9.155034950080266e-06,1.0133118141671528e-05,1.1067655393339225e-05,1.1582929784281888e-05,1.2341449183836706e-05
