year,value
0,69516.92533145487
1,70134.68359616128
2,69534.751471374
3,68974.90657762846
4,68090.10387126076
5,67343.67167246623
6,66584.77971117874
7,65026.62820673296
8,64379.33950565162
9,63408.83639789697
10,62144.95798767096
11,61892.027886553085
12,61847.300972781384
13,61947.73715985447
14,61269.448458666695
15,59967.44171121713
16,59264.70772357406
17,59299.16975910867
18,58840.77579249903
19,57888.37102717139
20,57289.928145235426
21,59711.993781730154
22,59540.9521417175
23,58990.44068915391
24,58654.42338034244
25,58538.519164603844
26,58334.6320941333
27,58191.791062739525
28,58272.33434420949
29,58507.54429637705
