technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,power,AT,2.499108907633184e-10,2.8611711599340226e-10,3.111603077650348e-10,3.4017341401479877e-10,3.6310865648604207e-10,3.828617270055451e-10,3.9996638526969453e-10,4.1944594037876563e-10,4.403333354717497e-10,4.6401603462355975e-10,4.878107558332987e-10,5.106465845762409e-10,5.35350491709373e-10,5.611460611507202e-10,5.909139320148567e-10,6.245436740325627e-10,6.618468880445908e-10,7.03225499610659e-10,7.521155112946102e-10,8.186879523313692e-10,7.834423807550618e-10,8.394844475109584e-10,9.119287588938457e-10,9.984537232513467e-10,1.0715568540926399e-09,1.140032134119891e-09,1.2165358226212142e-09,1.2770271687052654e-09,1.3551896427964336e-09,1.4085021166295122e-09,1.4957705336818212e-09
DAC,power,BE,2.507735113119846e-10,2.851550212731659e-10,3.1166871605814845e-10,3.4323278120568087e-10,3.6725664948895003e-10,3.876036988148484e-10,4.058522217502342e-10,4.2192800575960307e-10,4.37518975561705e-10,4.5712526643320245e-10,4.799895822489556e-10,5.021248131768659e-10,5.275651635738731e-10,5.569734734668781e-10,5.92125842956936e-10,6.312726765835088e-10,6.702772564377404e-10,7.128068921994008e-10,7.620489201161242e-10,8.276305518822678e-10,8.062010505700266e-10,8.767408658429242e-10,9.503332984395002e-10,1.0193057138903592e-09,1.1105672160091838e-09,1.2109537306545033e-09,1.3193543886967709e-09,1.4141482449567232e-09,1.481367732778256e-09,1.5436471969294242e-09,1.6522236544630648e-09
DAC,power,BG,2.5125047940154863e-10,2.845263065253348e-10,3.102713410288994e-10,3.4036908967844844e-10,3.6760605183032624e-10,3.923090011939607e-10,4.163910829113583e-10,4.417522148634096e-10,4.705477376765082e-10,5.007379596640269e-10,5.357846687514154e-10,5.658594955299995e-10,6.005955812639785e-10,6.362099121513211e-10,6.720056541360342e-10,7.054554081322435e-10,7.370354754075537e-10,7.665448933722276e-10,8.123280145608285e-10,8.719539880928047e-10,8.491529526488158e-10,9.246779167879834e-10,9.920619032296315e-10,1.0625610007402774e-09,1.1425554391538625e-09,1.2259910641348453e-09,1.310879285326813e-09,1.386531162551321e-09,1.445596729400552e-09,1.5127392382032709e-09,1.6339330305276035e-09
DAC,power,CH,2.4831590109821716e-10,2.8408247598678597e-10,3.1012884862076674e-10,3.412267402373373e-10,3.6474968726352913e-10,3.857843510605013e-10,4.0550048569597114e-10,4.228223379011885e-10,4.4265778811782494e-10,4.6483821282332584e-10,4.864087687259347e-10,5.075057896788564e-10,5.303581994598559e-10,5.543801976634752e-10,5.831302214218296e-10,6.166287906692646e-10,6.556360708958649e-10,6.988134240727652e-10,7.485596830850679e-10,8.147285314846751e-10,7.925406187585399e-10,8.608667126938481e-10,9.275359073844653e-10,9.87044188317593e-10,1.0682198772253342e-09,1.1587388721684418e-09,1.2505943831996163e-09,1.3339544847411826e-09,1.416834571858428e-09,1.4855339197751612e-09,1.5848495549088353e-09
DAC,power,CZ,2.4800648405507417e-10,2.829682331867166e-10,3.084705937642836e-10,3.3963628150835315e-10,3.64828036799762e-10,3.8886346578461924e-10,4.121157211785417e-10,4.36249953502869e-10,4.6062679780930976e-10,4.837312269106851e-10,5.046967792956262e-10,5.210247857439289e-10,5.41060974453219e-10,5.65261890922795e-10,5.944084939207074e-10,6.292183789312531e-10,6.67789454338685e-10,7.110319022070912e-10,7.618645432993574e-10,8.327128917569268e-10,8.310429090682664e-10,9.089786844956673e-10,9.843357052537113e-10,1.050803139127049e-09,1.1319588082710566e-09,1.2127880285165765e-09,1.288876087463274e-09,1.3653048737857193e-09,1.4347915008478302e-09,1.5079443348349763e-09,1.636401659181275e-09
DAC,power,DE,2.460344474984068e-10,2.8416464564920623e-10,3.110511364690062e-10,3.4277133292172437e-10,3.665901595102867e-10,3.8760992368514983e-10,4.05790187454379e-10,4.2082837237063435e-10,4.39182716719812e-10,4.57194059750334e-10,4.760869890655733e-10,4.945143445056356e-10,5.157625618954051e-10,5.398193129811324e-10,5.679871271032947e-10,6.006756060333135e-10,6.372333075023045e-10,6.778757741442987e-10,7.256334634640196e-10,7.823304433943832e-10,7.601994532232107e-10,8.190509152718842e-10,8.804838287845782e-10,9.355120090921743e-10,1.0112196644747808e-09,1.0973095189899413e-09,1.1917276107816022e-09,1.2730479653693914e-09,1.334772500021508e-09,1.3973164415654901e-09,1.4964582527463599e-09
DAC,power,DK,2.32885767193332e-10,2.800515730362376e-10,3.073202927299284e-10,3.334924914414481e-10,3.505692090921662e-10,3.7034945367481977e-10,3.905041202052815e-10,4.119265193189525e-10,4.3744595572329546e-10,4.670022056676634e-10,5.020623113129457e-10,5.291749384031427e-10,5.586197423544887e-10,5.908955451872621e-10,6.270002105725216e-10,6.66851890372522e-10,7.157632081214796e-10,7.685169904139296e-10,8.274424539073908e-10,8.969658827254308e-10,9.026113429672081e-10,9.824944166384724e-10,1.0593378219964864e-09,1.1320693933712436e-09,1.2323053748882616e-09,1.3427557666133882e-09,1.4679457429640133e-09,1.5805633089103449e-09,1.6617748487739062e-09,1.743341972690425e-09,1.8881569935856016e-09
DAC,power,EE,2.3343461670183475e-10,2.8519673119162514e-10,3.1079168707831696e-10,3.352948873791579e-10,3.523858190870485e-10,3.6921660408055066e-10,3.8499267511228186e-10,4.012897212165738e-10,4.195064805535392e-10,4.4172348215034843e-10,4.69540956749969e-10,4.936073578215921e-10,5.201386050831149e-10,5.503350063917093e-10,5.839572345457978e-10,6.212655637759116e-10,6.622089108609383e-10,7.08069962270312e-10,7.615638214395752e-10,8.390356560939739e-10,8.350877278796768e-10,8.794865247521276e-10,9.510776965387575e-10,1.0759324102564955e-09,1.1656874438715054e-09,1.2500823650332175e-09,1.3368749229060997e-09,1.4227707616025426e-09,1.4907974059491966e-09,1.5526106279538292e-09,1.6495604019758631e-09
DAC,power,EL,2.447455379476593e-10,2.7911406218207565e-10,3.058451323242303e-10,3.360898781883023e-10,3.645655102190282e-10,3.889989924517662e-10,4.1142604287920554e-10,4.3489558809737294e-10,4.61476400510855e-10,4.900617833408425e-10,5.212392122085514e-10,5.39700770834378e-10,5.55894012550574e-10,5.683613174782375e-10,5.862187134172123e-10,6.108387881309879e-10,6.429504068501016e-10,6.848210555524753e-10,7.365896070264769e-10,8.043202690442612e-10,7.851663208421987e-10,8.551468964563921e-10,9.129646476570752e-10,9.743125739061146e-10,1.0476527970371442e-09,1.1390035546854039e-09,1.2415703435369694e-09,1.3344043023593081e-09,1.402866611854861e-09,1.4774158013236416e-09,1.6305164786362235e-09
DAC,power,ES,2.34454269253174e-10,2.7714464936357724e-10,3.028772525677377e-10,3.283309340904894e-10,3.4570771158959404e-10,3.641474279738192e-10,3.834417896123903e-10,4.039583307112371e-10,4.2797002695251096e-10,4.5524952794003565e-10,4.876942519680832e-10,5.151625328882243e-10,5.45810999729242e-10,5.801548860095854e-10,6.20623184463467e-10,6.664346086432088e-10,7.180804119356942e-10,7.768908793677104e-10,8.410349245566029e-10,9.160454036803788e-10,9.19471971314011e-10,1.000037755107311e-09,1.084959337130234e-09,1.1661421762435973e-09,1.2676072056448787e-09,1.379785540037084e-09,1.5066262652936524e-09,1.6264956383929239e-09,1.7034737835873227e-09,1.7800366865884424e-09,1.9360367704837263e-09
DAC,power,FI,2.3675602031891465e-10,2.8760304543379744e-10,3.155563765180679e-10,3.442004995368424e-10,3.641861956605953e-10,3.8216538370794187e-10,3.988244909464971e-10,4.1496131760582846e-10,4.363696259059306e-10,4.625735372043498e-10,4.952206552826005e-10,5.21193317896914e-10,5.502183278077306e-10,5.832134879187662e-10,6.215928610869005e-10,6.63943506563604e-10,7.075820826791276e-10,7.560163495955762e-10,8.217656348172386e-10,9.248856619048361e-10,9.338764891875295e-10,9.745039088225598e-10,1.0467475476155402e-09,1.1236269496187246e-09,1.2196606879234876e-09,1.3087060429241077e-09,1.3842280784146273e-09,1.4694308164603919e-09,1.5430899033675444e-09,1.6174792770521787e-09,1.7624191664306764e-09
DAC,power,FR,2.5264238296715494e-10,2.8957540527784795e-10,3.17362543650793e-10,3.5118209603086846e-10,3.7611256755438306e-10,3.9938258636165794e-10,4.208850163364845e-10,4.414102349857465e-10,4.619208144118688e-10,4.790686621154356e-10,5.031163064635594e-10,5.264489945041538e-10,5.540784721434821e-10,5.858286632138877e-10,6.248033292491263e-10,6.670499536565699e-10,7.132151406398282e-10,7.617412150309935e-10,8.169462319468441e-10,8.880690003974308e-10,8.830739807563e-10,9.70091459223686e-10,1.0509427945904846e-09,1.1245766037681526e-09,1.2230359311557062e-09,1.3278573438212594e-09,1.4472773614506972e-09,1.5552385496153404e-09,1.63306524418284e-09,1.7182034964676505e-09,1.8910685536301215e-09
DAC,power,HR,2.4424928817308585e-10,2.793786185724907e-10,3.0491021543878396e-10,3.364985323738428e-10,3.6143875435904487e-10,3.844191512626229e-10,4.060078819107938e-10,4.285883757133295e-10,4.535036192247802e-10,4.793543671187695e-10,5.04140892113462e-10,5.21187389248364e-10,5.426062975381495e-10,5.683016800206715e-10,5.984088372938972e-10,6.305476113220024e-10,6.674496893334877e-10,7.114829618078518e-10,7.650784817848002e-10,8.357686319606577e-10,8.277179803888332e-10,9.089225425903783e-10,9.85620103713642e-10,1.052626624319533e-09,1.1375643890518377e-09,1.2274353271434353e-09,1.3271623454390145e-09,1.41639720261269e-09,1.4879336867570681e-09,1.5605794505996077e-09,1.686664263876103e-09
