technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,power,AT,2.499108907633184e-10,3.6218597226468665e-11,2.5057845912000345e-11,2.901621224708423e-11,2.294390050195285e-11,1.9765799019061765e-11,1.7117476796884827e-11,1.9493479088091304e-11,2.089561463359933e-11,2.3697310226352014e-11,2.380407419353186e-11,2.2842874588766765e-11,2.4715838757189094e-11,2.5805514249517482e-11,2.977741220678877e-11,3.363915943493865e-11,3.731239050808928e-11,4.1387204267810794e-11,4.8897716804119186e-11,6.657847111670574e-11,2.1466979774708973e-10,9.225532104059193e-11,9.749884107941285e-11,1.1553862873621937e-10,9.604496193258945e-11,8.823949941812827e-11,9.362015051101864e-11,7.998454208776515e-11,9.905875396399214e-11,7.701176510386531e-11,1.1109031280296087e-10
DAC,power,BE,2.507735113119846e-10,3.439285741471736e-11,2.6528860059259496e-11,3.1568581902013926e-11,2.4033124667385817e-11,2.0362569344919692e-11,1.825353203220938e-11,1.608675315578734e-11,1.5606253566031412e-11,1.9619639069753615e-11,2.2885521758689693e-11,2.2132218507733328e-11,2.545210453958568e-11,2.941825624810193e-11,3.516195538767812e-11,3.915620158369644e-11,3.901373710980155e-11,4.253684126910753e-11,4.9249666325408975e-11,6.558754201925712e-11,2.2934602940245246e-10,1.0492753745559222e-10,1.0011810330407282e-10,1.0053852747757534e-10,1.1529255454334487e-10,1.2074745108767712e-10,1.2665311357199705e-10,1.1088029543369773e-10,8.282647047348095e-11,8.190141243194532e-11,1.3148293463839845e-10
DAC,power,BG,2.5125047940154863e-10,3.328700702707036e-11,2.5762325150399e-11,3.0104384783041566e-11,2.724670345233396e-11,2.4717506280286856e-11,2.408864924535636e-11,2.536830738706613e-11,2.8808521925905253e-11,3.020479520743864e-11,3.506155939163367e-11,3.0079013530383065e-11,3.4746189020847646e-11,3.562383131533056e-11,3.580538560537483e-11,3.345921401773626e-11,3.158927021006658e-11,2.951797578969939e-11,4.5790836652870324e-11,5.963201207858507e-11,2.2845269014457857e-10,1.0880645462684581e-10,9.314297958321827e-11,1.0060090439159531e-10,1.0723906511061815e-10,1.0815156822329478e-10,1.0897589928575796e-10,1.0101994825556159e-10,8.787483339973036e-11,9.734943403308299e-11,1.5627444519663264e-10
DAC,power,CH,2.4831590109821716e-10,3.5780463855753596e-11,2.605847739751248e-11,3.110079761248872e-11,2.3535035207928843e-11,2.104794610901686e-11,1.9726340213587892e-11,1.7331052057497127e-11,1.984978066174935e-11,2.2192731479931697e-11,2.1591829497773084e-11,2.1092755549482774e-11,2.286413306718142e-11,2.403210789197634e-11,2.8759513087344408e-11,3.350786791606234e-11,3.901632932955607e-11,4.318566119553994e-11,4.975378062915203e-11,6.61749506614322e-11,2.2613064691290532e-10,1.0410091467352437e-10,9.272429761627965e-11,9.060648081808813e-11,1.0470858773312807e-10,1.1156533605656554e-10,1.1158083082517653e-10,1.0069091123454423e-10,1.0273062103587612e-10,9.08942676160866e-11,1.2092842863848095e-10
DAC,power,CZ,2.4800648405507417e-10,3.497369285735737e-11,2.551748927390514e-11,3.1168303382522084e-11,2.5200562816758772e-11,2.405521781935419e-11,2.3256636839693486e-11,2.4144786239497115e-11,2.438759699643157e-11,2.3111767252506224e-11,2.0995317297978215e-11,1.6326400845729323e-11,2.0046216030083306e-11,2.4210497815955438e-11,2.9156110512107765e-11,3.48194832710438e-11,3.858034264593573e-11,4.32511738739244e-11,5.084036279854342e-11,7.08542306130171e-11,2.463402797675844e-10,1.1290397411327871e-10,1.0087105958375271e-10,9.763299480726599e-11,1.063542618999297e-10,1.048829546157703e-10,9.934378191828871e-11,1.0057332165485296e-10,9.387495248424236e-11,9.626639071534372e-11,1.494704860119537e-10
DAC,power,DE,2.460344474984068e-10,3.814562389370491e-11,2.6901184864758184e-11,3.172323480521083e-11,2.383019347761035e-11,2.1032786433115452e-11,1.818532697278778e-11,1.5043058897225645e-11,1.8368735609199616e-11,1.8022127073943688e-11,1.890909494058572e-11,1.8434030853712658e-11,2.1263354733558647e-11,2.4066213763490496e-11,2.8177386285380365e-11,3.2697794097427976e-11,3.656682015589823e-11,4.064925431102431e-11,4.7764526162202596e-11,5.670262477564064e-11,2.239077746794571e-10,9.69907703681477e-11,8.833024394898137e-11,8.674850759849124e-11,9.95357858439383e-11,1.0712105939207328e-10,1.1260239319689123e-10,9.636315165780709e-11,8.009402881513667e-11,8.056830295187755e-11,1.180691090641646e-10
DAC,power,DK,2.32885767193332e-10,4.717467726442482e-11,2.728466673623787e-11,2.617783186833789e-11,1.709360529782669e-11,1.979579912740092e-11,2.016067608953432e-11,2.143571133730178e-11,2.5523605541733436e-11,2.9570478905649285e-11,3.508065394548559e-11,2.7110998909155638e-11,2.945443563460303e-11,3.2285358292939546e-11,3.611398812373612e-11,3.98608570552494e-11,4.892034854715847e-11,5.276017471088622e-11,5.893301137004077e-11,6.952892080046052e-11,2.3853110825625316e-10,1.270511638667701e-10,1.0412412877201527e-10,9.890642664960547e-11,1.1732718802156346e-10,1.3024440653296325e-10,1.4534954815934564e-10,1.340530584562372e-10,1.0673605969726512e-10,1.1114036251511409e-10,1.7992009665999915e-10
DAC,power,EE,2.3343461670183475e-10,5.176523226574526e-11,2.561101444941997e-11,2.4509388033884643e-11,1.710486047006296e-11,1.6845914637172187e-11,1.578295078760299e-11,1.6308091447373923e-11,1.8229879896377963e-11,2.222702512307799e-11,2.7834160944424882e-11,2.40731567116092e-11,2.6541320277256497e-11,3.020633493866083e-11,3.363180673968901e-11,3.7317780156955826e-11,4.0952900370560654e-11,4.5871823411168584e-11,5.350236042459074e-11,7.747834764519534e-11,2.2948646201563324e-10,9.615804277395712e-11,9.719867500851945e-11,1.4936139101542888e-10,1.0685750822386487e-10,1.0123915460312579e-10,1.0257441120874961e-10,1.0220359687409936e-10,8.625722108073588e-11,8.40427555020359e-11,1.2481250421275019e-10
DAC,power,EL,2.447455379476593e-10,3.438318013340565e-11,2.674956447603241e-11,3.025143646237969e-11,2.848050946088625e-11,2.4450221650655464e-11,2.2431234453358506e-11,2.34731132044832e-11,2.659127648712068e-11,2.859955134470095e-11,3.123282770010368e-11,1.8432613560331162e-11,1.6203229088842357e-11,1.2477044533628199e-11,1.7867011912248353e-11,2.4629462269225055e-11,3.2120724079511566e-11,4.187921527916834e-11,5.177608676029889e-11,6.77367465018022e-11,2.2559202915534575e-10,1.0435819713863837e-10,8.456393044385824e-11,9.159661084142453e-11,1.0181840340396472e-10,1.1579918998228796e-10,1.2499685525027576e-10,1.1630674337388589e-10,9.505431367955643e-11,1.0315104844387327e-10,1.843577225575604e-10
DAC,power,ES,2.34454269253174e-10,4.2700710895812216e-11,2.574916418539966e-11,2.5455824578385753e-11,1.73942673040141e-11,1.8456411218947534e-11,1.9302544534220697e-11,2.052567909895563e-11,2.4019312200578072e-11,2.729214887130354e-11,3.246713999314707e-11,2.7465850346517376e-11,3.065862984948267e-11,3.4351758053618626e-11,4.0477384034752185e-11,4.5820570824993466e-11,5.1654795595118225e-11,5.881830854518209e-11,6.415164813539229e-11,7.501653752748415e-11,2.3788148997122133e-10,1.23260386495818e-10,1.106672571829166e-10,1.0663600778822944e-10,1.1885712457052442e-10,1.3063310981718305e-10,1.4614225692114397e-10,1.4039494852623716e-10,1.0099848207320554e-10,1.038575718458884e-10,1.8848970282125498e-10
DAC,power,FI,2.3675602031891465e-10,5.085464421094658e-11,2.7971058874896524e-11,2.865250548341472e-11,1.9996165518236688e-11,1.7994973224910278e-11,1.6663584320799225e-11,1.614381786396797e-11,2.1419909395096526e-11,2.621286924226007e-11,3.267230165266687e-11,2.5975865887203114e-11,2.9034655444804924e-11,3.300464919563162e-11,3.838889675955293e-11,4.236057395316046e-11,4.3646811338165283e-11,4.844209358574937e-11,6.575686971523774e-11,1.0312626509643467e-10,2.457481055762137e-10,9.147648762000782e-11,1.0021135845211353e-10,1.055293351545487e-10,1.1602778467098017e-10,1.0703866775468005e-10,9.218455752170245e-11,1.0134624947031483e-10,9.507963667690466e-11,1.0060416892066243e-10,1.7763513409539465e-10
DAC,power,FR,2.5264238296715494e-10,3.6948920508771875e-11,2.780373412936407e-11,3.38220583245762e-11,2.494699829399532e-11,2.3288178241987584e-11,2.1507695340152965e-11,2.0530264933690165e-11,2.051701568648299e-11,1.715312260730868e-11,2.407238240817774e-11,2.3337274393391205e-11,2.7639599092727324e-11,3.175843748694084e-11,3.8984174429810727e-11,4.225464891180408e-11,4.6174154121012557e-11,4.853226292178089e-11,5.521198716551256e-11,7.112820299779883e-11,2.4764832893286285e-10,1.239601474420636e-10,1.0865145945234351e-10,1.0745317482972932e-10,1.2340414009249334e-10,1.2810778392435862e-10,1.4092673080376947e-10,1.2849133321520086e-10,9.83446747890148e-11,1.0229390742428446e-10,1.9695976772735593e-10
DAC,power,HR,2.4424928817308585e-10,3.514184750990127e-11,2.5546956641914928e-11,3.1591777729939595e-11,2.4949665101004468e-11,2.3001170447715773e-11,2.1592973868587426e-11,2.2584255885467082e-11,2.492548022300781e-11,2.5860062081167058e-11,2.4833293010431685e-11,1.7029154732634984e-11,2.142869705255996e-11,2.5704823932115076e-11,3.011649321022605e-11,3.2148028313425344e-11,3.691124649520392e-11,4.404400041683758e-11,5.360303944948771e-11,7.069577353595636e-11,2.3619769007028127e-10,1.16339555211796e-10,1.0224055799094348e-10,9.859520515828501e-11,1.0988494378889658e-10,1.128702206261379e-10,1.2131881109031545e-10,1.1181882405019572e-10,9.646279904117094e-11,9.85082646784802e-11,1.5094181702623657e-10
DAC,power,HU,2.546965969837556e-10,3.4356145575086195e-11,2.4974648382876922e-11,3.028353295017609e-11,2.4580378101747913e-11,2.2865323432904866e-11,2.1695551160296608e-11,2.11608255798249e-11,2.035671262685785e-11,1.7400886535602507e-11,2.3414375121811217e-11,2.4507652649679424e-11,2.7469646677592817e-11,3.035768999629835e-11,3.4708053410280895e-11,3.75600653416484e-11,4.1571538388612716e-11,4.628829133373035e-11,5.6363388321307986e-11,7.549880590114886e-11,2.563127361205554e-10,1.1813684253290668e-10,1.0216704970755977e-10,9.83188799204578e-11,1.1003736334381925e-10,1.1428096437270903e-10,1.2108579501892333e-10,1.1022116901766853e-10,9.81321318812288e-11,9.672357104039545e-11,1.6162944206373917e-10
DAC,power,IE,2.2109870545461134e-10,5.883790670357207e-11,3.1274866904199235e-11,3.567430611455001e-11,2.103072930794349e-11,1.3324420311026419e-11,1.5655046744044567e-11,1.8867311739392503e-11,2.416925009822157e-11,2.9423144754680726e-11,3.5357164789640965e-11,2.593059693554479e-11,2.924400987081596e-11,3.369318878662153e-11,4.040912713893116e-11,4.556216933638953e-11,4.969292673349833e-11,5.956796816948544e-11,7.744183620291726e-11,1.0156249019615354e-10,2.4800078176288725e-10,1.4925985271926963e-10,1.1957844676285097e-10,1.1278210264892679e-10,1.3810495597690138e-10,1.5321358087983408e-10,1.8279993695686174e-10,1.6220002524130247e-10,1.1334387651827788e-10,1.1700139332576343e-10,2.435671861425158e-10
DAC,power,IT,2.489985725074194e-10,3.528034666113771e-11,2.6403213664737747e-11,3.028081730622961e-11,2.3214015037940973e-11,1.8361730953121402e-11,1.4991062584282047e-11,1.270578133755543e-11,1.524442645141752e-11,1.958839770040347e-11,2.6150333673549934e-11,2.2935129587698622e-11,2.6605264588635526e-11,2.982220441648453e-11,3.422537425976975e-11,3.625428992704561e-11,3.812685281310858e-11,4.116788739706436e-11,4.9525718318571984e-11,6.656238544910465e-11,2.4052680870161554e-10,1.1685750913593343e-10,1.0590140404744116e-10,1.0458036733932283e-10,1.1003046257215137e-10,1.0761339000872004e-10,1.0801994360481679e-10,9.457424642334809e-11,8.319262905352436e-11,8.856991216377881e-11,1.5546536858725928e-10
DAC,power,LT,2.542497450062602e-10,3.3280675750976485e-11,2.4904797916425888e-11,3.0810824247443266e-11,2.3890633793142006e-11,2.1300517972687338e-11,1.9806186529861058e-11,1.89407123159352e-11,1.8533414664818936e-11,2.14164954753082e-11,2.8968303574072012e-11,2.50307746564269e-11,2.8752180501630857e-11,3.383615430647448e-11,3.889414107291342e-11,4.447698764044142e-11,4.9951185545383156e-11,5.7477093335605076e-11,6.429030293174204e-11,8.765837648677813e-11,2.631451647561885e-10,1.2125489206024822e-10,9.957451846353561e-11,9.960044829161275e-11,1.152951489144979e-10,1.218450897592923e-10,1.2613454159075793e-10,1.243807185177131e-10,1.0363809846850167e-10,1.0200318455871631e-10,1.7326853776182584e-10
DAC,power,LU,2.1471834786730907e-10,6.724793104562708e-11,3.134727517605793e-11,3.780373876557868e-11,2.4736207205059035e-11,2.3139684345118876e-11,2.1713780911486098e-11,2.070334464200161e-11,2.0151659150912253e-11,1.6994132897177636e-11,1.96749720513703e-11,2.0819434548697088e-11,2.29492021663507e-11,2.7030602542250012e-11,3.1703373518204484e-11,3.6963907996624064e-11,4.139267935199586e-11,4.628409572666085e-11,5.157764693726831e-11,6.721861120756298e-11,2.1470362832308423e-10,1.2995757314380051e-10,1.1315209194352381e-10,1.1402783983965353e-10,1.2580023744383704e-10,1.291834272778478e-10,1.3777779209019865e-10,1.207358804497541e-10,8.720967961721452e-11,8.665173292075906e-11,1.3182333112494825e-10
DAC,power,LV,2.534276046875691e-10,3.674440991315711e-11,2.531006636250455e-11,3.125967014337528e-11,2.4477620552015555e-11,2.2225053196359405e-11,2.142494413512185e-11,2.140537578982772e-11,2.195700599638582e-11,2.0019947051763503e-11,2.364683990446934e-11,1.9626780466018474e-11,2.373312620922079e-11,2.8356177900434244e-11,3.4105650152101546e-11,3.967877855453133e-11,4.474023465577558e-11,5.061065193779733e-11,5.917773419937288e-11,8.326868904014287e-11,2.6028175856754924e-10,9.479229748463322e-11,1.0020324203874364e-10,1.0382446323665038e-10,1.1627377328129554e-10,1.1704716782860657e-10,1.145179000106025e-10,1.1188668871369305e-10,9.546217852382988e-11,9.281363526164265e-11,1.5506606487914243e-10
DAC,power,NL,2.1691194949677173e-10,6.118327270519539e-11,2.840029348115959e-11,2.7403178684000757e-11,1.7258755394201806e-11,1.9717547449144497e-11,1.777955840398883e-11,1.540894305036332e-11,1.924628068751403e-11,2.35128448933742e-11,2.8276591409434597e-11,2.1563075658192947e-11,2.4084157921514924e-11,2.634741491500889e-11,3.0601890631708194e-11,3.4366794422169155e-11,3.7760908513661694e-11,4.183751614816184e-11,4.934817383345058e-11,6.460401628368482e-11,2.1076542291180506e-10,1.1637052307202521e-10,9.705033875476218e-11,9.194501647261432e-11,1.0882570040788873e-10,1.1645616544098403e-10,1.1425279719817298e-10,1.050824753037019e-10,7.970671913318939e-11,8.267940176071937e-11,1.4536579902671364e-10
DAC,power,NO,2.561705355038635e-10,3.688605688837216e-11,2.8432317018724395e-11,3.266166805777784e-11,2.6744097075063444e-11,2.5048382133803382e-11,2.45394852607342e-11,2.444216853858975e-11,2.7354960258447408e-11,3.0103416681137706e-11,3.382153967688621e-11,2.3731292888689557e-11,2.3654834465280334e-11,2.0198585991297918e-11,2.850862634826668e-11,3.706660983882496e-11,4.418287821067228e-11,5.20087923862951e-11,6.851809873522044e-11,9.90693249120677e-11,2.926957321041624e-10,1.245616276720247e-10,1.1478449722178263e-10,1.1597479551710358e-10,1.348927164964634e-10,1.4040314708553336e-10,1.127439624660702e-10,1.2646108874249069e-10,1.1785126033301117e-10,1.3058302946976286e-10,2.7297772315190183e-10
DAC,power,PL,2.5131027067989934e-10,3.5979964835412733e-11,2.5765523584482867e-11,3.2049469166992604e-11,2.5403533944774865e-11,2.3389431201292732e-11,2.2794120024898033e-11,2.3844979844628653e-11,2.6661586793803157e-11,2.8757924455061397e-11,3.0692330097296784e-11,2.5972087494081744e-11,2.9083589811491926e-11,3.1983598624235764e-11,3.282505704856638e-11,3.4190149117763793e-11,3.5248311007710954e-11,3.6359468622032215e-11,5.1584608646255496e-11,7.767810367187995e-11,2.3925109416910777e-10,1.0411547915100891e-10,1.0041740006593069e-10,9.85149331371512e-11,1.0777849029911196e-10,1.081740117022326e-10,1.0742380509148242e-10,9.920152530651071e-11,8.792741378048587e-11,8.901494484389487e-11,1.3260808956855814e-10
DAC,power,PT,2.3802687771364147e-10,3.5598243324254444e-11,2.469072656001608e-11,2.5780274983065982e-11,1.8819004200973498e-11,1.9507349779582737e-11,1.9852134781464417e-11,2.0912221029924065e-11,2.438622157944519e-11,2.7239310830661353e-11,3.223151280702126e-11,2.7033251942445212e-11,3.01132064180853e-11,3.4289855317439955e-11,4.0442818338243836e-11,4.640713760896749e-11,5.22614280467499e-11,5.970672588135466e-11,6.381640189393856e-11,7.593715589102819e-11,2.383474162681845e-10,1.2089488622529856e-10,1.0982005087982697e-10,1.0225983153696903e-10,1.1406196761748187e-10,1.267993011438983e-10,1.457144208518838e-10,1.36771125011601e-10,1.0300676800975355e-10,1.0860785692419908e-10,1.820766188292176e-10
