technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,power,AT,1.1700124615521509e-07,1.3395777412623476e-07,1.4568915241357e-07,1.5927372642410517e-07,1.700154149603287e-07,1.7926920581922313e-07,1.872831267418021e-07,1.9640942507254327e-07,2.0619216380730957e-07,2.1728657757431804e-07,2.284309752262479e-07,2.3912536627295173e-07,2.506966264350436e-07,2.627780419973976e-07,2.767189884076578e-07,2.9246789619427057e-07,3.0993650739861764e-07,3.2931283173335957e-07,3.5220536667952554e-07,3.8337553322957386e-07,3.6687664522122544e-07,3.9311146234617153e-07,4.2702629767576976e-07,4.6753365819403025e-07,5.017575179727286e-07,5.338149775379344e-07,5.69631376460847e-07,5.979515898400964e-07,6.345453720363302e-07,6.595056994542444e-07,7.00370659994026e-07
DAC,power,BE,1.1740510082055107e-07,1.3350686879100559e-07,1.4592693450534966e-07,1.6070645616047687e-07,1.7195808879841115e-07,1.814912707297817e-07,1.9003706074309192e-07,1.9756842586315386e-07,2.0487483459733438e-07,2.140601974811421e-07,2.2477455473264292e-07,2.3513623660122836e-07,2.470521956829181e-07,2.6082499538055564e-07,2.7728683337827874e-07,2.956186650403734e-07,3.1388379884497324e-07,3.337983508710615e-07,3.568556586786617e-07,3.87561900111646e-07,3.7753015608590074e-07,4.1055250832007175e-07,4.45004921085935e-07,4.772947086776268e-07,5.200198055563135e-07,5.670171821939325e-07,6.177668157297936e-07,6.621464845793854e-07,6.936170984488865e-07,7.227756720263557e-07,7.73617924628271e-07
DAC,power,BG,1.176284038574248e-07,1.33212443796817e-07,1.4527363943837544e-07,1.5936766520729544e-07,1.721238049969928e-07,1.8369584584647224e-07,1.9497347352926012e-07,2.068502011423287e-07,2.2033754038923234e-07,2.3447857549314193e-07,2.508934109108241e-07,2.649755585732378e-07,2.8124274645835473e-07,2.9792082176746264e-07,3.146838956859353e-07,3.3034855809217153e-07,3.451377654309263e-07,3.589572510116692e-07,3.8039523210369653e-07,4.083132620167865e-07,3.976399786536552e-07,4.329960587794122e-07,4.645417849833176e-07,4.975462715769727e-07,5.349964441898248e-07,5.740579240209239e-07,6.137997456241386e-07,6.492177149181761e-07,6.768708997278554e-07,7.083061300663457e-07,7.65054592071893e-07
DAC,power,CH,1.1625451687962592e-07,1.3300592313626463e-07,1.4520576892571422e-07,1.597662871406988e-07,1.707847283107653e-07,1.8063878435546586e-07,1.8987410171207256e-07,1.9798801256131394e-07,2.0728112126193425e-07,2.1767113360116924e-07,2.277798205427196e-07,2.3765485510643556e-07,2.483591987744849e-07,2.5961035538678616e-07,2.730747500746643e-07,2.8876219086689677e-07,3.070285382758364e-07,3.27246849532629e-07,3.5054016947064284e-07,3.81521419099256e-07,3.7113490741893876e-07,4.0312061984287507e-07,4.343316807843623e-07,4.6219056707422103e-07,5.001937400103247e-07,5.425714346767439e-07,5.855751222458724e-07,6.246018624301356e-07,6.634043394912418e-07,6.95568465336883e-07,7.420750655606049e-07
DAC,power,CZ,1.1610965652752674e-07,1.3248335530656838e-07,1.4442992568083338e-07,1.590220481976251e-07,1.708202425234817e-07,1.8208221855343023e-07,1.9297032144207318e-07,2.0427423088573116e-07,2.1569181749269503e-07,2.2651209651748344e-07,2.3634151323391632e-07,2.439850746583321e-07,2.533701488703946e-07,2.647048226249194e-07,2.783548930661732e-07,2.9465639525661214e-07,3.1271862596965727e-07,3.3296760841883593e-07,3.567696355503639e-07,3.8994159236973747e-07,3.891615224120416e-07,4.2564628701081405e-07,4.6092470805748437e-07,4.920416061577022e-07,5.300354842709566e-07,5.678767560146629e-07,6.034986161240702e-07,6.392803055818677e-07,6.718123299337157e-07,7.060612659485674e-07,7.662097244396088e-07
DAC,power,DE,1.1518640450802096e-07,1.330451121349665e-07,1.456394898454176e-07,1.6049141563763664e-07,1.7164804160333277e-07,1.8149500031439433e-07,1.9000885863828502e-07,1.970515954777474e-07,2.0565132056378787e-07,2.1408877328775115e-07,2.2294147940615346e-07,2.3157177388816024e-07,2.4152667818892116e-07,2.527938022104705e-07,2.659856615116669e-07,2.812938485388137e-07,2.9841340468583093e-07,3.17444241617921e-07,3.3980624859537503e-07,3.663528218109642e-07,3.5599373627780256e-07,3.835433778587149e-07,4.123027346080102e-07,4.380640188288795e-07,4.7350724669591896e-07,5.138113534308577e-07,5.580147667867073e-07,5.960865457371358e-07,6.249845909657062e-07,6.542669503603277e-07,7.006908784484204e-07
DAC,power,DK,1.0903056241449951e-07,1.3111641873732424e-07,1.4389033186819666e-07,1.5614605606205717e-07,1.6414880102056005e-07,1.7341663708592686e-07,1.8285529827673157e-07,1.9289089508896902e-07,2.0484032892770947e-07,2.1868439498981676e-07,2.3510816994026056e-07,2.4780077668178904e-07,2.615905145500395e-07,2.767056107401411e-07,2.936131636731322e-07,3.1227489519685347e-07,3.3517802568821633e-07,3.5987885473046394e-07,3.8746963218283386e-07,4.200211162443487e-07,4.22664106060901e-07,4.6006002923347564e-07,4.960341029708091e-07,5.300835843460919e-07,5.770101270408066e-07,6.287190568240928e-07,6.873289637080853e-07,7.40053236393299e-07,7.780746219779691e-07,8.162633459743226e-07,8.840730970350488e-07
DAC,power,EE,1.092875183088599e-07,1.3352254329759609e-07,1.4551289952708612e-07,1.5698750527038703e-07,1.6499551958379203e-07,1.7288230274539573e-07,1.8027143614616798e-07,1.8790642562553012e-07,1.9644114237445378e-07,2.0684721003233076e-07,2.1987838088781288e-07,2.311487554022855e-07,2.435746546400449e-07,2.577164106027821e-07,2.7346187606439594e-07,2.9093301055066886e-07,3.1010600602273837e-07,3.315819028359014e-07,3.566302023429887e-07,3.929033843433683e-07,3.9105496942680267e-07,4.1183843402063737e-07,4.4535376210085154e-07,5.038059563577632e-07,5.45825620250163e-07,5.853361602387708e-07,6.259694795546637e-07,6.661833379558039e-07,6.980318246979597e-07,7.269722100658888e-07,7.723747412553287e-07
DAC,power,EL,1.145829733283785e-07,1.3068021066805737e-07,1.4320360397935215e-07,1.573664752062641e-07,1.7070024824785173e-07,1.8214715395556327e-07,1.926488266750939e-07,2.0363827770573333e-07,2.160875650351019e-07,2.294770701366588e-07,2.440994011231226e-07,2.527290320682531e-07,2.603149279423486e-07,2.6615632906860514e-07,2.745211612390564e-07,2.8605198236025877e-07,3.0109000144470877e-07,3.2069667148897566e-07,3.4493677824659874e-07,3.7664921673619026e-07,3.676820829306134e-07,4.004424166813276e-07,4.27509475836887e-07,4.562295601278703e-07,4.905642982240407e-07,5.333313144879155e-07,5.813496517811374e-07,6.248117449366501e-07,6.568642122885913e-07,6.917671252296722e-07,7.634558918175843e-07
DAC,power,ES,1.0976489093871069e-07,1.2975616211246344e-07,1.418111961605802e-07,1.5372889685974816e-07,1.6187240330842864e-07,1.705131756476184e-07,1.7955008379344718e-07,1.8915962912148275e-07,2.0040479515116298e-07,2.1318221120711367e-07,2.2838241247361884e-07,2.4124115067202175e-07,2.555946583836891e-07,2.7167718478988026e-07,2.906275568953297e-07,3.1207945868997696e-07,3.3626278033739365e-07,3.637998571550893e-07,3.9383385348004446e-07,4.2895448526266455e-07,4.3055901355527216e-07,4.682747865904985e-07,5.080310479982636e-07,5.460373252343195e-07,5.935393796761698e-07,6.4605735312456e-07,7.054401369876847e-07,7.615595556167417e-07,7.975990366316818e-07,8.334448129924711e-07,9.06490186179138e-07
