technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
DAC,AT,8.518075731517903e-08,9.752145073275122e-08,1.0605728538237916e-07,1.1594624362214306e-07,1.2376359530674005e-07,1.3049632112357896e-07,1.3632635013955109e-07,1.4296584972792592e-07,1.5008520385822175e-07,1.581573220554605e-07,1.6626762235713352e-07,1.740510894173416e-07,1.8247128075760996e-07,1.91263559212058e-07,2.0140977483364538e-07,2.128722880703945e-07,2.2558688410152169e-07,2.396905570510387e-07,2.563544495595527e-07,2.790453011927524e-07,2.6703204130757383e-07,2.861336725858045e-07,3.1082591904182305e-07,3.403174788859313e-07,3.652342803432528e-07,3.8857370421659737e-07,4.146495671133406e-07,4.352677108633623e-07,4.6190896173633556e-07,4.800802262281584e-07,5.098251878483091e-07
DAC,BE,8.547477680103093e-08,9.719352602075345e-08,1.0623057356241993e-07,1.1698901216027513e-07,1.2517741598596923e-07,1.3211259622327532e-07,1.3833250524273344e-07,1.4381184810838768e-07,1.4912594470883906e-07,1.5580864148717797e-07,1.6360181821001148e-07,1.7114649034505443e-07,1.7981769433525152e-07,1.898413555706398e-07,2.0182284803557573e-07,2.1516583170714702e-07,2.284603289601314e-07,2.4295632219776864e-07,2.597401975097658e-07,2.8209333723386007e-07,2.747892091701012e-07,2.9883231856587706e-07,3.239158958445457e-07,3.4742476560214836e-07,3.78530748380484e-07,4.127469416628246e-07,4.496947117952154e-07,4.820046781211573e-07,5.049160721043804e-07,5.261436860966183e-07,5.631513765220585e-07
DAC,BG,8.563734876002058e-08,9.697923204504114e-08,1.0575428594293605e-07,1.160129385995685e-07,1.2529650785889728e-07,1.3371637274868208e-07,1.4192461830432172e-07,1.5056882112176452e-07,1.6038361723975056e-07,1.7067378892676883e-07,1.8261926762259642e-07,1.928701074851489e-07,2.0470971191354308e-07,2.1684866138865932e-07,2.2904944384197107e-07,2.404506091481361e-07,2.5121450198353417e-07,2.6127262535096133e-07,2.7687755126349807e-07,2.972007375223901e-07,2.8942912956742264e-07,3.1517139962986966e-07,3.381388620661159e-07,3.621680930358088e-07,3.894337589067888e-07,4.1787233435757323e-07,4.4680601926496014e-07,4.725915469569145e-07,4.927237216696715e-07,5.156088777762661e-07,5.569171176074869e-07
DAC,CH,8.463711383022231e-08,9.682795483868282e-08,1.0570571818664768e-07,1.163052640916461e-07,1.243229316524948e-07,1.3149248151334167e-07,1.3821261793655934e-07,1.441166763168698e-07,1.5087748080194036e-07,1.5843755698836077e-07,1.6578976273610373e-07,1.7298056669176645e-07,1.8076968530791304e-07,1.8895745172720869e-07,1.9875673974177276e-07,2.101745434587539e-07,2.2346996111885902e-07,2.3818672528723816e-07,2.551424650043924e-07,2.776957542993746e-07,2.7013312586216403e-07,2.9342170047378265e-07,3.161455300595777e-07,3.364286014412442e-07,3.6409689006853474e-07,3.9494979334582763e-07,4.2625824080608e-07,4.546710745064954e-07,4.829202979214166e-07,5.063360941067394e-07,5.401872839771973e-07
DAC,CZ,8.453165072703125e-08,9.644817128762189e-08,1.0514051110797506e-07,1.157631649514301e-07,1.2434963666247344e-07,1.325419808899378e-07,1.4046738469163152e-07,1.4869340549579735e-07,1.5700211926427155e-07,1.648771372844101e-07,1.7202313089927688e-07,1.7758844240077025e-07,1.8441766750078212e-07,1.926664172303495e-07,2.026008771050028e-07,2.1446563561230912e-07,2.2761237525070894e-07,2.423513265878935e-07,2.596773536823696e-07,2.838256249230212e-07,2.8325642047703307e-07,3.098204023530328e-07,3.3550542983454827e-07,3.581604903516569e-07,3.858219553522103e-07,4.1337215203503283e-07,4.3930634987621384e-07,4.653566827758373e-07,4.890408187426593e-07,5.139745612448139e-07,5.57758536153143e-07
DAC,DE,8.385949287573844e-08,9.685596191773374e-08,1.0602007494451313e-07,1.1683173004196029e-07,1.2495024652987984e-07,1.3211471793619806e-07,1.3831136119301105e-07,1.4343704409502388e-07,1.4969302176334888e-07,1.558320893122551e-07,1.6227164071419203e-07,1.6855250381265962e-07,1.7579484224509012e-07,1.839944539937662e-07,1.9359529904501817e-07,2.0473698791754237e-07,2.1719748008464866e-07,2.310502420717229e-07,2.473281887088287e-07,2.6665304355289276e-07,2.5910981685653964e-07,2.791690151215691e-07,3.0010808696876227e-07,3.188641406083632e-07,3.446686799797765e-07,3.740119350190295e-07,4.0619382408557935e-07,4.3391142121697857e-07,4.5494989053112196e-07,4.762676501930576e-07,5.10059593121959e-07
DAC,DK,7.937783726377003e-08,9.545404366201115e-08,1.0474843730539874e-07,1.1366908778221993e-07,1.1948959339325093e-07,1.2623158134056932e-07,1.3310118895653166e-07,1.4040289627483613e-07,1.4910105629715056e-07,1.591751420881629e-07,1.7112518692731992e-07,1.8036637726237516e-07,1.9040247729751923e-07,2.0140350778424092e-07,2.1370958508537044e-07,2.2729281171178007e-07,2.4396396627576953e-07,2.6194480381824667e-07,2.8202922507011827e-07,3.0572590471373234e-07,3.0765012889347314e-07,3.34877836702441e-07,3.6106949022774497e-07,3.858596476774745e-07,4.2002453256812967e-07,4.5767094319140533e-07,5.003412604442651e-07,5.387263405222106e-07,5.664068487512876e-07,5.942085558558023e-07,6.435679619736696e-07
DAC,EE,7.95649096104114e-08,9.720774261784155e-08,1.0593164304178024e-07,1.1428342455836836e-07,1.201087749528771e-07,1.2584545576569222e-07,1.3122264310569337e-07,1.3677740194362925e-07,1.4298648451466713e-07,1.505590277340062e-07,1.6004046147926667e-07,1.6824336237274222e-07,1.7728639257982953e-07,1.875786704545666e-07,1.9903862263208636e-07,2.1175496215726075e-07,2.257102775941689e-07,2.4134176559530806e-07,2.5957485428476736e-07,2.859807044912227e-07,2.8463507479860454e-07,2.9976816135568416e-07,3.241696198565127e-07,3.66725664678581e-07,3.973181759245858e-07,4.260837222205163e-07,4.5566648984761944e-07,4.849436156584943e-07,5.081301245191511e-07,5.2919882243129e-07,5.622436215095079e-07
DAC,EL,8.342017512008523e-08,9.513449822601673e-08,1.0424563696670627e-07,1.1455439281819366e-07,1.2426015591638044e-07,1.325881744115915e-07,1.4023231162353968e-07,1.482317774708271e-07,1.5729170168828519e-07,1.6703487274483863e-07,1.7766152848593116e-07,1.839540495527934e-07,1.894734272340152e-07,1.9372283978332023e-07,1.9980943530988116e-07,2.0820105282951075e-07,2.1914612206101087e-07,2.334175031715035e-07,2.510625301897199e-07,2.7414815509590793e-07,2.6761963683708355e-07,2.9147213246047195e-07,3.1117899604889807e-07,3.3208910045310336e-07,3.570867135178408e-07,3.882231185541606e-07,4.2318244634926915e-07,4.5482439237611126e-07,4.7815939531482e-07,5.035690779292425e-07,5.557526046219766e-07
DAC,ES,7.991245259365692e-08,9.446323466149768e-08,1.0323405141912864e-07,1.1190979925046568e-07,1.178325786161433e-07,1.241176548746765e-07,1.3069403228370638e-07,1.3768698286281047e-07,1.458712379147074e-07,1.5516930630300428e-07,1.6622791265325113e-07,1.7559032564684734e-07,1.860366875804675e-07,1.9774261297479783e-07,2.1153601068959756e-07,2.271505835215315e-07,2.4475377249488047e-07,2.647989979695203e-07,2.8666214418840013e-07,3.122290548533254e-07,3.133969816496846e-07,3.4085738746170516e-07,3.6980244322546716e-07,3.9747316896115256e-07,4.3205696808655123e-07,4.70292338496771e-07,5.135253044662033e-07,5.543821232639152e-07,5.806197021239204e-07,6.067157479583551e-07,6.598875214926928e-07
