year,value
0,383721.18712273863
1,385008.77405361336
2,386351.79357226007
3,340282.1659737065
4,336340.9860521439
5,336405.8994097873
6,336354.510304388
7,334037.35394724185
8,334818.5231871852
9,335010.547922819
10,334672.63668156066
11,335150.0482024863
12,336026.0349472709
13,337831.85959636566
14,338721.09261321335
15,338829.97405111475
16,339197.8081316148
17,345615.1460225199
18,347158.0968909421
19,344160.48817045306
20,343437.557171913
21,353961.55688586616
22,353255.08857765404
23,352114.55955334625
24,351003.68117756763
25,345834.001252363
26,346471.3350543473
27,348414.0104803953
28,347648.8424510005
29,346517.34652880597
30,343805.8359329042
