technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,AT,9.407377366832908e-10,1.0347962004103662e-09,1.1089279865714066e-09,1.2200821062655702e-09,1.3010077179410499e-09,1.3657000442286057e-09,1.4177917094608516e-09,1.4813942124331614e-09,1.5537837761968987e-09,1.632197356956121e-09,1.7139318494639343e-09,1.8026605086428213e-09,1.894856733022342e-09,1.9921697320085802e-09,2.10477781698449e-09,2.2270034182794927e-09,2.362046590868399e-09,2.527236428835381e-09,2.703417964257562e-09,2.950890934626199e-09,3.0467847220994655e-09
DAC,power,BE,9.393017678998534e-10,1.0376290718591836e-09,1.1196822331961783e-09,1.2386126522523513e-09,1.3236782982261618e-09,1.394937997695717e-09,1.4570873176661774e-09,1.5055947945392982e-09,1.5593683753723161e-09,1.6181222947365576e-09,1.6904617405257344e-09,1.780943572826232e-09,1.8832245448864508e-09,1.9989324939115592e-09,2.136254784602694e-09,2.2903083547583983e-09,2.4400940853716364e-09,2.5992817006811752e-09,2.7797758692274386e-09,3.026038658695775e-09,3.0471455181174123e-09
DAC,power,BG,9.503347357127458e-10,1.0407425910045867e-09,1.1145394110502402e-09,1.2212966060721958e-09,1.3208187774737122e-09,1.4100910196710576e-09,1.4985232863120654e-09,1.5902962600893184e-09,1.687913776872831e-09,1.7883198387732552e-09,1.8970617430730086e-09,2.015428903758854e-09,2.1468459584719766e-09,2.2781599476678084e-09,2.4118954621325402e-09,2.556600781604708e-09,2.710740293890579e-09,2.873052741076639e-09,3.0162718524792184e-09,3.17161711543234e-09,3.320168829241572e-09
DAC,power,CH,9.34792735576147e-10,1.029391536508407e-09,1.1078406570398447e-09,1.225817581131426e-09,1.3117143869855164e-09,1.3844084327209052e-09,1.446725472584851e-09,1.4968208463257202e-09,1.5590559503746478e-09,1.6300713772471207e-09,1.7062622225172055e-09,1.7918671394579432e-09,1.882427732120554e-09,1.981119208802573e-09,2.094006143674106e-09,2.214058782396262e-09,2.34736855264681e-09,2.5100321760777263e-09,2.6817040190008027e-09,2.9236075765292895e-09,3.004199021467509e-09
DAC,power,CZ,9.433393973916902e-10,1.037832244738311e-09,1.1139286497519479e-09,1.2305383096300516e-09,1.3210331799193537e-09,1.4037476216120087e-09,1.4856718497611531e-09,1.5663593731366702e-09,1.6457789683281286e-09,1.7209698694705272e-09,1.7883315475299277e-09,1.844412898127294e-09,1.9170789806896905e-09,2.0105837010306764e-09,2.1264625659814927e-09,2.2610376050052152e-09,2.4077839968269953e-09,2.5738186946704585e-09,2.796128903686078e-09,3.0656589235252706e-09,3.1981078225371383e-09
DAC,power,DE,9.413009444251525e-10,1.0373883618784083e-09,1.1164335426374423e-09,1.2318563755907182e-09,1.3154407882490528e-09,1.3846250747346852e-09,1.4426262914617984e-09,1.4873200288629506e-09,1.5429887646946565e-09,1.606832374985652e-09,1.6775540381634947e-09,1.7543807746170287e-09,1.833514060214101e-09,1.9302889204363507e-09,2.0430721135062418e-09,2.172626903399546e-09,2.3175149483506355e-09,2.46111231885022e-09,2.6227836947936812e-09,2.8637135062214877e-09,2.8984079228124595e-09
DAC,power,DK,8.616244371705095e-10,1.0284157697654428e-09,1.115370198440195e-09,1.2049403205414192e-09,1.2549285048719264e-09,1.3182978147360202e-09,1.3908450453311727e-09,1.4680426177009587e-09,1.554910715181898e-09,1.6523795621402028e-09,1.75902301008845e-09,1.8816280961025752e-09,2.0084364477431567e-09,2.1480812165230137e-09,2.3047275375617507e-09,2.4898864811472288e-09,2.6879924236598225e-09,2.8773471618199826e-09,3.082457338091526e-09,3.3944087246897672e-09,3.4585849237515952e-09
DAC,power,EE,8.416728568103564e-10,1.0224499302939285e-09,1.1012969097715259e-09,1.1872733653599993e-09,1.2360389912839308e-09,1.293613177699585e-09,1.3562626315053795e-09,1.4211358548350622e-09,1.4879794766029365e-09,1.5598600280141058e-09,1.6372356484805741e-09,1.729389235838565e-09,1.8351922814958064e-09,1.9548670099362947e-09,2.0872190171979306e-09,2.22740444417684e-09,2.376344982434558e-09,2.54722556491019e-09,2.7598467492607846e-09,3.0383735064227605e-09,3.0953194205890935e-09
DAC,power,EL,9.518483537303166e-10,1.0443917784634814e-09,1.1218850667795781e-09,1.2351066336743478e-09,1.347594555912084e-09,1.4404116343045003e-09,1.5309402338552532e-09,1.6252598093553376e-09,1.7241296966767889e-09,1.8224058618321681e-09,1.9133981135896666e-09,1.9875400791353418e-09,2.04191747661493e-09,2.0810702579142186e-09,2.1411696705276725e-09,2.2324438763366045e-09,2.3672954200262346e-09,2.55296992646252e-09,2.7054606282812184e-09,2.8990204477743125e-09,3.0001077387386788e-09
DAC,power,ES,8.717645604570884e-10,1.0012813984452982e-09,1.0798097270642246e-09,1.1650852466461938e-09,1.2161738260020935e-09,1.2763637834800769e-09,1.3457259038222252e-09,1.423280663508011e-09,1.5107181338818706e-09,1.6092197367099311e-09,1.7220637643822647e-09,1.8399115786869911e-09,1.9684479033906922e-09,2.112478627635723e-09,2.2732344464492265e-09,2.446786622801034e-09,2.6325605143837883e-09,2.8569877215368088e-09,3.0637549927953808e-09,3.3291262378462238e-09,3.3981048491501377e-09
DAC,power,FI,8.757741047219517e-10,1.0514143726591098e-09,1.1402885081278986e-09,1.2405217871439185e-09,1.3024805192466145e-09,1.3691380390328131e-09,1.4325728299809663e-09,1.4918225859861254e-09,1.56302246359451e-09,1.6508659024212774e-09,1.7554801116197322e-09,1.8792510108252056e-09,2.014305301259708e-09,2.164333327140727e-09,2.329317037983149e-09,2.507971996706237e-09,2.683099135440383e-09,2.8916388339736194e-09,3.1616223828090267e-09,3.485536734718873e-09,3.469591401339653e-09
DAC,power,FR,9.464781992706625e-10,1.0427860116478437e-09,1.1236634888571446e-09,1.2485739164721018e-09,1.3408507557822903e-09,1.4244682490196431e-09,1.5068118662164518e-09,1.5831016399717256e-09,1.6497371866379674e-09,1.7022500854139839e-09,1.7796301626646931e-09,1.8769432738921567e-09,1.9933685201456087e-09,2.1305969370380057e-09,2.2867039558964854e-09,2.4532840187938604e-09,2.6220986728232935e-09,2.7995529692399704e-09,3.0039781503764094e-09,3.2754278248493885e-09,3.3168156201028256e-09
DAC,power,HR,9.39696008968988e-10,1.035806285396273e-09,1.111476982946916e-09,1.229338590171069e-09,1.3209580659132898e-09,1.4043351970244074e-09,1.4874413991930237e-09,1.5727423038607799e-09,1.6596223683516723e-09,1.7406061975724622e-09,1.8126602767312745e-09,1.8727227728205972e-09,1.954631702220025e-09,2.0541156240737126e-09,2.166268182304476e-09,2.2854166608968244e-09,2.4161806860996935e-09,2.5773539384188796e-09,2.7728924985698096e-09,3.064347588691647e-09,3.1666661050120343e-09
DAC,power,HU,9.533596236591925e-10,1.0467059317316928e-09,1.1206148696591028e-09,1.233034044618743e-09,1.3225498149666558e-09,1.4029217066845016e-09,1.4801411782543469e-09,1.5518522067761884e-09,1.614810717033417e-09,1.6639810241244165e-09,1.7380805215872042e-09,1.8287798188424232e-09,1.936898802268925e-09,2.055459511486992e-09,2.1879516425017986e-09,2.337287615270348e-09,2.513426039565824e-09,2.710946063096567e-09,2.9265889685682294e-09,3.217690743259512e-09,3.3305801515980777e-09
DAC,power,IE,8.283121695909668e-10,1.0425510457277633e-09,1.1426684500809478e-09,1.2744690752599262e-09,1.3392908112784493e-09,1.3773074221880654e-09,1.4319239622706865e-09,1.5038157128322507e-09,1.5916306145584e-09,1.6929561806779732e-09,1.8077376153410094e-09,1.9367101248977775e-09,2.0693784018778568e-09,2.2194427698600663e-09,2.3890896110338275e-09,2.5754376315599737e-09,2.7895870144501814e-09,3.044478121829845e-09,3.3569120002402893e-09,3.651317633218299e-09,3.7039620140207783e-09
DAC,power,IT,9.392715219332455e-10,1.0334118846751195e-09,1.1118447875272329e-09,1.2282606432592513e-09,1.3156956953608456e-09,1.3805056901445157e-09,1.4296274883611812e-09,1.4651309034083747e-09,1.511908500406876e-09,1.5770889735700083e-09,1.6623542953291527e-09,1.7598742925203336e-09,1.8678310514390917e-09,1.9830658365565012e-09,2.103358470032171e-09,2.2291422318069643e-09,2.363355543646417e-09,2.5221681405553436e-09,2.7127570157194177e-09,2.9994255443385878e-09,3.102150403916077e-09
DAC,power,LT,9.515693184641234e-10,1.0449743780180592e-09,1.1192684476357614e-09,1.2309703126954204e-09,1.315414772671856e-09,1.3899053600408553e-09,1.4591960216470567e-09,1.519769899242184e-09,1.568953750970542e-09,1.6368232045785238e-09,1.7330941562424164e-09,1.8382979214512296e-09,1.9603891986119788e-09,2.1021665142398507e-09,2.261704238199338e-09,2.4337667243648516e-09,2.6213419641233543e-09,2.838873852816429e-09,3.104173763139198e-09,3.451445893737822e-09,3.5444093379539374e-09
DAC,power,LU,7.964379264225402e-10,1.023930354788294e-09,1.1197710928189513e-09,1.259662759936084e-09,1.344776840002503e-09,1.4250932655285745e-09,1.5051821152378026e-09,1.577683242314587e-09,1.6392940591942183e-09,1.6870170880533658e-09,1.7516686805314585e-09,1.828210870103619e-09,1.915562759112778e-09,2.021698811123376e-09,2.1511187848015165e-09,2.2929007028043772e-09,2.4478133375580467e-09,2.617720236048182e-09,2.8143786542630034e-09,3.0920162873651527e-09,3.1764791625678686e-09
DAC,power,LV,9.497774420801222e-10,1.0450932765320694e-09,1.1205502943580288e-09,1.2329260559006799e-09,1.3179289247486693e-09,1.396020436492297e-09,1.4725518280088604e-09,1.545328940630646e-09,1.612045185744159e-09,1.6652406839204213e-09,1.7376945061970293e-09,1.8200149133031604e-09,1.9193611571416138e-09,2.0425136034259386e-09,2.1861644392357295e-09,2.343860750726771e-09,2.515364261520222e-09,2.719532394773757e-09,2.9782136352456176e-09,3.3125631794097505e-09,3.377367161652213e-09
DAC,power,NL,7.928804264266367e-10,1.0142577312112211e-09,1.1040446594748505e-09,1.2010795848401474e-09,1.25383079516152e-09,1.316917809753587e-09,1.3858691614227485e-09,1.4542035691452228e-09,1.5188432959047395e-09,1.5893570133900414e-09,1.6738516170870665e-09,1.7673701108570966e-09,1.8707923879079502e-09,1.9881206245914585e-09,2.116925597400918e-09,2.26350935970246e-09,2.4224291993220507e-09,2.5923759344267596e-09,2.776631064351288e-09,2.9856715869189e-09,3.114892620805877e-09
DAC,power,NO,9.786770289845735e-10,1.0772940373841684e-09,1.1634984285735399e-09,1.2798212933740782e-09,1.3733741392331904e-09,1.4636060868778126e-09,1.555703401759684e-09,1.6527736648275733e-09,1.7585796734432203e-09,1.874731497208918e-09,1.997847474592583e-09,2.114424781165139e-09,2.2184159408029277e-09,2.2986623965629e-09,2.423319830249152e-09,2.5912032789715097e-09,2.779775615109674e-09,3.030017549204586e-09,3.378901718314092e-09,3.772329937918689e-09,3.734001038229918e-09
DAC,power,PL,9.431157112756528e-10,1.0382514625946936e-09,1.1157339906687617e-09,1.2341050456819613e-09,1.3253962963225798e-09,1.408029232259177e-09,1.4911261151001823e-09,1.5750148371038717e-09,1.662653554565435e-09,1.7551048191334884e-09,1.853081197143438e-09,1.9554451017404116e-09,2.064572777046012e-09,2.1806066871372072e-09,2.303199530584854e-09,2.4318055791380884e-09,2.569745280634894e-09,2.7394021475648453e-09,2.941118325336487e-09,3.215109885291015e-09,3.2883267070222375e-09
DAC,power,PT,8.891187565742182e-10,9.926875693134704e-10,1.0684898812015307e-09,1.1575428212929553e-09,1.2152711848928579e-09,1.2796217940891703e-09,1.3518486057948541e-09,1.4315252791592881e-09,1.520951919704022e-09,1.6212466505041405e-09,1.735077305781581e-09,1.853540265446013e-09,1.9824053728723018e-09,2.125930134187741e-09,2.281467978699066e-09,2.4463889297756987e-09,2.624454241999717e-09,2.85564113251533e-09,3.0659653946539363e-09,3.3441781979951857e-09,3.4500810242028966e-09
DAC,power,RO,8.301235330047277e-10,1.0156417795344033e-09,1.0924544040376582e-09,1.1688255795806026e-09,1.2147732034935945e-09,1.2709854442966246e-09,1.330577537099369e-09,1.3913990488156247e-09,1.459612692201608e-09,1.5429944549244213e-09,1.643094485134411e-09,1.743523732488711e-09,1.8562584224791765e-09,1.9768418410202846e-09,2.1057647226902576e-09,2.246874500354929e-09,2.4041981900017677e-09,2.584670132963474e-09,2.7864917192581226e-09,3.0459853373564495e-09,3.1861842157411564e-09
