technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,AT,9.407377366832908e-10,9.404643064196882e-11,7.419903749984305e-11,1.1122039694394021e-10,8.101267647975265e-11,6.476799797944948e-11,5.2178300665237824e-11,6.368454687262778e-11,7.246658562609784e-11,7.84927162036791e-11,8.182552594450395e-11,8.880264909996101e-11,9.227432833917287e-11,9.739474352468728e-11,1.1268775063846838e-10,1.2231590312385098e-10,1.3517735791949993e-10,1.6545195668182955e-10,1.7631073361759904e-10,2.475613701652287e-10,1.0370164377299873e-09
DAC,power,BE,9.393017678998534e-10,9.833694997721432e-11,8.212431255334975e-11,1.1901024141413768e-10,8.515935130006813e-11,7.13456205509712e-11,6.223166461135159e-11,4.8599355497289586e-11,5.3862950737479705e-11,5.88447675783755e-11,7.241854857682017e-11,9.057129761832008e-11,1.0236531120121358e-10,1.1579273356333077e-10,1.3740783034617283e-10,1.5414009812784985e-10,1.4987668703551255e-10,1.5927995378232988e-10,1.805847122786399e-10,2.46349740093253e-10,9.6073279277198e-10
DAC,power,BG,9.503347357127458e-10,9.039887882676696e-11,7.383740889136665e-11,1.0681003038306814e-10,9.95999376466183e-11,8.934024128727816e-11,8.850462031299152e-11,9.184824988423562e-11,9.770332107983502e-11,1.0053954985677193e-10,1.0896682638922144e-10,1.1841052354156487e-10,1.3144918304532905e-10,1.313769073726424e-10,1.338091915376603e-10,1.447912476117846e-10,1.5427641053596963e-10,1.6258454536427543e-10,1.4335289943009013e-10,1.5542240301397898e-10,1.0991491151991873e-09
DAC,power,CH,9.34792735576147e-10,9.459115721962378e-11,7.849062727099097e-11,1.1803256793685568e-10,8.597101140923251e-11,7.276387054784913e-11,6.238727036848685e-11,5.017986124432219e-11,6.232290735589374e-11,7.11431226254773e-11,7.640145229923776e-11,8.564770636037627e-11,9.059314220678978e-11,9.876121896011739e-11,1.1296166087515752e-10,1.2013982598978215e-10,1.3344842462021254e-10,1.6292897492353903e-10,1.7180045089691055e-10,2.419844795572486e-10,1.0156456410312983e-09
DAC,power,CZ,9.433393973916902e-10,9.449883301927527e-11,7.614248013817932e-11,1.1666667626192195e-10,9.057202959354855e-11,8.278555736477179e-11,8.199869185075904e-11,8.07675748388842e-11,7.950617457328985e-11,7.532219291041808e-11,6.75633601779475e-11,5.613864823914711e-11,7.270489427998576e-11,9.357125578909939e-11,1.1595162809715475e-10,1.3465162965219086e-10,1.468372451021303e-10,1.6616743323938327e-10,2.225910265489118e-10,2.69649242317266e-10,1.076077020510226e-09
DAC,power,DE,9.413009444251525e-10,9.608375514756311e-11,7.911704312762203e-11,1.1549953461895766e-10,8.36815175467102e-11,6.92687952519873e-11,5.808970745011349e-11,4.478873506938073e-11,5.5756261285557614e-11,6.393619914825822e-11,7.081603473136223e-11,7.69063453261142e-11,7.92117610007771e-11,9.685889301705642e-11,1.1286838605777472e-10,1.296427060073079e-10,1.4499357545503535e-10,1.4369786809093627e-10,1.6176476261136905e-10,2.4101746908516e-10,9.763034324131685e-10
DAC,power,DK,8.616244371705095e-10,1.667809429709507e-10,8.70264237998173e-11,8.965398955110756e-11,5.008774014194939e-11,6.344715209039318e-11,7.263578879759458e-11,7.728340605214899e-11,8.695875497510519e-11,9.756578950463894e-11,1.0672180698001742e-10,1.2269354731645883e-10,1.2688831186099565e-10,1.397294990807095e-10,1.5673112069262222e-10,1.8524462201995996e-10,1.982027605607827e-10,1.8945219872755396e-10,2.052006422209838e-10,3.1203002242405717e-10,9.260947972474588e-10
DAC,power,EE,8.416728568103564e-10,1.8079486051307528e-10,7.886446611828314e-11,8.600969403886844e-11,4.8804148422584085e-11,5.761509138625609e-11,6.269271947507355e-11,6.491804287148125e-11,6.689321345523461e-11,7.194127101623316e-11,7.74027757005155e-11,9.221649944463615e-11,1.0583839440416218e-10,1.1971422438548698e-10,1.3239451354323464e-10,1.4023326456407898e-10,1.4899006408739065e-10,1.7092707611759687e-10,2.1267236121087244e-10,2.785661259619139e-10,8.990280365376849e-10
DAC,power,EL,9.518483537303166e-10,9.250615765657824e-11,7.753501588866322e-11,1.1328104002759289e-10,1.1256386933860615e-10,9.288880815363603e-11,9.060199097930789e-11,9.439662278882503e-11,9.895638543361208e-11,9.840502607759016e-11,9.124040272666041e-11,7.414541853659365e-11,5.439849930458233e-11,3.923641089856058e-11,6.017453167753202e-11,9.13602446452734e-11,1.3498926468084032e-10,1.8596635116434722e-10,1.526165793946791e-10,1.9364567760623597e-10,1.0531679771293178e-09
DAC,power,ES,8.717645604570884e-10,1.2950653238043586e-10,7.856936081207712e-11,8.533447404650863e-11,5.1168293256461145e-11,6.026313573421307e-11,6.943645629037894e-11,7.763257082084175e-11,8.752422066988315e-11,9.862674929558453e-11,1.1305766596796904e-10,1.178758296665955e-10,1.2857799115070786e-10,1.4409843011379763e-10,1.608360987007905e-10,1.7364256942072806e-10,1.859148411035533e-10,2.2469813733220557e-10,2.0689274750661363e-10,2.6546332746804014e-10,9.412019352710183e-10
DAC,power,FI,8.757741047219517e-10,1.7564296892132112e-10,8.89470454815634e-11,1.0031024808475792e-10,6.205487960860041e-11,6.673998343644724e-11,6.351787328780268e-11,5.934668030413729e-11,7.128452751305696e-11,8.793588310282287e-11,1.0469865923714997e-10,1.2385387367185238e-10,1.351362792441609e-10,1.5011264634038552e-10,1.65069171002816e-10,1.7874016096024586e-10,1.7522326627966147e-10,2.0863924922508372e-10,2.700769799325204e-10,3.2400354803067074e-10,8.602323713140066e-10
DAC,power,FR,9.464781992706625e-10,9.629958111614708e-11,8.094701692096563e-11,1.249910469659786e-10,9.237074294906317e-11,8.37027416266353e-11,8.242708521963921e-11,7.637699212385865e-11,6.671617534297901e-11,5.261229122795627e-11,7.750011589388422e-11,9.737991060601368e-11,1.165108217512499e-10,1.3731493751013752e-10,1.561918864879968e-10,1.666652461742986e-10,1.6891028076722371e-10,1.775500601709843e-10,2.045230918791781e-10,2.715395484726194e-10,9.882743092313804e-10
DAC,power,HR,9.39696008968988e-10,9.607863947092737e-11,7.57148387460807e-11,1.1791516361969484e-10,9.170076315001479e-11,8.344810311203125e-11,8.318021320744394e-11,8.53794860091398e-11,8.696638553405626e-11,8.111059149600295e-11,7.228730813022686e-11,6.007935270209533e-11,8.194782596690042e-11,9.954940307042168e-11,1.1222861277139104e-10,1.19236219972809e-10,1.3090181124840105e-10,1.6145096917021082e-10,1.9566297709289621e-10,2.915401828358744e-10,1.0422363876067954e-09
DAC,power,HU,9.533596236591925e-10,9.334471169730758e-11,7.39525065516382e-11,1.1246992355667158e-10,8.959284993466396e-11,8.04402941535904e-11,7.729275094705714e-11,7.178329033525117e-11,6.30436448643343e-11,4.930917695073932e-11,7.43073019960712e-11,9.07504307647694e-11,1.0815140833179416e-10,1.1862965141285654e-10,1.3257397146237335e-10,1.4945535237438127e-10,1.7634754664910712e-10,1.9766571616226904e-10,2.1574274260579416e-10,2.911787040880872e-10,1.0664990963715866e-09
DAC,power,IE,8.283121695909668e-10,2.1421321020311105e-10,1.00164041293194e-10,1.318650018924032e-10,6.489452702484735e-11,3.809962056827293e-11,5.46920511303968e-11,7.19671180453359e-11,8.790954223532887e-11,1.0145329536236525e-10,1.1499748652228502e-10,1.289918867350976e-10,1.327154699109467e-10,1.5013383120812197e-10,1.697227575562383e-10,1.8642518550135906e-10,2.1423558520631705e-10,2.550268228382287e-10,3.1271554290987107e-10,2.945246031409012e-10,8.81252209095998e-10
DAC,power,IT,9.392715219332455e-10,9.413174087422752e-11,7.850280016010213e-11,1.1648984485397303e-10,8.752355354067808e-11,6.489238662709241e-11,4.920384123921e-11,3.5591322057679786e-11,4.6858782640905654e-11,6.526884590489484e-11,8.536471245234887e-11,9.75917892972546e-11,1.0803507855045332e-10,1.1531606198415973e-10,1.2037393083586118e-10,1.2586619865002664e-10,1.3430625588106865e-10,1.5890736389577897e-10,1.907081461954568e-10,2.8700598801487096e-10,1.0423754264639472e-09
DAC,power,LT,9.515693184641234e-10,9.339809575821979e-11,7.432754438360892e-11,1.1174871378351411e-10,8.450881409337525e-11,7.456230476357152e-11,6.935156966228179e-11,6.064900610859877e-11,4.9289405249485315e-11,6.801643810583251e-11,9.651736279521526e-11,1.0530351643687666e-10,1.2215255236210047e-10,1.4184754873240902e-10,1.5961136058401215e-10,1.7214486608405423e-10,1.8767764784362492e-10,2.1764302393723154e-10,2.653932142025737e-10,3.4735289370598995e-10,1.044746724004683e-09
DAC,power,LU,7.964379264225402e-10,2.2754997847272486e-10,9.590704606121638e-11,1.3996883966802547e-10,8.520212205388396e-11,8.039358112260649e-11,8.016165245227738e-11,7.25880547228062e-11,6.168136214375968e-11,4.782619610294855e-11,6.47423368878594e-11,7.663512913331771e-11,8.742444618240593e-11,1.0622139859424181e-10,1.2951491876405986e-10,1.4187417267667104e-10,1.55007001311557e-10,1.7000803011300792e-10,1.967387116160134e-10,2.7772310045177664e-10,8.811751621346988e-10
