technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,power,AT,4.4042693442048735e-07,4.844568266270716e-07,5.191947279025345e-07,5.712649878282724e-07,6.091928431272124e-07,6.39515397104065e-07,6.63943809093025e-07,6.937591217517453e-07,7.276859378139429e-07,7.644340186274187e-07,8.02742427170845e-07,8.443173284280285e-07,8.875175722062935e-07,9.331150502775798e-07,9.858722839093687e-07,1.0431371475828957e-06,1.1064233824494255e-06,1.1838833324798788e-06,1.2664270562879613e-06,1.3823283230184935e-06,1.4274033014088405e-06
DAC,power,BE,4.397546542465862e-07,4.857932468637188e-07,5.242415388890643e-07,5.799587847768169e-07,6.198279965324343e-07,6.532300082922435e-07,6.823651223627114e-07,7.051179729413937e-07,7.303350906853761e-07,7.578845548778124e-07,7.917888813453792e-07,8.341918140662036e-07,8.821163720437559e-07,9.363272713016807e-07,1.0006577505892457e-06,1.0728218067788797e-06,1.1429898538744248e-06,1.217560245837563e-06,1.302104926178013e-06,1.417438941806093e-06,1.4274723445472196e-06
DAC,power,BG,4.4491997929086896e-07,4.872421903856344e-07,5.218107873234278e-07,5.718162377402755e-07,6.184461256416895e-07,6.602727124322537e-07,7.017080849983943e-07,7.447088508346005e-07,7.90450796233331e-07,8.375205841293183e-07,8.88535785740489e-07,9.439722605973423e-07,1.0055130689047084e-06,1.0670200397760777e-06,1.1296657376450644e-06,1.1974529251149817e-06,1.2696807989380436e-06,1.3457983076832504e-06,1.4129121010119629e-06,1.4856764962631309e-06,1.5553472008592682e-06
DAC,power,CH,4.376436522041524e-07,4.819285700649002e-07,5.186756728988771e-07,5.739351995778929e-07,6.141844077551814e-07,6.482504042516601e-07,6.774583685586189e-07,7.009511674500517e-07,7.301289988057949e-07,7.634362067355097e-07,7.99205216640504e-07,8.393030624922495e-07,8.817162222346532e-07,9.279534456499595e-07,9.808389163462856e-07,1.0370850019440022e-06,1.0995617988948091e-06,1.1758405598668536e-06,1.2562726962318238e-06,1.3695630197224996e-06,1.4074160747239385e-06
DAC,power,CZ,4.416449587491833e-07,4.858866530174814e-07,5.215344194445671e-07,5.76154474079799e-07,6.185577494908265e-07,6.573156177283721e-07,6.957050976759362e-07,7.335182032841817e-07,7.70740756785937e-07,8.060044878172057e-07,8.376357517093425e-07,8.639182869817651e-07,8.979566724493187e-07,9.41764101161985e-07,9.960493903690947e-07,1.0590894940557214e-06,1.1278345599729117e-06,1.205629475992934e-06,1.3098403305485128e-06,1.4360825174318724e-06,1.4982265371227077e-06
DAC,power,DE,4.4069061243564234e-07,4.856743226421106e-07,5.227146957517981e-07,5.76788327515064e-07,6.15965659096012e-07,6.483953596960889e-07,6.755913259850969e-07,6.965601513165078e-07,7.226636637782526e-07,7.525967929505175e-07,7.857508675329948e-07,8.21756254144659e-07,8.588409714970422e-07,9.04187579440363e-07,9.57029381492096e-07,1.0177244480874714e-06,1.0856063597597633e-06,1.152881657707503e-06,1.228615367237823e-06,1.341452963638719e-06,1.357840143487593e-06
DAC,power,DK,4.0338831396591686e-07,4.814704579770945e-07,5.222137805346283e-07,5.641872554329294e-07,5.876369258166694e-07,6.17341096919024e-07,6.51347129144463e-07,6.875290449769528e-07,7.282406868950676e-07,7.739182438806541e-07,8.23882390582944e-07,8.813240566399264e-07,9.407295934091432e-07,1.0061470126626727e-06,1.0795241127015311e-06,1.1662504316454048e-06,1.259043386390933e-06,1.3477395743412291e-06,1.4438087403482576e-06,1.5898924158133246e-06,1.6200756241002426e-06
DAC,power,EE,3.940475455113135e-07,4.786906113412119e-07,5.15612735003056e-07,5.558800532989478e-07,5.78728782162046e-07,6.057025465664262e-07,6.350535135492527e-07,6.654463143220466e-07,6.967638343776314e-07,7.304447129227003e-07,7.666825142652987e-07,8.098556841825409e-07,8.594062419774865e-07,9.154530728811956e-07,9.774364583245386e-07,1.0430897264005992e-06,1.1128426815828494e-06,1.1928659284543363e-06,1.2924331430260682e-06,1.4228499638961992e-06,1.4497020449762077e-06
DAC,power,EL,4.4562861265101533e-07,4.889373923916343e-07,5.252371048688687e-07,5.782720998965146e-07,6.309713357899302e-07,6.744592617248624e-07,7.168765642135402e-07,7.610704065283042e-07,8.073990013941978e-07,8.534694653257539e-07,8.961856542285939e-07,9.308984526143886e-07,9.56366299126278e-07,9.747356825323712e-07,1.0029077048543015e-06,1.0456800003708891e-06,1.108878175276329e-06,1.1959423874949694e-06,1.2673931750880351e-06,1.3580526318379936e-06,1.4054876282139107e-06
DAC,power,ES,4.081356343290812e-07,4.6876694826450317e-07,5.055509119267264e-07,5.455021112239874e-07,5.694576661674143e-07,5.9767117041522e-07,6.301793651952169e-07,6.665247501463423e-07,7.07501127189625e-07,7.536753956921929e-07,8.066058132712334e-07,8.61791959502984e-07,9.219885565653125e-07,9.89451386379687e-07,1.0647503216011919e-06,1.1460448860187928e-06,1.2330849826765464e-06,1.338282327203328e-06,1.435143689286485e-06,1.5594261486359096e-06,1.5919347734427841e-06
