technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,AT,3.206453012147479e-07,3.527046130266626e-07,3.779720260114959e-07,4.1585829845577243e-07,4.434413496291599e-07,4.654913744553029e-07,4.832465330269788e-07,5.049250975496157e-07,5.295986835797274e-07,5.563255227841511e-07,5.841842765556344e-07,6.14426953700809e-07,6.458515314383409e-07,6.790201337547138e-07,7.174019822958576e-07,7.590619085592216e-07,8.050906337429577e-07,8.61394684582124e-07,9.214451952516462e-07,1.005795000762929e-06,1.0384798726140304e-06
DAC,BE,3.201558591256875e-07,3.5367018173257125e-07,3.816375520278064e-07,4.221743334864853e-07,4.5116849265826977e-07,4.754569706366761e-07,4.966402256982608e-07,5.131737333132376e-07,5.315021635985886e-07,5.515281149742764e-07,5.761846185674638e-07,6.070248551617175e-07,6.418867638701029e-07,6.813251840815663e-07,7.281307341782367e-07,7.806390491735912e-07,8.316926944536061e-07,8.859509205991239e-07,9.474713686307586e-07,1.0314086906153688e-06,1.038602847959167e-06
DAC,BG,3.239163857312535e-07,3.547314076675863e-07,3.7988464928799275e-07,4.162722540579934e-07,4.501938406832871e-07,4.806217951208378e-07,5.10763448494051e-07,5.420437635837042e-07,5.753161591221673e-07,6.095390149792688e-07,6.466030970280984e-07,6.869478949585602e-07,7.317406777396665e-07,7.764983312041227e-07,8.220813482837169e-07,8.714033632728427e-07,9.23940971172202e-07,9.792642791351295e-07,1.02807972824988e-06,1.0810283096552596e-06,1.1316613470714722e-06
DAC,CH,3.186189801728783e-07,3.5086246295950573e-07,3.7760141570048983e-07,4.178132036267458e-07,4.470906590880036e-07,4.718680261292385e-07,4.931084475972181e-07,5.101831811560507e-07,5.313956752505846e-07,5.556008942531726e-07,5.81570126249292e-07,6.107480929743233e-07,6.41615174606305e-07,6.752536234896284e-07,7.137305164892747e-07,7.546498003700387e-07,8.000877048678003e-07,8.55530709328934e-07,9.14044116028481e-07,9.964956177000397e-07,1.0239647699726533e-06
DAC,CZ,3.215320630070881e-07,3.537394320947988e-07,3.7967647464715e-07,4.1942223806043564e-07,4.5026691858171e-07,4.784596826615887e-07,5.063831067864484e-07,5.338850068677936e-07,5.609547405773193e-07,5.865831470983702e-07,6.095430058448031e-07,6.286580268050777e-07,6.534258627520687e-07,6.852964341659907e-07,7.247931101339141e-07,7.706622745578721e-07,8.206799778699198e-07,8.772719945671729e-07,9.530452107923928e-07,1.0449130407175043e-06,1.0900575219721345e-06
DAC,DE,3.208372674865299e-07,3.535881370549938e-07,3.8053025365745294e-07,4.198714936185989e-07,4.483607825336797e-07,4.7194186737218593e-07,4.917112641796919e-07,5.069448795993633e-07,5.259192630783699e-07,5.476800077090332e-07,5.717850989664721e-07,5.979710709870491e-07,6.249432176406368e-07,6.579283983089287e-07,6.963699314841107e-07,7.405279715087527e-07,7.899122674758215e-07,8.388566441304875e-07,8.93961446474189e-07,9.760810521245887e-07,9.879064538539842e-07
DAC,DK,2.9367996670844385e-07,3.5052987821349967e-07,3.801678186161805e-07,4.1069730378624097e-07,4.277355024220739e-07,4.493345843519441e-07,4.740619102573466e-07,5.003742796673671e-07,5.299827945558319e-07,5.632045167992561e-07,5.995533515026491e-07,6.413426230525096e-07,6.845645546523777e-07,7.321617086757158e-07,7.855537485982705e-07,8.486641596336447e-07,9.161874842887578e-07,9.807280089070924e-07,1.0506386882476198e-06,1.1569656085142679e-06,1.1788397142044974e-06
DAC,EE,2.8687957990048347e-07,3.484964545293528e-07,3.7537101531140704e-07,4.0467561894805643e-07,4.212971152520459e-07,4.4092096111851245e-07,4.622746840565573e-07,4.843863666479837e-07,5.071696487469991e-07,5.31669740706716e-07,5.580427968345806e-07,5.894528419770244e-07,6.255152301659072e-07,6.663057053985515e-07,7.114171616311942e-07,7.591985960382455e-07,8.099641621365156e-07,8.682078720495761e-07,9.406786373248134e-07,1.0356129558538418e-06,1.0550226585677877e-06
DAC,EL,3.244322941361605e-07,3.559752132111714e-07,3.8238837578062557e-07,4.2097932627122047e-07,4.5932021800168894e-07,4.909564104265163e-07,5.218125873816807e-07,5.539608977102303e-07,5.87660156882107e-07,6.21157049107964e-07,6.521712593764459e-07,6.774421419487371e-07,6.959763798284562e-07,7.093213907316725e-07,7.298059461064911e-07,7.609162588679688e-07,8.068796683917352e-07,8.701658061989247e-07,9.221414260879418e-07,9.881152296298846e-07,1.0225702786795054e-06
DAC,ES,2.971361721510393e-07,3.412812764768504e-07,3.680472268603029e-07,3.971129203010775e-07,4.145261825498746e-07,4.3504159964547716e-07,4.586832981792411e-07,4.851174129281194e-07,5.149199954463123e-07,5.48493726867243e-07,5.869559951832232e-07,6.271237767463011e-07,6.709346784934373e-07,7.200267613969575e-07,7.748195011112278e-07,8.3397380915355e-07,8.972938218431676e-07,9.737886052799158e-07,1.0442640963639697e-06,1.1347144306973808e-06,1.158225412277537e-06
