technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DAC,power,AT,6.014781622418922e-09,7.656402925846109e-10,5.530230427422313e-10,7.042494705733218e-10,5.620976673038896e-10,4.759029087312145e-10,3.9769479392691085e-10,4.0086531864416244e-10,4.360184626791002e-10,5.227475095789763e-10,5.863183143517296e-10,4.496052267039857e-10,5.253828234928003e-10,6.138692990864665e-10,7.15603029510567e-10,7.800709769752248e-10,8.428644371828848e-10,1.0755791515261212e-09,1.0305729019050387e-09,1.4762381696374337e-09,5.56948574184093e-09,2.0956211099319657e-09,2.4740123526336526e-09,2.592763234070376e-09,2.304778648883069e-09,2.093625047527024e-09,2.1148337501210684e-09,2.0642667212761348e-09,2.5988500520678713e-09,2.805294242937957e-09
DAC,power,BE,5.933802700112382e-09,7.816402345618206e-10,6.124968226498937e-10,7.624923911179747e-10,5.727488530834173e-10,4.862010218326161e-10,4.068472871035638e-10,3.108649507930679e-10,3.1929696867385233e-10,4.137610635880092e-10,5.477142704307911e-10,4.815957135302877e-10,6.434904874706884e-10,7.486859610970951e-10,8.769722820317863e-10,9.685179810678533e-10,8.346093004214738e-10,1.0342403677329872e-09,1.0522740214218604e-09,1.4972785672520593e-09,5.688422452975819e-09,2.5380306279913125e-09,2.3994300864767702e-09,2.446481616124616e-09,2.903130359926112e-09,2.9735574877224364e-09,2.7206787143713745e-09,2.625948960727331e-09,2.2209879935225083e-09,3.082388764636372e-09
DAC,power,BG,6.091135038196183e-09,7.15830975400536e-10,5.609356685245539e-10,7.180576019362438e-10,6.713117847169272e-10,5.834365542104852e-10,5.731877364102236e-10,5.900944751359711e-10,6.75049549698638e-10,6.690272080613586e-10,6.840230388427746e-10,7.452264258402052e-10,9.440620884602295e-10,9.28183823017213e-10,8.558191455978362e-10,8.288028177306292e-10,8.563032375439993e-10,8.722866399539403e-10,8.117065226873461e-10,1.2538179847136499e-09,5.60861017886375e-09,2.674008016312663e-09,2.3901129183091737e-09,2.2103167858647817e-09,2.468291879173002e-09,2.5932780849084435e-09,2.453326555352436e-09,2.380236776748382e-09,2.0480996242598593e-09,3.1300131046756642e-09
DAC,power,CH,5.984888351015686e-09,7.52759813435551e-10,5.963806656358044e-10,7.604497125698427e-10,5.742977060534017e-10,4.974388325769748e-10,4.117235425116654e-10,3.4900215973798086e-10,4.039278755468785e-10,4.522500262031307e-10,5.292552080678015e-10,4.6327197821038836e-10,5.276936930767902e-10,5.982660588970447e-10,6.711125122998292e-10,7.852718232142438e-10,8.699187121407247e-10,9.50656537603739e-10,1.079889240914688e-09,1.5895103859109343e-09,5.724876915984122e-09,2.451118267244849e-09,2.240302748050076e-09,2.26157928038341e-09,2.574028147117119e-09,2.3996384675921833e-09,2.3834868422500942e-09,2.2410961368380428e-09,2.6950453479857816e-09,3.1121079337798105e-09
DAC,power,CZ,6.040964148107037e-09,7.412460875916518e-10,5.751562047306505e-10,7.627412106474118e-10,6.098871329181649e-10,5.639475958730315e-10,5.49277232500886e-10,5.160922916068947e-10,5.268644788223856e-10,5.08172754917069e-10,5.077175955277186e-10,2.988864852338272e-10,4.241137014355176e-10,5.385712916892177e-10,6.868263853096861e-10,9.111194746874005e-10,8.857199144345229e-10,9.83955190900339e-10,1.1146090622902725e-09,1.7250743042692318e-09,6.191017943094821e-09,2.705560421466439e-09,2.4093294582032575e-09,2.2789313099322807e-09,2.5241925607313434e-09,2.346618225016941e-09,1.9864810061509145e-09,2.3561708035555742e-09,2.392043324694475e-09,3.2756871587124537e-09
DAC,power,DE,5.938481694390903e-09,7.824597705715955e-10,5.94442636221576e-10,7.461625184624035e-10,5.627497385185167e-10,4.760920661662253e-10,4.169966275319349e-10,3.5465616020502106e-10,3.8980122201920815e-10,3.7495495176076034e-10,3.6883229759922053e-10,4.1801778896418856e-10,5.169469889504452e-10,5.997567775409513e-10,7.067369067564996e-10,8.02913473643321e-10,8.945193965892459e-10,9.700430808805097e-10,1.2160541767591076e-09,1.6094311064835362e-09,5.309211314905003e-09,2.174076249333447e-09,2.061481895506382e-09,2.055492292438924e-09,2.4090460456387986e-09,2.7389854467549147e-09,2.5677856623787667e-09,2.4333653421099642e-09,2.215126735999303e-09,2.8292423923378826e-09
DAC,power,DK,5.531977934249294e-09,1.0866307563297943e-09,6.375630612063251e-10,6.210088078990677e-10,3.7910579463806917e-10,4.459080308228712e-10,4.819796319350537e-10,4.877030063830291e-10,5.82091116768824e-10,6.632757061828918e-10,8.355465849845774e-10,5.810304010229718e-10,7.341350394869308e-10,8.063927409527764e-10,8.472905592678204e-10,1.042558712838959e-09,1.2155631901715898e-09,1.559292270600181e-09,1.0476524556188737e-09,1.6598384914705007e-09,5.745592076060848e-09,3.073329559253712e-09,2.664317349984288e-09,2.3910851640278863e-09,2.8707965442429356e-09,2.880348600289738e-09,2.8853213100955745e-09,2.964366400126313e-09,2.4426709005385104e-09,3.5355050641936728e-09
DAC,power,EE,5.4799090062443766e-09,1.2094587043380911e-09,5.870662120399015e-10,5.774960764230566e-10,3.9675474663702005e-10,4.116252035363367e-10,3.676532174224946e-10,3.4226074442759523e-10,3.7621583838955384e-10,4.4354147532877664e-10,5.419789014110575e-10,5.51675470282245e-10,6.461891816661878e-10,7.421568446062818e-10,8.275074566535724e-10,9.03888686243821e-10,9.611420552062738e-10,1.081970496696872e-09,1.329416373877424e-09,1.984753545654586e-09,5.260019521751309e-09,2.3002411713770017e-09,2.259738114826474e-09,3.3396553760764864e-09,2.4529204996114902e-09,2.269583092982256e-09,2.5205207921742574e-09,2.2533787280146952e-09,2.35921353674674e-09,3.145418173714455e-09
DAC,power,EL,5.960555158948865e-09,7.461456919082275e-10,6.094220853521061e-10,7.468681298030041e-10,7.295471795778948e-10,6.000754020196505e-10,5.489465231977956e-10,5.858587064798676e-10,7.016688096262115e-10,6.728391793894991e-10,6.431492406672253e-10,4.147004956692709e-10,3.7072156497987643e-10,2.3559323078031533e-10,3.523212260404079e-10,5.241728157564992e-10,7.558207868056643e-10,9.86298918552551e-10,1.1187767452083499e-09,1.4497599395051244e-09,5.7218100162476095e-09,2.5051268507746173e-09,2.0661797626993705e-09,2.1978133617900556e-09,2.4790186655322785e-09,2.857533035599914e-09,2.891786864059054e-09,2.617925534273e-09,2.210975621382888e-09,3.143571576363108e-09
DAC,power,ES,5.638324360214738e-09,9.156127673739517e-10,5.710848807217022e-10,5.816772510381436e-10,3.874680999991395e-10,4.334067998676329e-10,4.803569033483038e-10,5.079309257694608e-10,5.649061155208434e-10,6.427253156507057e-10,6.573773764071578e-10,6.851303391735829e-10,7.801688351522787e-10,8.655771454614751e-10,9.850313703840126e-10,1.0990576461885873e-09,1.1870028461114326e-09,1.4313132113279398e-09,1.4465742779625463e-09,1.7992420485021018e-09,5.870699333416239e-09,3.0621664568627884e-09,2.550736841846644e-09,2.5208980172343106e-09,2.9790604772264757e-09,2.8606429826519826e-09,2.8362455080753638e-09,2.8311450590380407e-09,2.303769395240569e-09,3.192520547339778e-09
