year,value
0,213740.46636629134
1,216168.7417902876
2,214379.68264677134
3,213528.80413768595
4,212502.14661391205
5,211894.84167573563
6,212025.7503095027
7,211084.42873199662
8,212743.43436903632
9,214535.19173688538
10,216409.88218713034
11,219568.43794310937
12,223266.9481257815
13,227702.81469151584
14,228810.65772759044
15,230169.3253254267
16,232657.4700659444
17,236458.68758855417
18,238995.5232703466
19,237439.90769861793
20,239364.5930493131
21,255889.6509418403
22,255798.78614004457
23,254991.70686730923
24,254308.55855293036
25,250910.19626570254
26,254239.58202733018
27,254638.23197993415
28,254556.3128721839
29,253785.79503386474
