technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,9.136584530183553e-10,1.2383632175947783e-09,1.640419786968551e-09,2.1872929422349354e-09,2.961918595757507e-09,1.451323423056382e-08
DAC,power,BE,9.154616598695662e-10,1.2112058866604929e-09,1.6030610686812533e-09,2.213646080895725e-09,2.820281339458938e-09,1.4458775140670388e-08
DAC,power,BG,1.0039264846454839e-09,1.4082462435765455e-09,1.5778064486373213e-09,2.093916918307156e-09,2.6435785454886976e-09,1.458739780928079e-08
DAC,power,CH,9.150065997648132e-10,1.2718257111278732e-09,1.623608130341186e-09,2.230153320206887e-09,3.006369347427468e-09,1.4177671791899014e-08
DAC,power,CZ,9.824562442307444e-10,1.2284592156153318e-09,1.6391741373920113e-09,2.185640435685695e-09,3.1430452233553684e-09,1.4556273703268155e-08
DAC,power,DE,9.189056946547411e-10,1.174746341944476e-09,1.5211402483364633e-09,2.0408445712819426e-09,2.811469347936835e-09,1.342635005667175e-08
DAC,power,DK,8.732363993198363e-10,1.303040315972825e-09,1.772012970898392e-09,2.4929400101389603e-09,3.1074726688184183e-09,1.6274660458904434e-08
DAC,power,EE,8.969869683502639e-10,1.2937427548818791e-09,1.711078095911747e-09,2.3654747434175473e-09,3.146531946038151e-09,1.430396766350266e-08
DAC,power,EL,1.033524818278115e-09,1.1359755729789466e-09,1.502379031875698e-09,1.9399287775387827e-09,2.439791147132429e-09,1.3348776655555965e-08
DAC,power,ES,8.448850273892543e-10,1.2851581711516416e-09,1.7682385121502846e-09,2.324719763994036e-09,3.079326443981659e-09,1.6103321873236333e-08
DAC,power,FI,9.770670759360553e-10,1.2736039051391264e-09,1.753092055067279e-09,2.6287236148467764e-09,3.094975441876255e-09,1.6448976984318575e-08
DAC,power,FR,1.019467717456762e-09,1.284423006104612e-09,1.7377473341210267e-09,2.411118093765542e-09,3.149282099786595e-09,1.6368727487191922e-08
DAC,power,HR,9.982505951120414e-10,1.2487334537617911e-09,1.6050863466575426e-09,2.22126956454173e-09,2.838186061731399e-09,1.5238145541646035e-08
DAC,power,HU,9.868964338621973e-10,1.2008498192418127e-09,1.560309528773923e-09,2.2122813585460386e-09,2.71643642394088e-09,1.4859486797339814e-08
DAC,power,IE,8.702453148127515e-10,1.2941424544121996e-09,1.890386678062386e-09,2.709982630212667e-09,3.4397132338796512e-09,1.7938022503329277e-08
DAC,power,IT,8.785777311393399e-10,1.228560880491808e-09,1.5619010679728605e-09,2.192157780449516e-09,2.706190422358104e-09,1.461107660740859e-08
DAC,power,LT,9.771909388781496e-10,1.3525684334588955e-09,1.8119585519881571e-09,2.420301339491703e-09,3.4380481744302723e-09,1.6610526360621263e-08
DAC,power,LU,9.198321081257215e-10,1.2973443818077228e-09,1.7016375279809273e-09,2.3166495350156275e-09,2.779579580377985e-09,1.4688840843524544e-08
DAC,power,LV,9.741472713136786e-10,1.3273184988626017e-09,1.7830359771612439e-09,2.312116274575674e-09,3.4181642382364124e-09,1.490121932544503e-08
DAC,power,NL,9.0593895929866e-10,1.2053758658597636e-09,1.5727716673136341e-09,2.1453920623970084e-09,2.787623059856476e-09,1.3871379997377764e-08
DAC,power,NO,1.05912292425696e-09,1.3221967822508103e-09,1.917693221424618e-09,2.8268855523044865e-09,3.431872253733692e-09,1.812980444873984e-08
DAC,power,PL,9.771178935733249e-10,1.351402634748765e-09,1.690260089989798e-09,2.2861049842501736e-09,2.982560164804913e-09,1.4764697671481767e-08
DAC,power,PT,8.532737565336683e-10,1.3021546598958246e-09,1.7666090169796703e-09,2.3704117895788093e-09,3.2139581358997153e-09,1.668763101986553e-08
DAC,power,RO,8.46822068519116e-10,1.1979930326977319e-09,1.5666180531823472e-09,2.076675743806396e-09,2.6072890298187577e-09,1.4524768042075008e-08
DAC,power,SE,9.287980798538177e-10,1.3135347215222217e-09,1.8421830484520848e-09,2.699896424433221e-09,3.290217454223745e-09,1.805825959817217e-08
DAC,power,SI,9.994722623597674e-10,1.2622992731148604e-09,1.6085940296397383e-09,2.1915394799882526e-09,2.7123057367623458e-09,1.509556221181672e-08
DAC,power,SK,9.750712397233302e-10,1.2648311156363723e-09,1.6547425568437743e-09,2.222542304444367e-09,3.0207721107203384e-09,1.5071745862940496e-08
DAC,power,UK,8.947564712097205e-10,1.3562152971912117e-09,1.8407475731239971e-09,2.6165252216197765e-09,3.3361704629725518e-09,1.7691649786604632e-08
battery,energy,AT,6.83581767402998e-08,4.36011321306186e-07,0.7283269812236853,19.44475384244048,57.503649351109495,97.66517275294484
battery,energy,BE,6.643142864902723e-08,3.2378687773671995e-07,4.480067533226098e-05,9.212169515516702,20.132901125279897,32.574433194616184
battery,energy,BG,6.600895747658748e-08,1.1524976922999923e-06,0.27456823380995665,6.172494649114123,13.736580549304257,16.211838022082983
battery,energy,CH,6.834638990245103e-08,5.359609744106051e-07,28.005551281041313,46.327631536672634,39.45883288628047,42.45441818477543
battery,energy,CZ,6.764966840093861e-08,5.272370217802096e-07,11.1671618766438,11.167161440127245,16.810297333789777,23.924801684713216
battery,energy,DE,7.787189393337573e-08,4.040898667903016e-07,6.562388669999879e-06,23.841112907781405,92.00263590209407,122.72115320599734
battery,energy,DK,6.38074960667408e-08,2.575053245448832e-07,1.3373764159887257e-06,2.660087615757012e-06,7.4612074857018165,7.461206041721203
battery,energy,EE,6.269093265310439e-08,2.494420727071349e-07,7.252074769027312e-07,4.550628586738396e-06,1.0598985505371548,2.2766735134324665
battery,energy,EL,6.081812721347176e-08,3.853157260585217e-07,9.661282907464674,16.350892992924333,34.59635583448595,33.96272007909192
battery,energy,ES,5.157903344139155e-08,4.477940273910753e-07,26.05108919009197,34.26341925778939,33.60982737025411,48.46968200041444
battery,energy,FI,6.759247047999856e-08,2.516873567591936e-07,9.777224975528692e-07,2.2737539689884843,2.7211404483387924,3.1563133785532878
battery,energy,FR,6.147919470606953e-08,2.2070284679174339e-07,7.189177747576549e-07,18.37311266853857,35.24013036546954,57.750299593379054
battery,energy,HR,6.952706491501729e-08,7.086581238509054e-07,1.8736728686173796,4.990061319813228,6.473703506080853,8.9330556419738
battery,energy,HU,6.192953579880761e-08,8.201732548583513e-07,7.693637144815517,7.829285529682344,10.600878096094524,17.777117777509808
battery,energy,IE,6.288185793290106e-08,2.1704946785774527e-07,7.545993731625791e-07,3.240855435101674,9.169545167539654,9.019399912432437
battery,energy,IT,6.793810285679091e-08,8.608015936135461e-07,47.58063850616994,60.85238409966996,91.07589122532632,91.57303934095201
battery,energy,LT,6.208412091799512e-08,2.4629206940917907e-07,5.41819956289295e-07,9.607160040584118e-07,2.5027688274840587e-05,0.20199208006118222
battery,energy,LU,6.138797308137925e-08,2.476524301301504e-07,8.226884632263851e-07,1.8986969644551607e-06,3.531947188449522e-06,7.196399908793066e-05
battery,energy,LV,6.28562318580428e-08,2.57706647127359e-07,5.585623624695347e-07,1.0469993144142638e-06,0.03626994820920012,1.1428152272940102
battery,energy,NL,6.511591712419711e-08,3.3718581017736755e-07,6.099805932822994e-06,12.644441662572738,25.94550032846992,29.099136577045122
battery,energy,NO,6.060525386492215e-08,1.788247176888802e-07,3.696498034142416e-07,6.96930195112562e-07,1.366566281734155e-06,1.1916209832635892e-05
battery,energy,PL,7.038032344197433e-08,5.546704272347941e-07,6.779468019460426e-06,3.7785648436570756,31.353409844320982,27.574851385837466
battery,energy,PT,5.320734390179431e-08,3.4765718794052584e-07,2.387258161264804e-06,2.3766287695573882e-06,3.7580697251589612e-06,0.0006106647656490092
battery,energy,RO,6.126846048079204e-08,3.909434177172693e-07,2.6363279076253296,3.8750360389805807,10.181234798930442,18.246961414167348
battery,energy,SE,6.523027521533711e-08,2.330368725255579e-07,6.72680629618346e-07,1.1262756612596315e-06,2.147424338639264e-05,5.748465535035488e-05
battery,energy,SI,6.38759758847033e-08,7.816882247036045e-07,0.9622458051009602,1.8624697996922368,1.0633034589099457,0.5801100842062078
battery,energy,SK,7.068697919928015e-08,7.878612087865386e-07,6.997898084891411,8.818468297216425,10.697206680630678,10.591464494544853
battery,energy,UK,6.333746919815943e-08,1.9278837779448227e-07,4.7154928569389665e-07,1.4977306188390634e-06,2.823686300386415,13.662605471875533
battery,power,AT,3.41790883701499e-08,2.1800571780340737e-07,0.36416349060856307,9.72237692121877,28.75182467555381,48.83258637647203
battery,power,BE,3.3215714324513614e-08,1.618934875794772e-07,2.24003378761015e-05,4.606084757758188,10.066450562639883,16.28721659730718
battery,power,BG,3.300447873829374e-08,5.762489097923425e-07,0.13728411690298883,3.0862473245569895,6.868290274652094,8.105919011041532
battery,power,CH,3.417319495122552e-08,2.6798053896866544e-07,14.002775640520618,23.16381576833634,19.729416443140277,21.227209092387767
battery,power,CZ,3.3824834200469306e-08,2.636185665865608e-07,5.583580938041859,5.583580720079131,8.405148666894878,11.962400842356686
battery,power,DE,3.893594696668787e-08,2.020450026467276e-07,3.2811944947057654e-06,11.920556453889409,46.0013179510465,61.36057660299873
battery,power,DK,3.19037480333704e-08,1.2875269523500023e-07,6.686883831527505e-07,1.3300439004870712e-06,3.730603742841874,3.730603020867348
battery,power,EE,3.1345466326552195e-08,1.2472105173508994e-07,3.6260392287869093e-07,2.275314395529249e-06,0.529949275268294,1.1383367567162321
battery,power,EL,3.040906360673588e-08,1.926579233195552e-07,4.830641453732162,8.175446496461987,17.298177917241915,16.981360039546047
battery,power,ES,2.5789516720695775e-08,2.2389707038824274e-07,13.025544595046012,17.131709628894757,16.804913685127136,24.234841000207275
battery,power,FI,3.379623523999928e-08,1.2584368914297104e-07,4.888614217467299e-07,1.1368769844617115,1.3605702241692625,1.5781566892768553
