technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,9.136584530183553e-10,3.247085460539193e-10,4.020595057911341e-10,5.468760916837465e-10,1.6882841065409236e-09,1.1876024180860228e-08
DAC,power,BE,9.154616598695662e-10,2.957480082684228e-10,3.918581184381216e-10,6.105879486318361e-10,1.5220969184327747e-09,1.1934241809479882e-08
DAC,power,BG,1.0039264846454839e-09,4.0432354040855826e-10,1.6956314147813754e-10,5.161134060871978e-10,1.553588111827022e-09,1.2348142804200651e-08
DAC,power,CH,9.150065997648132e-10,3.5682289284055427e-10,3.5178535563067457e-10,6.065481262830628e-10,1.6912226269853938e-09,1.1528125337312085e-08
DAC,power,CZ,9.824562442307444e-10,2.460067528620849e-10,4.1071785819404235e-10,5.464692347110425e-10,1.9398610319004166e-09,1.1659235232774877e-08
DAC,power,DE,9.189056946547411e-10,2.558444287672328e-10,3.463968428093467e-10,5.197072593628391e-10,1.6895304713096342e-09,1.0870725137502144e-08
DAC,power,DK,8.732363993198363e-10,4.2980769813048535e-10,4.68975591342927e-10,7.209299756579295e-10,1.4877690579992927e-09,1.3596995488216512e-08
DAC,power,EE,8.969869683502639e-10,3.967595680091107e-10,4.1733827744722697e-10,6.543995839231635e-10,1.6780441709708672e-09,1.1554195285473625e-08
DAC,power,EL,1.033524818278115e-09,1.0245453617832653e-10,3.6640639531411403e-10,4.3755268208044475e-10,1.5333871878717622e-09,1.1011440044601846e-08
DAC,power,ES,8.448850273892543e-10,4.402769252398826e-10,4.830832774160051e-10,5.564841882611136e-10,1.599491707376876e-09,1.3464272354494566e-08
DAC,power,FI,9.770670759360553e-10,2.9654061068056525e-10,4.794910863455135e-10,8.756344961968602e-10,1.4433189029655333e-09,1.3650542153122863e-08
DAC,power,FR,1.019467717456762e-09,2.6495907012534296e-10,4.5332726443377754e-10,6.733736960618785e-10,1.7576317234778146e-09,1.348440445753067e-08
DAC,power,HR,9.982505951120414e-10,2.504866401272463e-10,3.5635582931311303e-10,6.16186154301543e-10,1.615167092301716e-09,1.26504461200419e-08
DAC,power,HU,9.868964338621973e-10,2.1395716685711145e-10,3.594626459494741e-10,6.519747661894753e-10,1.4910514992570386e-09,1.2357007540256047e-08
DAC,power,IE,8.702453148127515e-10,4.239009210769426e-10,5.96247160067548e-10,8.19598888567642e-10,1.5999759184797367e-09,1.492221019052659e-08
DAC,power,IT,8.785777311393399e-10,3.4998693082996456e-10,3.333431238984115e-10,6.302596488940205e-10,1.3926103730479269e-09,1.2254873115880465e-08
DAC,power,LT,9.771909388781496e-10,3.753812760582403e-10,4.5939305494662453e-10,6.083457239209078e-10,1.9949377738167184e-09,1.3547859462249239e-08
DAC,power,LU,9.198321081257215e-10,3.775160551594979e-10,4.042960825905671e-10,6.150149434520629e-10,1.3827621534880794e-09,1.2286777318306043e-08
DAC,power,LV,9.741472713136786e-10,3.531750090264182e-10,4.557204147160034e-10,5.290832338317935e-10,2.0801952349744164e-09,1.1836230096235018e-08
DAC,power,NL,9.0593895929866e-10,2.9944068803859727e-10,3.673987378712319e-10,5.726233315007346e-10,1.548169956758131e-09,1.1383197625559896e-08
DAC,power,NO,1.05912292425696e-09,2.630776394713463e-10,5.954993755911709e-10,9.091952672972267e-10,1.6641096256861672e-09,1.4961009834477494e-08
DAC,power,PL,9.771178935733249e-10,3.7428852265293255e-10,3.388603916583958e-10,5.958478306777398e-10,1.673573074128067e-09,1.2156426029329781e-08
DAC,power,PT,8.532737565336683e-10,4.488846848396544e-10,4.644572935012069e-10,6.038057090164994e-10,1.6968201028545742e-09,1.3922557568805457e-08
