technology,capacity_type,location,0,1,2,3,4,5
DAC,power,AT,4.2774917586378406e-07,5.797685792980137e-07,7.680015252990101e-07,1.0240335214399468e-06,1.3866914531895992e-06,6.794692360539139e-06
DAC,power,BE,4.2859338656633846e-07,5.670542812061782e-07,7.505112247321767e-07,1.036371319340615e-06,1.3203808756940688e-06,6.769196147218675e-06
DAC,power,BG,4.700101279819324e-07,6.593030312771791e-07,7.386877223338167e-07,9.803174947906082e-07,1.2376536002620977e-06,6.829413661010332e-06
DAC,power,CH,4.2838034023142686e-07,5.954347770810491e-07,7.601307807735211e-07,1.0440995442454552e-06,1.4075020442048065e-06,6.6375914700307324e-06
DAC,power,CZ,4.5995836562734325e-07,5.751318042860106e-07,7.674183472218868e-07,1.0232598643778225e-06,1.4714898430321283e-06,6.814842230458337e-06
DAC,power,DE,4.3020578673199984e-07,5.499849484012082e-07,7.12158202032276e-07,9.554705154558285e-07,1.3162553492472376e-06,6.285843777016668e-06
DAC,power,DK,4.0882470786467305e-07,6.100485766395528e-07,8.296097507680843e-07,1.167128877225487e-06,1.454835774067645e-06,7.619342551240566e-06
DAC,power,EE,4.199440559049601e-07,6.056957201853086e-07,8.010817571061274e-07,1.107453226427074e-06,1.473122228470142e-06,6.696719642943702e-06
DAC,power,EL,4.838672348433352e-07,5.318335654442354e-07,7.033747284565841e-07,9.082245807603514e-07,1.1422460752615415e-06,6.249526093656313e-06
DAC,power,ES,3.955513933806331e-07,6.016766596670023e-07,8.278426554016475e-07,1.0883728919725953e-06,1.4416585036797599e-06,7.539126647178083e-06
DAC,power,FI,4.5743530869175743e-07,5.962672774758374e-07,8.207515104413956e-07,1.2306989397775328e-06,1.4489849241056788e-06,7.700952642888046e-06
DAC,power,FR,4.772860958285276e-07,6.013324760807258e-07,8.135675439198414e-07,1.128822158581664e-06,1.474409773061351e-06,7.663382086685126e-06
DAC,power,HR,4.6735283623116575e-07,5.846236320360455e-07,7.514594028860494e-07,1.039940419846404e-06,1.3287633627939415e-06,7.134075436200931e-06
DAC,power,HU,4.620371374586095e-07,5.622058618773841e-07,7.304961568456437e-07,1.0357323947420041e-06,1.2717636086138502e-06,6.956798068191557e-06
DAC,power,IE,4.0742436627245364e-07,6.058828482572073e-07,8.850289892330317e-07,1.2687421240105843e-06,1.6103814568377973e-06,8.398081850718743e-06
DAC,power,IT,4.113253691087733e-07,5.751794009201606e-07,7.312412707100746e-07,1.02631110178753e-06,1.2669667190119944e-06,6.840499407933767e-06
DAC,power,LT,4.5749329783554077e-07,6.332362474445037e-07,8.483111477004936e-07,1.1331214957991366e-06,1.6096019228610876e-06,7.77658551460998e-06
DAC,power,LU,4.306395074483265e-07,6.073819005563318e-07,7.966619488739027e-07,1.0845946378743147e-06,1.3013254575062704e-06,6.876906434870775e-06
DAC,power,LV,4.5606833833562615e-07,6.214149386408716e-07,8.347704120949722e-07,1.0824722929096718e-06,1.6002928235015257e-06,6.976336063428987e-06
DAC,power,NL,4.241351261433696e-07,5.64324829533572e-07,7.363305794050249e-07,1.004416708658943e-06,1.3050911882414633e-06,6.494194271386678e-06
DAC,power,NO,4.958515476901675e-07,6.190170950566923e-07,8.97813144384552e-07,1.3234727822950312e-06,1.6067105305914326e-06,8.487868760503144e-06
DAC,power,PL,4.574591000794359e-07,6.326904532958973e-07,7.913353525861202e-07,1.0702945387794169e-06,1.3963552549301696e-06,6.912420466985459e-06
DAC,power,PT,3.994787602935242e-07,6.096339373881087e-07,8.270797716194193e-07,1.1097646125032442e-06,1.5046892730803459e-06,7.812683746217237e-06
DAC,power,RO,3.964582615261369e-07,5.608683948120788e-07,7.334496304414972e-07,9.72245662084129e-07,1.2206638702716067e-06,6.8000921665084045e-06
DAC,power,SE,4.348371230943496e-07,6.149617619880873e-07,8.624614063782651e-07,1.2640200463069327e-06,1.5403917398580288e-06,8.454373474856175e-06
DAC,power,SI,4.679247864568417e-07,5.909747668928638e-07,7.531016013463905e-07,1.0260216309115484e-06,1.2698297371211358e-06,7.067321933702349e-06
DAC,power,SK,4.565009143430466e-07,5.921601043112575e-07,7.747070430884803e-07,1.0405362808518444e-06,1.4142450126612724e-06,7.056171789389416e-06
DAC,power,UK,4.18899799913586e-07,6.349436064152798e-07,8.617893572262726e-07,1.2249879953513367e-06,1.5619056453615872e-06,8.28273707807843e-06
battery,energy,AT,1.6572000714053518e-06,8.005800400765823e-06,10.12289848282444,229.93863440841116,637.9196269933489,999.248699277669
battery,energy,BE,1.6104901205743398e-06,6.054480789268446e-06,0.0006235442875226432,108.19274700608504,225.91179649570566,331.448413750276
battery,energy,BG,1.6002481964839168e-06,2.0361630168285156e-05,3.8161825045833155,73.08458211348118,153.76457743525114,167.14225963722342
battery,energy,CH,1.6569143243381235e-06,9.731638879438194e-06,389.2445650691599,604.428882770793,443.0263238926694,438.2544009651766
battery,energy,CZ,1.6400237784354362e-06,9.576134902944892e-06,155.21055271722642,155.21054505246087,181.20531027608826,251.42781742610984
battery,energy,DE,1.8878401142431387e-06,7.5209420101494784e-06,9.23086143525022e-05,280.00280811224775,1014.7446957357488,1273.2634788347618
battery,energy,DK,1.5468783996349726e-06,4.891635592395409e-06,1.924055757057619e-05,3.370532110583062e-05,80.42751505622056,80.4274979615183
battery,energy,EE,1.519809670522483e-06,4.74461213689586e-06,1.070871831473537e-05,5.460501610603924e-05,11.42509897158295,23.43506212172838
battery,energy,EL,1.474407445707762e-06,7.0778020938897786e-06,134.2805874800972,212.84694819267077,379.3849873322799,360.593090574054
battery,energy,ES,1.250425069510393e-06,8.092228579834991e-06,362.0798168176936,458.52981587983413,370.22037505336635,501.5004545943617
battery,energy,FI,1.6386371352687204e-06,4.817571675038592e-06,1.4209433757042966e-05,26.70418570390951,31.526751455134967,31.56057194586069
