technology,location,0,1,2,3,4,5
DAC,AT,3.114154758034324e-07,4.220893150506427e-07,5.59128092985436e-07,7.455268104588944e-07,1.0095537186151637e-06,4.946756338133387e-06
DAC,BE,3.1203008897500297e-07,4.128328876553589e-07,5.46394578626311e-07,7.545091333256634e-07,9.61277436142215e-07,4.928194255842178e-06
DAC,BG,3.4218283961004386e-07,4.799930133005358e-07,5.377866798089419e-07,7.137001045120082e-07,9.010492573536881e-07,4.972034587436649e-06
DAC,CH,3.1187498423255504e-07,4.3349482255812776e-07,5.533979319713731e-07,7.601355353660585e-07,1.024704513680202e-06,4.832381720185797e-06
DAC,CZ,3.34864825846496e-07,4.187135902613647e-07,5.587035201548767e-07,7.44963562659238e-07,1.0712897368479266e-06,4.9614261064984375e-06
DAC,DE,3.1320396935422523e-07,4.0040585167949095e-07,5.184723160328867e-07,6.95610685926473e-07,9.58273917131839e-07,4.576297824847986e-06
DAC,DK,2.9763784036002316e-07,4.4413414952729607e-07,6.039809084446684e-07,8.497049382535964e-07,1.059165026612859e-06,5.547128813404863e-06
DAC,EE,3.0573309163338304e-07,4.4096512679086414e-07,5.832115902992503e-07,8.062591007490833e-07,1.0724781671630693e-06,4.875428975774061e-06
DAC,EL,3.5227126939553327e-07,3.8719104758636586e-07,5.120776582354581e-07,6.612140907646966e-07,8.315894396152251e-07,4.549857356269869e-06
DAC,ES,2.8797443063588095e-07,4.3803911847988694e-07,6.026944048687871e-07,7.923679893971295e-07,1.0495715401512021e-06,5.488728995614039e-06
DAC,FI,3.330279573721432e-07,4.341009102402981e-07,5.975318179921945e-07,8.959860356666362e-07,1.054905415308919e-06,5.606543645635562e-06
DAC,FR,3.4747998362978935e-07,4.377885415031639e-07,5.923016539645302e-07,8.218163865367056e-07,1.0734155419941947e-06,5.579191044400251e-06
DAC,HR,3.4024824377302686e-07,4.256239532072487e-07,5.470848835236572e-07,7.571075559408732e-07,9.673801625901415e-07,5.19383838516111e-06
DAC,HU,3.3637824014498834e-07,4.093030788389609e-07,5.318229505769142e-07,7.54043975193034e-07,9.258824658784488e-07,5.064774627653376e-06
DAC,IE,2.966183456003951e-07,4.411013621849569e-07,6.443279377063248e-07,9.236827256604613e-07,1.1724074021503909e-06,6.1140766490941e-06
DAC,IT,2.994584040340083e-07,4.187482421772702e-07,5.323654179893915e-07,7.471849638993792e-07,9.223901723989304e-07,4.980105375991237e-06
DAC,LT,3.3307017537704343e-07,4.6101553690090264e-07,6.175961408110064e-07,8.249464455076316e-07,1.1718398757635268e-06,5.661606865070406e-06
DAC,LU,3.1351973230798875e-07,4.421927215874457e-07,5.799938244652908e-07,7.896172960840527e-07,9.474044646523129e-07,5.0066108896331635e-06
DAC,LV,3.3203275797052144e-07,4.524092350926793e-07,6.07738039710504e-07,7.880721591106187e-07,1.1650625450988789e-06,5.078998931115389e-06
DAC,NL,3.0878432868085204e-07,4.108457570207052e-07,5.360706021912035e-07,7.312451252315501e-07,9.50146040544961e-07,4.7279838408574634e-06
DAC,NO,3.6099624351111624e-07,4.506635260584968e-07,6.536352233398172e-07,9.63528445891875e-07,1.1697348470453047e-06,6.179444473999824e-06
DAC,PL,3.3304527828526694e-07,4.6061818080048353e-07,5.761158870875687e-07,7.792063533752078e-07,1.016589284285236e-06,5.032466273658996e-06
DAC,PT,2.9083368298479055e-07,4.438322785078729e-07,6.021390003714064e-07,8.079418658724112e-07,1.0954600144036702e-06,5.687887565550866e-06
DAC,RO,2.886346604877626e-07,4.0832935880391416e-07,5.339731765434959e-07,7.078235446850547e-07,8.886801748462192e-07,4.950687574568313e-06
DAC,SE,3.165757346275876e-07,4.477111101372954e-07,6.278979947654448e-07,9.202448977046416e-07,1.121452585064915e-06,6.155058803832584e-06
DAC,SI,3.40664642358261e-07,4.302477883773203e-07,5.482804580419681e-07,7.469742195761611e-07,9.244745437946014e-07,5.145239638710786e-06
DAC,SK,3.323476875385328e-07,4.3111075302334447e-07,5.640099305920171e-07,7.575413623605963e-07,1.0296136166047317e-06,5.137121966737537e-06
DAC,UK,3.0497283890873986e-07,4.6225855041502014e-07,6.274087208679356e-07,8.918282801965544e-07,1.137115416221167e-06,6.030101859006706e-06
battery,AT,6.284843844655799e-08,2.745160728546299e-07,0.3607061299392332,8.40089716493997,22.87502627322999,35.50747522862571
battery,BE,6.107698820328405e-08,2.0385871012399322e-07,2.218766953029036e-05,3.9800189497357237,8.008894172700806,11.842869337569734
battery,BG,6.068856863531639e-08,7.256212786382399e-07,0.13598074432845947,2.666760053561492,5.464429553871799,5.894029783121993
battery,CH,6.283760163978019e-08,3.3744511795550416e-07,13.869833577382758,20.015355894370575,15.6967748859451,15.434869560461541
battery,CZ,6.219703659708527e-08,3.3195245684413124e-07,5.530570535771862,4.824652224617322,6.687158076235068,8.69818052048789
battery,DE,7.159534039624817e-08,2.544181007055039e-07,3.2500429018443837e-06,10.300296905731638,36.59876785587441,44.61691086661166
battery,DK,5.86645472452366e-08,1.621273268494468e-07,6.623398694341275e-07,1.1492623792913852e-06,2.9680780122826853,2.7126208988821054
battery,EE,5.763797997384482e-08,1.5705062082587676e-07,3.591613687132239e-07,1.96605031975582e-06,0.42162901770713157,0.8277149991467623
battery,EL,5.591612454984344e-08,2.425977494852023e-07,4.784779443397578,7.064227796430283,13.762475209872708,12.347599537407866
battery,ES,4.742171109521662e-08,2.8193455247840477e-07,12.901880343299476,14.803142484411634,13.370032907632881,17.621798891634125
battery,FI,6.214444888651585e-08,1.584642627044312e-07,4.842201814909443e-07,0.9823509943135011,1.0824731986804528,1.1475197958875
battery,FR,5.6523909332860587e-08,1.389562533874104e-07,3.5604637533367274e-07,7.937906099452088,14.01856955304075,20.995891108955234
battery,HR,6.392311305028149e-08,4.4617654021072675e-07,0.9279421285230314,2.155902426648472,2.575247648762378,3.2477314377530764
battery,HU,5.693795247731764e-08,5.163873130096068e-07,3.810296956217928,3.3825587684358034,4.217043052117048,6.46310810014162
battery,IE,5.781351648267798e-08,1.366560199683964e-07,3.7371778886825833e-07,1.4001768012769649,3.647656957218765,3.279123048057905
battery,IT,6.246222294360485e-08,5.419672234814882e-07,23.56445445274782,26.290619321034946,36.23010762180519,33.29259893118669
battery,LT,5.7080077879300204e-08,1.5506738631367167e-07,2.683381519552507e-07,4.1506714046253666e-07,9.956046879290506e-06,0.07343691283830589
battery,LU,5.6440040263530036e-08,1.5592384821775755e-07,4.074390943242332e-07,8.203117029745355e-07,1.405013184703076e-06,2.616347194904476e-05
battery,LV,5.7789955895413126e-08,1.6225408056195815e-07,2.766298759971818e-07,4.523449147670734e-07,0.014428232396472488,0.4154857072402312
battery,NL,5.986750823999999e-08,2.1229477552640463e-07,3.0209473885076016e-06,5.462895286596565,10.321153672560996,10.57937893375263
battery,NO,5.572040900883273e-08,1.1258946830684414e-07,1.8307037040597239e-07,3.0110131699380705e-07,5.436219301573164e-07,4.332296982439888e-06
battery,PL,6.470759807559443e-08,3.4922473900872104e-07,3.3575521019006663e-06,1.632488379140665,12.472427090065741,10.025204736927675
battery,PT,4.891877808299334e-08,2.1888762551575795e-07,1.1822969352179686e-06,1.0267969945703487e-06,1.4949650268479559e-06,0.00022201531529081195
battery,RO,5.633016049961929e-08,2.4614099394363463e-07,1.3056493324209013,1.6741677234742516,4.050108404380206,6.633926016290269
battery,SE,5.997264895314661e-08,1.46721800367212e-07,3.331472903053641e-07,4.865954078849488e-07,8.542481884638918e-06,2.089931263582666e-05
battery,SI,5.872750752049962e-08,4.921568255453039e-07,0.4765551316312864,0.804660083989643,0.4229834946724688,0.210906752777014
battery,SK,6.498953706821175e-08,4.960433993533773e-07,3.4657300923988656,3.8099245646151427,4.255362687948796,3.850668079257396
battery,UK,5.823240501841138e-08,1.2138107253020442e-07,2.3353638998277878e-07,6.470785212218301e-07,1.1232660715915452,4.967222313508618
biomass_boiler,AT,45.95226391378165,47.528436172505295,46.637865259914136,50.82987619117145,49.152071311348486,52.556852204723114
biomass_boiler,BE,12.111364025851532,2.8354766644275062,9.418437639420643e-07,9.251647408542857e-07,9.959973445896647e-07,3.694207377157744e-06
biomass_boiler,BG,30.910620370052158,27.302905953243002,11.851097265175277,2.211527371321976e-06,8.160305839708012e-06,2.391694269262485e-05
biomass_boiler,CH,46.203565188007175,47.78835714717513,46.89291550846202,46.642697593997376,49.42087773353233,52.84427126253417
