technology,capacity_type,location,0,1,2,3,4,5
heat_pump,power,DE,4.6909,2.8486,58.9052,73.6676,209.2309,234.2535
photovoltaics,power,DE,77.7439,94.7427,104.4859,121.8814,198.857,231.346
wind_offshore,power,DE,7.6776,7.6701,6.6479,0.3192,0.0,27.84
wind_onshore,power,DE,41.5299,45.5559,66.8293,83.3761,106.9725,106.9725
heat_pump,power,CH,2.2415,5.0898,7.1129,8.1858,30.6304,30.6304
photovoltaics,power,CH,27.1538,32.7949,48.3525,59.7179,59.7179,59.7179
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CH,0.0872,7.7063,9.714,10.2106,19.7378,20.0668
heat_pump,power,ROE,319.341,457.83,547.8617,631.4033,899.0492,917.3998
photovoltaics,power,ROE,267.7816,344.4951,448.6848,534.4173,662.7372,751.3281
wind_offshore,power,ROE,17.7633,16.5902,11.8604,3.811,10.9574,14.3445
wind_onshore,power,ROE,379.2344,504.3177,642.7971,801.4512,940.9706,1025.6731
