technology,capacity_type,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,location
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
photovoltaics,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.791,DE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
photovoltaics,power,16.8265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9035,0.3893,CH
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
heat_pump,power,60.1379,0.0,0.0,0.0538,0.0698,1.3454,5.3733,0.7206,1.2258,0.9257,ROE
photovoltaics,power,122.8052,3.8967,0.0,0.0,8.613,18.9415,39.8028,19.8232,13.5798,20.7228,ROE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROE
wind_onshore,power,125.7589,0.0068,0.0012,0.0008,0.0226,0.0196,6.0019,8.7353,28.5223,37.5906,ROE
