technology,capacity_type,location,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,3.1618,4.8214,2.7318,3.5359,0.0,2.4714
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,AT,23.8402,0.0,0.0,3.9867,11.0703,0.5288,1.4593,1.2777,0.1379,0.0,0.0,2.2003
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,AT,8.1838,0.0012,0.0007,0.0226,0.0076,0.0453,0.1072,0.2027,0.2078,0.1403,0.0195,0.014
heat_pump,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0777,10.8193,13.7192,9.514
photovoltaics,power,IT,53.9622,0.0,0.0,6.2446,2.9513,1.8532,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0222,20.1627,13.7346
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,CZ,10.3731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2316,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CZ,4.659,0.0,0.0,0.0,0.0,0.8053,2.244,1.5221,3.711,1.8628,0.0,0.0
heat_pump,power,ROE,44.5968,0.0,0.8176,2.6854,15.3671,17.2284,14.8181,15.0174,20.3618,20.9832,18.2615,24.5284
photovoltaics,power,ROE,61.1288,0.0,0.0,2.4585,12.1488,21.318,13.9678,4.4214,17.892,0.857,11.3942,1.3584
wind_offshore,power,ROE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,ROE,139.0817,0.0,0.0,0.006,0.4205,18.1764,21.7937,30.1398,32.4089,27.2559,30.223,28.2043
