technology,capacity_type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,location
heat_pump,power,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,3.6319,3.3935,2.8506,DE
photovoltaics,power,61.0512,61.0512,61.0512,61.0512,61.0512,61.0512,64.213,69.0344,71.6458,74.9409,74.5796,76.5693,DE
wind_offshore,power,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776,7.6751,7.6751,7.6701,DE
wind_onshore,power,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,39.5467,36.905,35.1662,33.9313,DE
heat_pump,power,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789,1.2934,1.1396,0.8616,AT
photovoltaics,power,26.5824,26.5824,26.5824,30.5692,41.6394,42.1682,43.6276,44.9053,45.0429,45.0425,45.0418,47.2412,AT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
wind_onshore,power,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,AT
heat_pump,power,9.9349,9.9349,9.8751,9.3146,9.0002,8.9405,8.8356,8.8356,9.5751,20.3344,33.2615,41.7654,IT
photovoltaics,power,76.5126,76.5126,76.5126,82.7572,85.7085,87.5617,87.5617,87.5617,87.5595,87.555,87.5484,87.5395,IT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT
wind_onshore,power,11.7145,11.7145,11.6887,11.4403,11.2871,11.2343,10.7574,10.3494,10.0628,25.5946,44.9523,57.7842,IT
heat_pump,power,2.0217,2.0217,1.8812,1.7884,1.6713,1.6471,1.6164,1.5455,1.1465,1.0567,0.9438,0.7121,CZ
photovoltaics,power,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,14.7567,14.7566,14.7565,14.7564,CZ
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
wind_onshore,power,4.958,4.958,4.958,4.958,4.9557,5.7609,7.9973,9.5174,13.2169,15.053,14.9938,14.9576,CZ
heat_pump,power,115.8849,115.8849,111.5897,108.11,115.3622,128.5511,139.3867,151.6933,166.5351,184.4005,198.4593,215.8232,ROE
photovoltaics,power,157.342,157.342,157.342,159.8004,171.9492,193.2672,207.235,211.6564,229.5306,230.352,241.6927,242.98,ROE
wind_offshore,power,18.3219,18.3219,18.3219,18.3219,18.2819,18.1219,17.8485,17.7633,17.6733,17.5833,17.3753,17.1449,ROE
wind_onshore,power,257.8091,257.445,256.9233,255.6888,254.7416,271.2256,290.7822,317.1935,345.8541,367.6036,392.464,414.2465,ROE
