technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
heat_pump,power,AT,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789,1.2934,1.1396,0.8616
heat_pump,power,BE,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,1.8575,1.8575,1.4172,1.3105,1.2596,0.7952
heat_pump,power,BG,0.7664,0.7664,0.7502,0.7268,0.6511,0.5709,0.537,0.4539,0.634,0.6098,0.5844,0.517
heat_pump,power,CH,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,1.7524,1.5441,1.1674
heat_pump,power,CZ,2.0217,2.0217,1.8812,1.7884,1.6713,1.6471,1.6164,1.5455,1.1465,1.0567,0.9438,0.7121
heat_pump,power,DE,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,3.6319,3.3935,2.8506
heat_pump,power,DK,1.6415,1.6415,1.5775,1.4768,1.3932,1.3215,1.2726,1.2726,1.0094,0.9853,0.8849,0.7031
heat_pump,power,EE,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0405,0.0325,0.0223,0.0218,0.0203
heat_pump,power,EL,5.8748,5.8748,5.8748,5.7903,5.5984,5.4573,5.1797,5.0752,5.5026,5.6171,5.478,3.8569
heat_pump,power,ES,3.4562,20.686,20.4504,20.94,21.2188,21.9927,27.13,27.6827,28.6288,29.1426,31.362,31.2175
heat_pump,power,FI,4.5776,4.5776,4.202,3.8952,3.6902,3.3393,3.1343,3.0188,2.5419,2.2977,2.1572,2.1572
heat_pump,power,FR,18.0658,42.5482,41.441,39.1341,37.1758,41.6104,44.2655,47.1207,50.5248,58.57,62.618,68.9256
heat_pump,power,HR,0.5989,0.5989,0.5769,0.5083,0.46,0.6662,0.7689,0.8458,0.9619,1.0713,1.5986,1.6081
heat_pump,power,HU,0.6628,0.6628,0.6538,0.5798,1.0554,1.3207,1.5159,1.6911,2.2993,2.8946,3.8383,4.9893
heat_pump,power,IE,0.5144,1.8189,1.7959,1.7404,1.9398,1.9745,2.1378,2.1624,2.1474,2.2388,2.4923,2.4836
heat_pump,power,IT,9.9349,9.9349,9.8751,9.3146,9.0002,8.9405,8.8356,8.8356,7.4975,9.5152,19.5423,32.2514
heat_pump,power,LT,0.1468,0.1468,0.1435,0.1407,0.132,0.122,0.1212,0.1212,0.1002,0.0975,0.0932,0.081
heat_pump,power,LU,0.2372,0.2372,0.2245,0.2226,0.1954,0.1954,0.1936,0.1936,0.1907,0.1907,0.1604,0.1604
heat_pump,power,LV,0.0713,0.0713,0.0674,0.0618,0.0553,0.0484,0.0478,0.0447,0.0421,0.0404,0.0367,0.0294
heat_pump,power,NL,1.5742,1.5742,1.5216,1.4839,1.3969,1.3885,1.3563,1.3563,1.1544,1.1544,1.1174,0.8912
heat_pump,power,NO,10.4566,10.4566,8.956,7.9306,6.0923,4.8273,3.8018,2.9081,2.2879,2.0432,1.687,1.3524
heat_pump,power,PL,1.5137,1.5137,1.5137,1.5137,1.5137,1.5137,1.5133,1.7237,1.7114,1.717,1.7031,1.6849
heat_pump,power,PT,0.2133,1.7934,1.7919,1.8367,1.9023,2.0574,2.1684,2.3235,2.4169,2.4938,2.708,2.6961
heat_pump,power,RO,0.0665,0.0665,0.063,0.0596,0.0517,0.0499,0.047,0.0407,0.0297,0.0294,0.0249,0.0202
heat_pump,power,SE,7.6737,7.6737,7.1767,6.2998,5.7233,5.2339,4.7258,4.5143,3.0858,2.9348,2.5171,2.1814
heat_pump,power,SI,0.4919,0.4919,0.4869,0.4512,0.4207,0.4067,0.398,0.4067,0.3718,0.4498,0.4694,0.616
heat_pump,power,SK,0.5248,0.5248,0.5248,0.5132,0.4607,0.4607,0.4522,0.4522,0.345,0.345,0.3336,0.2475
heat_pump,power,UK,5.8528,5.8528,5.228,4.7271,4.2143,12.2706,19.6621,29.1281,36.8691,45.4089,55.5078,62.8931
photovoltaics,power,AT,2.7422,26.5824,26.5824,26.5824,30.5692,41.6394,42.1682,43.6276,44.9051,45.0425,45.0418,45.0409
photovoltaics,power,BE,6.8703,6.8703,6.8703,6.8703,6.8703,9.1487,11.3528,15.3569,15.5051,22.0115,22.0096,22.007
photovoltaics,power,BG,1.2929,3.9036,3.9036,3.9036,6.1607,6.6501,7.3123,7.3123,9.699,9.699,9.699,9.699
photovoltaics,power,CH,3.6459,20.7625,20.7625,20.7625,20.7625,20.7625,21.2385,23.4378,23.4638,27.3835,27.3828,36.8268
photovoltaics,power,CZ,2.152,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,12.5251,14.7566,14.7565,14.7564
