technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
heat_pump,power,AT,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789,1.2934,1.1396,0.8616
heat_pump,power,BE,2.5452,2.5452,2.4656,2.3013,2.0416,2.0287,1.8575,1.8575,1.4172,1.3105,1.2596,0.7952
heat_pump,power,BG,0.7664,0.7664,0.7502,0.7268,0.6511,0.5709,0.537,0.638,0.638,0.6536,0.6582,0.6582
heat_pump,power,CH,3.7062,3.7062,3.2335,3.0438,2.5665,2.4243,2.2415,2.2415,1.8683,1.7524,1.5441,1.1674
heat_pump,power,CZ,2.0217,2.0217,1.8812,1.7884,1.6713,1.6471,1.6164,1.5455,1.1465,1.0567,0.9438,0.7121
heat_pump,power,DE,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,3.6319,3.3935,2.8506
heat_pump,power,DK,1.6415,1.6415,1.5775,1.4768,1.3932,1.3215,1.2726,1.2726,1.0094,0.9853,0.8849,1.0635
heat_pump,power,EE,0.0555,0.0555,0.0528,0.0469,0.0459,0.0416,0.0405,0.0405,0.0325,0.0223,0.0218,0.0203
heat_pump,power,EL,5.8748,5.8748,5.8748,5.7903,5.5984,5.4573,5.4537,5.7767,6.3837,6.5352,6.7621,7.5719
heat_pump,power,ES,20.686,20.686,21.2142,21.5404,22.4038,27.2535,27.6827,28.8113,29.2258,31.4582,31.7919,32.9035
heat_pump,power,FI,4.5776,4.5776,4.202,3.8952,3.6902,3.3393,3.1343,3.0188,2.5419,2.2977,2.1572,2.1572
heat_pump,power,FR,36.7473,36.7473,35.64,33.3332,35.3981,38.0619,41.3737,44.0953,53.0882,56.9283,60.3941,67.2271
heat_pump,power,HR,0.5989,0.5989,0.5769,0.5083,0.6025,0.6808,0.7494,0.9335,1.0076,1.8033,2.0056,2.4548
heat_pump,power,HU,0.6628,0.6628,0.6538,1.5705,1.7472,1.9239,2.1006,2.8122,3.2936,4.255,5.4684,7.5136
heat_pump,power,IE,0.8349,0.8349,0.8119,0.9896,1.0037,1.1806,1.1948,1.2579,1.272,1.5174,1.5573,2.1301
heat_pump,power,IT,9.9349,9.9349,9.8751,9.3146,9.0002,8.9405,8.8356,13.8011,21.9905,32.7498,46.1246,54.6285
heat_pump,power,LT,0.1468,0.1468,0.1435,0.1407,0.132,0.122,0.1212,0.1212,0.1002,0.0975,0.1182,0.6701
heat_pump,power,LU,0.2372,0.2372,0.2245,0.2226,0.1954,0.1954,0.1936,0.1936,0.1907,0.1907,0.1604,0.1604
heat_pump,power,LV,0.0713,0.0713,0.0674,0.0618,0.0553,0.0484,0.0478,0.0447,0.0421,0.0404,0.0367,0.0294
heat_pump,power,NL,1.5742,1.5742,1.5216,1.4839,1.3969,1.3885,1.3563,1.3563,1.1544,1.1544,1.1174,0.8912
heat_pump,power,NO,10.4566,10.4566,8.956,7.9306,6.0923,4.8273,3.8018,2.9081,2.2879,2.0432,1.687,1.3524
heat_pump,power,PL,1.5137,1.5137,1.5137,1.5137,1.5137,1.5137,1.5133,1.5038,1.4819,1.4656,1.4354,1.8023
heat_pump,power,PT,1.7934,1.7934,1.8456,1.9064,2.0627,2.1699,2.3362,2.4207,2.495,2.7095,2.836,2.8886
heat_pump,power,RO,0.0665,0.0665,0.063,0.0596,0.0517,0.0499,0.047,0.0407,0.0297,0.0294,0.1804,1.1626
heat_pump,power,SE,7.6737,7.6737,7.1767,6.2998,5.7233,5.2339,4.7258,4.5143,3.0858,2.9348,2.5171,2.1814
heat_pump,power,SI,0.4919,0.4919,0.4869,0.4512,0.4207,0.4067,0.4067,0.437,0.4894,0.5176,0.6722,0.7456
heat_pump,power,SK,0.5248,0.5248,0.5248,0.5132,0.4607,0.4607,0.4522,0.4522,0.345,0.345,0.3336,0.2475
heat_pump,power,UK,5.8528,5.8528,5.228,4.7271,4.2143,8.7835,17.7339,25.9267,34.0146,44.2404,52.2821,63.1836
photovoltaics,power,AT,27.1898,27.1898,27.1898,28.9859,30.507,37.9575,37.9575,39.1546,44.3407,45.6801,45.9803,45.9794
photovoltaics,power,BE,9.8294,9.8294,9.8294,9.8294,11.3521,12.2364,12.42,12.42,21.0667,21.0654,21.0635,21.0609
photovoltaics,power,BG,4.0157,4.0157,4.0157,5.5852,6.6631,7.0852,7.0852,9.2765,9.2765,9.2765,9.2765,9.2765
photovoltaics,power,CH,22.5289,22.5289,22.5289,24.2909,24.2909,27.0575,27.2131,27.8809,37.3632,42.2888,44.8063,46.3688
photovoltaics,power,CZ,15.483,15.483,15.483,15.9062,15.9062,15.9062,15.9062,15.9062,15.9062,15.9061,15.906,15.9058
