technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841,0.0,0.0399,0.0698,0.1372
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3603
heat_pump,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.2741,0.4274,0.607,0.6441,1.01,3.441
heat_pump,power,ES,17.2299,0.0,0.7638,0.6005,1.185,5.2608,0.5528,1.1285,0.597,2.3156,0.4299,1.686
heat_pump,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,FR,18.6815,0.0,0.0,0.0,5.2135,3.4426,4.0993,3.9657,9.5545,5.3495,5.09,7.4255
heat_pump,power,HR,0.0,0.0,0.0,0.0,0.1425,0.111,0.0768,0.1841,0.1421,0.8284,0.237,0.4817
heat_pump,power,HU,0.0,0.0,0.0,0.9907,0.2928,0.2042,0.1857,0.7221,0.5953,0.9614,1.2312,2.1253
heat_pump,power,IE,0.3205,0.0,0.0,0.2332,0.0479,0.1901,0.041,0.0795,0.1086,0.2626,0.0489,0.6305
heat_pump,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9655,9.5275,10.8193,14.1669,9.514
heat_pump,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5642
heat_pump,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4152
heat_pump,power,PT,1.5801,0.0,0.0538,0.0698,0.1604,0.1125,0.1678,0.0972,0.0781,0.2156,0.128,0.1926
heat_pump,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1555,0.9868
heat_pump,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0304,0.1176,0.0678,0.2027,0.1295
heat_pump,power,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,UK,0.0,0.0,0.0,0.0,0.0,4.7415,9.466,8.1928,8.5398,10.2257,8.1685,11.6848
photovoltaics,power,AT,24.4476,0.0,0.0,1.7961,1.5211,7.4505,0.0,1.1971,5.1863,1.3399,0.3009,0.0
photovoltaics,power,BE,2.9591,0.0,0.0,0.0,1.5226,0.8844,0.1836,0.0,8.6473,0.0,0.0,0.0
photovoltaics,power,BG,2.7228,0.0,0.0,1.5695,1.0779,0.4221,0.0,2.1913,0.0,0.0,0.0,0.0
photovoltaics,power,CH,18.883,0.0,0.0,1.762,0.0,2.7665,0.1556,0.6679,9.4825,4.9262,2.5183,1.5635
photovoltaics,power,CZ,13.3309,0.0,0.0,0.4232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,DE,0.0,0.0,0.0,3.8365,1.6962,2.8665,6.4326,0.0,0.0,1.3871,0.0,2.5832
photovoltaics,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EL,2.706,0.0,0.0,0.1152,0.1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,ES,24.7066,0.0,0.0,0.0,5.749,2.5093,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.894,1.677,8.1092,0.0,0.0,0.0
photovoltaics,power,HR,2.9036,0.0,0.0,0.0295,0.0261,0.03,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,IT,51.758,0.0,0.0,5.2078,4.912,1.8865,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254,0.0
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,PL,2.88,0.0,0.0,0.8499,1.1977,6.3946,1.3072,0.0,0.0,1.0273,0.0,0.0
photovoltaics,power,PT,7.6057,0.0,0.0,0.0,0.4666,3.3223,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,RO,0.4743,0.0,0.0,0.5336,1.7308,0.0,0.0,0.433,0.0,0.0,0.0,0.0
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SK,1.5353,0.0,0.0,0.0,0.0,5.8914,0.6593,0.3695,0.0843,0.0,0.0,0.0
photovoltaics,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
