technology,capacity_type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,location
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
photovoltaics,power,0.0,0.0,0.0,3.8365,1.6962,2.8665,6.4326,0.0,0.0,1.3871,0.0,2.5832,DE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5556,DE
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
photovoltaics,power,24.4476,0.0,0.0,1.7961,1.5211,7.4505,0.0,1.1971,5.1863,1.3399,0.3009,0.0,AT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
wind_onshore,power,8.1838,0.0012,0.0007,0.0226,0.0076,0.0453,0.1071,0.2027,0.2078,0.1403,0.0195,0.014,AT
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9655,9.5275,10.8193,14.1669,9.514,IT
photovoltaics,power,51.758,0.0,0.0,5.2078,4.912,1.8865,0.0,0.0,0.0,0.0,0.0,0.0,IT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4499,10.823,17.0859,14.1117,IT
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
photovoltaics,power,13.3309,0.0,0.0,0.4232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
wind_onshore,power,7.4969,0.0,0.0,0.0,0.0,2.3985,1.8673,0.2892,3.6858,0.2611,0.3145,0.0321,CZ
heat_pump,power,37.812,0.0,0.8176,1.8942,7.0422,14.0627,14.8722,15.0118,20.3399,20.9106,16.7967,30.2607,ROE
photovoltaics,power,67.3763,0.0,0.0,4.8596,11.9212,22.2206,3.1998,5.3387,26.3232,5.9535,2.5437,1.5635,ROE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROE
wind_onshore,power,153.1215,0.0,0.0,0.0,0.0,9.3169,26.5915,33.0278,37.0416,25.6845,22.8054,28.4938,ROE
