technology,capacity_type,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,location
heat_pump,power,8.2186,8.2186,7.9285,7.7684,5.8007,5.6405,4.6909,4.6909,3.6319,3.6319,3.3935,2.8506,DE
photovoltaics,power,61.0512,61.0512,61.0512,64.8877,66.5839,69.4504,75.883,75.883,75.7626,76.9088,76.5475,78.649,DE
wind_offshore,power,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6821,7.6776,7.6776,7.6751,7.6751,7.6701,DE
wind_onshore,power,55.5324,55.091,53.8138,52.3308,49.567,46.6289,43.5796,41.5299,39.5467,36.905,35.1662,35.4869,DE
heat_pump,power,2.7354,2.7354,2.3865,2.2465,1.8942,1.7893,1.6543,1.6543,1.3789,1.2934,1.1396,0.8616,AT
photovoltaics,power,27.1898,27.1898,27.1898,28.9859,30.507,37.9575,37.9575,39.1546,44.3407,45.6801,45.9803,45.9794,AT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AT
wind_onshore,power,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,11.0486,AT
heat_pump,power,9.9349,9.9349,9.8751,9.3146,9.0002,8.9405,8.8356,13.8011,21.9905,32.7498,46.1246,54.6285,IT
photovoltaics,power,74.3083,74.3083,74.3083,79.5162,84.4282,86.3147,86.3147,86.3147,86.3125,86.308,86.3014,86.2925,IT
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT
wind_onshore,power,11.7145,11.7145,11.6887,11.4403,11.2871,11.2343,10.7574,10.3494,16.5127,26.8452,43.1262,56.3351,IT
heat_pump,power,2.0217,2.0217,1.8812,1.7884,1.6713,1.6471,1.6164,1.5455,1.1465,1.0567,0.9438,0.7121,CZ
photovoltaics,power,15.483,15.483,15.483,15.9062,15.9062,15.9062,15.9062,15.9062,15.9062,15.9061,15.906,15.9058,CZ
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZ
wind_onshore,power,7.7959,7.7959,7.7959,7.7959,7.7936,10.192,12.0518,12.339,16.0132,16.2477,16.5029,16.4988,CZ
heat_pump,power,109.1,109.1,104.8048,100.5339,99.4611,109.4844,120.3742,132.6751,147.495,165.2878,177.8817,200.978,ROE
photovoltaics,power,163.5895,163.5895,163.5895,168.4491,180.3703,202.5909,205.7906,211.1294,237.4347,243.3526,245.8428,247.3352,ROE
wind_offshore,power,18.3219,18.3219,18.3219,18.3219,18.2819,18.1219,17.8485,17.7633,17.6733,17.5833,17.3753,17.1449,ROE
wind_onshore,power,271.8488,271.4848,270.9631,269.7226,268.3549,275.9793,300.3338,329.633,362.9263,383.1044,400.5472,422.6191,ROE
