technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9
heat_pump,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,ES,17.2299,0.0,0.0,0.0,0.0,1.185,5.2608,0.5528,1.1285,0.597
heat_pump,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,FR,37.3503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9657,2.3085
heat_pump,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1841,0.1421
heat_pump,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953
heat_pump,power,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.1901,0.041,0.0795,0.1086
heat_pump,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8952
heat_pump,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,PT,1.5801,0.0,0.0,0.0538,0.0698,0.1604,0.1125,0.1678,0.0972,0.0781
heat_pump,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176
heat_pump,power,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat_pump,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.349
photovoltaics,power,AT,8.291,0.0,0.0,0.0,9.542,2.5008,4.3216,3.2236,0.5226,0.866
photovoltaics,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,4.9947,0.774,1.6301,7.6605
photovoltaics,power,BG,0.0,2.1616,0.0,0.0,2.4253,0.2779,0.7937,1.0469,4.4445,0.0
photovoltaics,power,CH,17.9489,0.0,0.0,0.0,2.6961,0.4311,0.148,0.0639,1.081,3.1372
photovoltaics,power,CZ,10.0324,0.0,0.0,0.0,4.1367,2.7841,0.0,0.0239,0.0,0.0
photovoltaics,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,12.1625,3.5887,7.0756,4.2779
photovoltaics,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,EL,5.1207,0.0,0.0,0.0,0.1002,0.3782,0.0,0.0,0.0,0.0
photovoltaics,power,ES,28.2863,0.0,0.0,0.0,0.0,0.0,7.2165,2.0437,3.7023,0.0
photovoltaics,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4857,0.0,0.0
photovoltaics,power,HR,2.9144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6204,0.0
photovoltaics,power,IT,57.068,0.0,0.0,0.0,0.0,3.4031,1.9718,0.2867,3.5375,0.0
photovoltaics,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,PL,0.0,0.0,0.0,0.0,0.0,3.7454,4.5624,0.9741,0.1817,0.7139
photovoltaics,power,PT,10.3535,0.0,0.0,0.0,0.0,0.0,0.4667,2.2453,0.0013,0.0
photovoltaics,power,RO,0.0,1.079,0.0,0.0,0.0,0.7306,0.0,0.7788,0.7191,0.0
photovoltaics,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
photovoltaics,power,SK,1.5353,0.0,0.0,0.0,0.0,0.0,6.1411,0.591,0.0,0.0
photovoltaics,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,power,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,AT,8.177,0.0068,0.0,0.0019,0.0226,0.0076,0.0453,0.1072,0.2027,0.2078
wind_onshore,power,BE,3.3075,0.0,0.0,0.0,0.0,0.0,1.8562,0.6167,0.0282,0.0711
wind_onshore,power,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1937,0.0
wind_onshore,power,CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3628,4.486
wind_onshore,power,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,DK,1.5848,0.0,0.0,0.0,0.0,0.0,0.2479,0.2191,0.3012,0.8782
wind_onshore,power,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5501
wind_onshore,power,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1265,6.6038
wind_onshore,power,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7223,11.8242
wind_onshore,power,FI,16.0611,0.0,0.0,0.0,0.0,0.0,0.0013,1.5413,1.0409,4.0646
wind_onshore,power,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,HU,8.734,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,5.4247,0.352
wind_onshore,power,IE,3.4881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2311
wind_onshore,power,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,LT,7.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3764,1.1463,6.595
wind_onshore,power,NO,16.5394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8813
wind_onshore,power,PL,29.7268,0.0,0.0,0.0,0.0,0.0,5.5786,0.9939,0.1964,1.045
wind_onshore,power,PT,1.1809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4723,0.8795
wind_onshore,power,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore,power,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
