technology,capacity_type,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,location
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
photovoltaics,power,0.0,0.0,0.0,0.0,0.0,0.0,12.1625,3.5887,7.0756,4.2779,DE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DE
heat_pump,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
photovoltaics,power,17.9489,0.0,0.0,0.0,2.6961,0.4311,0.148,0.0639,1.081,3.1372,CH
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
wind_onshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CH
heat_pump,power,56.1603,0.0,0.0,0.0538,0.0698,1.3454,5.5634,0.7616,5.4551,15.1913,ROE
photovoltaics,power,123.6016,3.2406,0.0,0.0,16.2041,13.82,30.4684,16.4735,15.3594,9.2403,ROE
wind_offshore,power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROE
wind_onshore,power,127.2464,0.0068,0.0,0.002,0.0226,0.0076,7.7293,5.978,19.218,48.018,ROE
