year,AUS,AUT,BRA,CHN,CZE,DEU,ITA,JPN,KOR,ROE,ROW,USA
2022,10560000,393632,0,31000000,480520,0.0,4018792,5968000,4481311,0.0,4990689,30000000
2023,10982400,460549,0,31954960,562208,0.0,4701987,6398670,4804697,0.0,5350834,32640000
2024,11421696,538843,0,32939338,657784,0.0,5501324,6860419,5151419,21267800.0,5736967,35512320
2025,11878564,630446,0,33954040,769607,0.0,6436550,7355490,5523162,29945100.0,6150966,38637404
2026,12353706,737622,0,35000000,900440,0.0,7530763,7886286,5921732,23782400.0,6594840,42037496
2027,12847855,863018,0,36078181,1053515,0.0,8810993,8455386,6349063,27461000.0,7070745,45736795
2028,13361769,1009731,0,37189575,1232613,0.0,10308861,9065554,6807233,32274800.0,7580993,49761633
2029,13896240,1181385,0,38335207,1442157,0.0,12061368,9719754,7298465,27288400.0,8128062,54140657
2030,14452089,1382220,0,39516129,1687324,9832200.0,14111800,10421163,7825146,42132800.0,8714609,58905035
2031,15030173,1617198,0,40733430,1974169,3113400.0,16510806,11173188,8389834,42142100.0,9343484,64088678
2032,15631380,1892121,0,41988230,2309777,5644900.0,19317643,11979482,8995272,39585600.0,10017740,69728482
2033,16256635,2213782,0,43281685,2702439,12093900.0,22601643,12843961,9644400,49436500.0,10740653,75864588
2034,16906900,2590125,0,44614984,3161854,7058300.0,26443922,13770823,10340371,12118400.0,11515734,82540672
2035,17583176,3030446,0,45989357,3699369,5714600.0,30939389,14764570,11086566,21359800.0,12346747,89804251
2036,18286503,3545622,1,47406066,4328262,9568000.0,36199085,15830030,11886609,26452600.0,13237728,97707025
