year,CHE,DEU,ROE,CHN,IND,KOR,MYS,ROA,ROW,THA,USA,VNM
2021,683,5734,23161,68600,12360,3876,436,16887,20610,300,24311,765
2022,1084,7374,32397,106610,18280,3234,631,20911,27559,444,23623,926
2023,1600,12651,45170,256600,16940,3207,364,24568,38231,517,37834,1218
2024,2417,15012,48306,269693,20310,3345,1232,33375,39654,822,43171,1670
2025,2417,15638,47195,271040,23760,3493,1448,36208,41597,1240,47965,1782
2026,2417,17016,48616,271740,28670,3619,820,35395,39521,1399,52325,1960
2027,2417,18670,49735,276587,34520,3755,844,38689,37922,1767,54497,2156
2028,2417,20655,50939,281392,41910,3867,870,43216,38501,2687,56818,2372
2029,2417,23037,53790,283395,51650,3987,900,46267,38842,3143,57304,2609
2030,2417,25894,57951,283395,62740,4079,932,51312,41745,3102,60066,2870
