year,CHE,CHN,DEU,IND,KOR,MYS,ROA,ROE,ROW,THA,USA,VNM
2021,47.70779,21397669.14169,21530.5055,3671.56883,2385.3895,4542.232,312585.48567,68927.95655,47.70779,47.70779,2723.31863,95415.58
2022,95.41558,42795338.28338,43061.011,7343.13766,4769.779,9084.464,625170.97134,137855.9131,95.41558,95.41558,5446.63726,190831.16
2023,143.12337,64192907.42507,64591.5165,11014.70649,7154.168,13626.928,937756.45701,206783.8697,143.12337,143.12337,8169.95589,286246.74
2024,190.83116,85590476.56676,86122.021,14686.27532,9540.556,18169.392,1259341.94268,275711.8262,190.83116,190.83116,10893.27452,381662.32
2025,238.53895,106388045.70845,107652.5255,18357.84315,11926.944,22712.856,1570927.42835,344639.7827,238.53895,238.53895,13616.59315,476078.9
2026,286.24674,127185614.85014,129183.029,22029.41097,14213.332,27256.784,1882513.91402,413567.7393,286.24674,286.24674,16339.91178,570495.48
2027,333.95453,147983183.99183,150713.5325,25600.97879,16499.72,31800.712,2194099.39969,482495.6959,333.95453,333.95453,19063.23041,664912.06
2028,381.66232,168780753.13352,172244.036,29172.54661,18786.108,36344.64,2505685.88536,551423.6524,381.66232,381.66232,21786.54904,759328.64
2029,429.37011,189578322.27521,193774.5395,32744.11443,21072.496,40888.568,2817272.37103,620351.6099,429.37011,429.37011,24509.86767,853745.22
2030,477.0779,210375891.4169,215305.043,36315.68225,23358.884,45432.496,3128858.8567,689279.5674,477.0779,477.0779,27233.1863,948161.8
