node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,21418.208736,20923.95496,15042.727816,13185.22728,10098.357648,7936.4682928,6093.138620,4468.3000408,3245.690896,3279.3605352
CHN,13982.23538,10745.00354,6076.572842,4189.759124,2524.186894,1560.512923,942.4329607,543.652088,310.6384527,313.8609052
DEU,21418.208736,20923.95496,15042.727816,13185.22728,10098.357648,7936.4682928,6093.138620,4468.3000408,3245.690896,3279.3605352
IND,17446.33605,15268.36278,9833.381718,7721.31958,5297.637805,3729.807408,2565.238724,1685.220228,1096.602168,1107.977927
KOR,23042.19097,20165.63993,12987.40657,10197.90745,6996.837712,4926.130871,3388.03061,2225.749076,1448.333707,1463.358204
MYS,14515.17395,12703.12236,8181.273462,6424.059269,4407.580711,3103.161785,2134.252498,1402.08607,912.3618375,921.8263537
ROA,21418.208736,18744.393096,12072.071848,9479.172824,6503.708128,4578.9438768,3149.2468272,2068.881312,1346.25712,1360.2227112
ROE,21418.208736,20923.95496,15042.727816,13185.22728,10098.357648,7936.4682928,6093.138620,4468.3000408,3245.690896,3279.3605352
ROW,26772.76092,26154.9437,18803.40977,16481.5341,12622.94706,9920.585366,7616.423275,5585.375051,4057.11362,4099.200669
THA,14515.17395,12703.12236,8181.273462,6424.059269,4407.580711,3103.161785,2134.252498,1402.08607,912.3618375,921.8263537
USA,13743.893416,12028.12728,7746.5520472,6082.70946,4173.3788192,2942.2717,2020.8465264,1327.5846072,863.8824376,872.8440456
VNM,14515.17395,12703.12236,8181.273462,6424.059269,4407.580711,3103.161785,2134.252498,1402.08607,912.3618375,921.8263537
