year,CHE,DEU,ROE,CHN,IND,KOR,MYS,ROA,ROW,THA,USA,VNM
2021,1794.8899999999999,0.0,12360.16,68600,12360,3876,436,16887,20610,300,24311,765
2022,0.0,0.0,324.06,106610,18280,3234,631,20911,27559,444,23623,926
2023,0.0,0.0,0.0,256600,16940,3207,364,24568,38231,517,37834,1218
2024,0.0,0.0,0.0,269693,20310,3345,1232,33375,39654,822,43171,1670
2025,269.61,0.0,1620.41,271040,23760,3493,1448,36208,41597,1240,47965,1782
2026,43.11,0.0,1382.0,271740,28670,3619,820,35395,39521,1399,52325,1960
2027,14.799999999999999,1216.25,3046.8399999999997,276587,34520,3755,844,38689,37922,1767,54497,2156
2028,6.39,358.87,1647.3500000000001,281392,41910,3867,870,43216,38501,2687,56818,2372
2029,108.1,707.56,1535.94,283395,51650,3987,900,46267,38842,3143,57304,2609
2030,313.72,427.78999999999996,924.03,283395,62740,4079,932,51312,41745,3102,60066,2870
