year,CHE,CHN,DEU,IND,KOR,MYS,ROA,ROE,ROW,THA,USA,VNM
2021,69.62417,899631.147789,7452.024682,27817.990719,22944.002743,34039.393418,23540.754148,9025.285554,14391.128407,15613.810917,15796.860602,56598.697292
2022,108.24834,1391993.295578,11584.049364,43236.981438,35658.005486,52998.786836,26146.508296,15458.571108,22355.256814,24267.621834,24550.721204,87972.394584
2023,146.87251,2388717.591156,19848.098728,74074.962876,61086.010972,90717.573672,31358.016592,28325.142216,38283.513628,41575.243668,42058.442408,150719.789168
2024,185.49668,2897079.738945,23980.12341,92693.935895,73700.013715,109197.96709,33963.77074,34718.99886,46247.65604,50129.60329,50812.30201,182093.48004
2025,224.1209,3975441.886734,31828.14855,122312.909924,96218.016458,142678.360506,38020.527332,41255.025122,54431.169666,58982.945548,59765.161214,214463.26904
2026,262.74542,4763804.034522,35760.22166,146751.908819,117414.02343,173260.144448,44158.283084,47773.153982,62595.826272,67885.248406,68667.020616,246832.52996
2027,301.36994,5552166.18231,39692.29477,171190.907713,138610.030402,203841.92839,50296.038836,54291.282842,70760.482878,76787.551264,77568.879018,279202.79088
2028,339.99446,6340528.330098,43624.36788,195629.906607,159806.037374,234423.712332,56433.794588,60709.411702,78925.139484,85689.854122,86470.73742,311572.0518
2029,378.61998,7128890.477886,47556.44199,220068.905501,180002.044346,264005.496274,62571.55034,67127.540562,87089.79609,94592.15698,95372.595822,343941.31272
2030,417.2445,7917252.625674,51488.5151,244507.904395,200197.051318,293587.280216,68709.306092,73545.669422,95254.452696,103494.459838,104274.454224,376310.57364
