node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,112215.54408,105552.43344,75929.495608,95875.44688,80262.99528,59785.96256,43288.7212,31148.575224,23071.401216,23769.877096
CHN,128331.6062,94955.07589,53731.60015,53369.85035,35145.78684,20593.32427,11729.2789,6639.021381,3868.202285,3985.3103
DEU,140269.4301,131940.5418,94911.86951,119844.3086,100328.7441,74732.4532,54110.9015,38935.71903,28839.25152,29712.34637
IND,132808.2902,111909.7752,72117.04031,81575.99664,61178.37774,40823.42392,26479.66975,17068.82404,11325.75059,11668.6324
KOR,137284.9741,115682.0148,74547.95178,84325.74933,63240.57025,42199.49439,27372.24289,17644.17765,11707.51747,12061.95708
MYS,132808.2902,111909.7752,72117.04031,81575.99664,61178.37774,40823.42392,26479.66975,17068.82404,11325.75059,11668.6324
ROA,141015.544,118825.5478,76573.71134,86617.20991,64959.064,43346.21978,28116.05384,18123.639,12025.65653,12389.72766
ROE,140269.4301,131940.5418,94911.86951,119844.3086,100328.7441,74732.4532,54110.9015,38935.71903,28839.25152,29712.34637
ROW,141015.544,132642.3532,95416.71988,120481.7784,100862.4076,75129.96625,54398.72544,39142.82392,28992.65179,29870.39077
THA,132808.2902,111909.7752,72117.04031,81575.99664,61178.37774,40823.42392,26479.66975,17068.82404,11325.75059,11668.6324
USA,141015.544,118825.5478,76573.71134,86617.20991,64959.064,43346.21978,28116.05384,18123.639,12025.65653,12389.72766
VNM,132808.2902,111909.7752,72117.04031,81575.99664,61178.37774,40823.42392,26479.66975,17068.82404,11325.75059,11668.6324
