node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,112215.54408,105552.43344,75929.495608,95875.44688,80262.99528,59785.96256,43288.7212,31148.575224,23071.401216,23769.877096
CHN,102665.28496,75964.060712,42985.28012,42695.88028,28116.629472,16474.659416,9383.42312,5311.2164928,3094.561828,3188.24824
DEU,112215.54408,105552.43344,75929.495608,95875.44688,80262.99528,59785.96256,43288.7212,31148.575224,23071.401216,23769.877096
IND,106246.63216,89527.82016,57693.632248,65260.797312,48942.702192,32658.739136,21183.7358,13654.611232,9060.600472,9334.90592
KOR,109827.97928,92545.61184,59638.361424,67460.599464,50592.4562,33759.595512,21909.794312,14115.34212,9366.014276,9649.5664
MYS,106246.63216,89527.82016,57693.632248,65260.797312,48942.702192,32658.739136,21183.7358,13654.611232,9060.600472,9334.90592
ROA,112812.4352,95060.43824,61259.04808,69293.767928,51967.2512,34676.975824,22492.843072,14499.1088,9620.525224,9911.782128
ROE,112215.54408,105552.43344,75929.495608,95875.44688,80262.99528,59785.96256,43288.7212,31148.575224,23071.401216,23769.877096
ROW,112812.4352,105313.88256,76333.375904,96385.42272,80689.92608,60103.9722,43519.060352,31314.258416,23194.121432,23896.312616
THA,106246.63216,89527.82016,57693.632248,65260.797312,48942.702192,32658.739136,21183.7358,13654.611232,9060.600472,9334.90592
USA,112812.4352,95060.43824,61259.04808,69293.767928,51967.2512,34676.975824,22492.843072,14499.1088,9620.525224,9911.782128
VNM,106246.63216,89527.82016,57693.632248,65260.797312,48942.702192,32658.739136,21183.7358,13654.611232,9060.600472,9334.90592
