node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
CHN,16414.50777,10518.69749,5948.591013,3826.91714,2326.942848,1340.2153,782.0840249,441.3752305,279.2053282,312.3110145
DEU,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
IND,18652.84974,13612.49007,8766.939384,6423.048996,4447.707055,2917.314917,1938.743875,1246.043671,897.6505286,1004.08595
KOR,23129.53368,16879.48768,10871.00484,7964.580755,5515.156749,3617.470497,2404.042404,1545.094153,1113.086655,1245.066578
MYS,17906.73575,13067.99046,8416.261809,6166.127036,4269.798773,2800.622321,1861.19412,1196.201925,861.7445074,963.9225121
ROA,25367.87565,18512.98649,11923.03756,8735.346634,6048.881595,3967.548287,2636.691669,1694.619393,1220.804719,1365.556892
ROE,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
ROW,25367.87565,20665.64084,14857.01966,12150.58876,9392.142117,6876.765043,5101.45083,3659.981778,2943.237738,3292.22071
THA,17906.73575,13067.99046,8416.261809,6166.127036,4269.798773,2800.622321,1861.19412,1196.201925,861.7445074,963.9225121
USA,22756.47668,16607.23788,10695.66605,7836.119775,5426.202608,3559.124199,2365.267527,1520.173279,1095.133645,1224.984859
VNM,17906.73575,13067.99046,8416.261809,6166.127036,4269.798773,2800.622321,1861.19412,1196.201925,861.7445074,963.9225121
