node,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
CHE,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
CHN,13131.606216,8414.957992,4758.8728104,3061.533712,1861.5542784,1072.17224,625.66721992,353.1001844,223.36426256,249.8488116
DEU,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
IND,14922.279792,10889.992056,7013.5515072,5138.4391968,3558.165644,2333.8519336,1550.9951,996.8349376,718.12042288,803.26876
KOR,18503.626944,13503.590144,8696.803872,6371.664604,4412.1253992,2893.9760176,1923.2339232,1236.0753224,890.469324,996.0532624
MYS,14325.3886,10454.392368,6733.0094472,4932.9016288,3415.8390184,2240.4978568,1488.955296,956.961540,689.39560592,771.13800968
ROA,20294.30052,14810.389192,9538.430048,6988.2773072,4839.105276,3174.0386296,2109.3533352,1355.6955144,976.6437752,1092.4455136
ROE,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
ROW,20294.30052,16532.512672,11885.615728,9720.471008,7513.7136936,5501.4120344,4081.160664,2927.9854224,2354.5901904,2633.776568
THA,14325.3886,10454.392368,6733.0094472,4932.9016288,3415.8390184,2240.4978568,1488.955296,956.961540,689.39560592,771.13800968
USA,18205.181344,13285.790304,8556.53284,6268.89582,4340.9620864,2847.2993592,1892.2140216,1216.1386232,876.106916,979.9878872
VNM,14325.3886,10454.392368,6733.0094472,4932.9016288,3415.8390184,2240.4978568,1488.955296,956.961540,689.39560592,771.13800968
