year,CHE,CHN,DEU,IND,KOR,MYS,ROA,ROE,ROW,THA,USA,VNM
2021,308.4087,1993671.6435,185537.312675,308.4087,20061.7315,92526.261,59854.2758,21591.2609,308.4087,308.4087,187804.14722,308.4087
2022,616.8174,3987343.287,371074.62535,616.8174,40123.463,185052.522,119708.5516,43182.5218,616.8174,616.8174,375608.29444,616.8174
2023,925.2261,5981014.9305,556611.937025,925.2261,60285.1945,277578.783,179562.8274,64773.7827,925.2261,925.2261,563412.44166,925.2261
2024,1233.6348,7974686.574,742149.2487,1233.6348,80446.926,370105.044,239417.1032,86365.0436,1233.6348,1233.6348,751216.58988,1233.6348
2025,1542.0435,9968358.2175,927686.560375,1542.0435,100608.6575,462631.305,299271.3786,107956.3045,1542.0435,1542.0435,938020.7381,1542.0435
2026,1850.4522,11972029.861,1118223.87205,1850.4522,120770.389,555156.566,359125.6538,129547.5654,1850.4522,1850.4522,1125824.8863,1850.4522
2027,2158.8609,13975701.5045,1308761.183725,2158.8609,140931.1205,647681.827,418980.929,151138.8263,2158.8609,2158.8609,1313629.03444,2158.8609
2028,2467.2696,15979373.148,1499298.4954,2467.2696,160091.852,740207.088,478836.2042,172730.0872,2467.2696,2467.2696,1501433.1826,2467.2696
2029,2775.6783,17983044.7915,1699835.807075,2775.6783,179252.5835,832732.349,538691.4794,194321.3481,2775.6783,2775.6783,1689237.33076,2775.6783
2030,3084.087,19986716.435,1890372.11875,3084.087,198413.315,925257.61,598546.7546,215912.609,3084.087,3084.087,1877041.4799,3084.087
